Date, Open, High, Low, Close, Volume
03/25/19, 3.26, 3.31, 3.10, 3.12, 69480
03/22/19, 3.46, 3.50, 3.1902, 3.31, 157041
03/21/19, 3.58, 3.67, 3.45, 3.46, 269416
03/20/19, 3.52, 3.71, 3.4507, 3.61, 122292
03/19/19, 3.69, 3.72, 3.48, 3.49, 192506
03/18/19, 3.75, 3.87, 3.67, 3.69, 102112
03/15/19, 3.69, 3.75, 3.65, 3.73, 268151
03/14/19, 3.94, 3.94, 3.63, 3.69, 159330
03/13/19, 4.00, 4.15, 3.86, 3.89, 157072
03/12/19, 4.50, 4.6555, 4.01, 4.01, 226662
03/11/19, 4.90, 4.94, 4.78, 4.86, 94063
03/08/19, 4.80, 4.83, 4.69, 4.81, 129376
03/07/19, 4.78, 4.85, 4.67, 4.80, 124607
03/06/19, 4.89, 4.90, 4.74, 4.78, 151091
03/05/19, 5.00, 5.10, 4.75, 4.89, 151791
03/04/19, 4.47, 5.09, 4.45, 4.96, 253918
03/01/19, 4.30, 4.44, 4.25, 4.44, 95887
02/28/19, 4.20, 4.37, 4.13, 4.31, 128459
02/27/19, 4.13, 4.18, 4.06, 4.14, 52317
02/26/19, 4.08, 4.16, 4.06, 4.13, 77734
02/25/19, 4.04, 4.16, 4.00, 4.09, 99596
02/22/19, 4.00, 4.035, 3.96, 4.00, 110987
02/21/19, 3.96, 3.99, 3.86, 3.95, 257375
02/20/19, 3.92, 4.00, 3.92, 3.94, 88326
02/19/19, 3.86, 3.99, 3.85, 3.92, 172445
02/15/19, 3.88, 3.92, 3.86, 3.86, 91925
02/14/19, 3.86, 3.91, 3.83, 3.85, 63038
02/13/19, 3.82, 3.9115, 3.80, 3.90, 57202
02/12/19, 3.89, 3.95, 3.72, 3.80, 176151
02/11/19, 3.90, 3.90, 3.81, 3.90, 31199
02/08/19, 3.90, 3.91, 3.78, 3.88, 44447
02/07/19, 4.02, 4.03, 3.80, 3.93, 82664
02/06/19, 4.10, 4.10, 4.00, 4.02, 102442
02/05/19, 4.12, 4.17, 4.07, 4.09, 88758
02/04/19, 4.02, 4.32, 4.01, 4.09, 117090
02/01/19, 3.97, 4.09, 3.97, 4.03, 54844
01/31/19, 3.99, 4.05, 3.86, 4.02, 103545
01/30/19, 3.93, 4.14, 3.89, 3.97, 155998
01/29/19, 3.87, 3.97, 3.79, 3.93, 52974
01/28/19, 3.90, 3.95, 3.83, 3.86, 31427
01/25/19, 3.98, 4.00, 3.93, 3.95, 54987
01/24/19, 3.81, 3.96, 3.79, 3.95, 46168
