Date, Open, High, Low, Close, Volume
03/25/19, 62.15, 62.95, 61.00, 62.75, 268863
03/22/19, 65.56, 65.56, 62.20, 62.29, 352306
03/21/19, 64.02, 66.155, 63.32, 65.59, 300405
03/20/19, 65.00, 66.34, 64.005, 64.26, 406253
03/19/19, 65.21, 66.68, 64.28, 65.17, 371847
03/18/19, 65.02, 66.60, 64.01, 64.84, 419378
03/15/19, 63.90, 65.28, 63.54, 65.01, 912266
03/14/19, 65.65, 65.82, 63.35, 63.51, 405731
03/13/19, 64.91, 66.21, 63.96, 65.92, 338729
03/12/19, 64.59, 65.43, 63.70, 64.51, 313701
03/11/19, 62.26, 64.49, 61.80, 64.35, 423619
03/08/19, 62.48, 63.13, 61.77, 61.85, 318236
03/07/19, 62.85, 64.12, 61.84, 63.04, 291227
03/06/19, 67.02, 67.16, 62.805, 63.18, 595430
03/05/19, 67.52, 68.34, 66.05, 67.29, 400861
03/04/19, 68.36, 68.94, 66.4101, 67.50, 637442
03/01/19, 65.13, 68.12, 64.3138, 67.67, 571885
02/28/19, 64.89, 65.71, 63.62, 64.87, 483150
02/27/19, 62.39, 66.08, 61.69, 65.14, 522519
02/26/19, 62.00, 64.17, 61.44, 63.18, 656937
02/25/19, 59.51, 62.72, 59.51, 62.35, 689663
02/22/19, 56.59, 58.91, 55.93, 58.86, 277226
02/21/19, 57.34, 57.37, 55.56, 56.13, 313332
02/20/19, 59.25, 59.43, 56.98, 57.88, 422018
02/19/19, 58.48, 59.01, 57.035, 57.71, 575909
02/15/19, 60.50, 60.85, 56.715, 59.29, 774715
02/14/19, 53.77, 60.00, 52.80, 57.42, 862234
02/13/19, 55.07, 55.67, 53.90, 54.03, 430072
02/12/19, 54.54, 55.6978, 53.68, 54.79, 362990
02/11/19, 53.67, 54.78, 52.745, 54.08, 248381
02/08/19, 52.64, 53.68, 52.30, 53.36, 289072
02/07/19, 55.17, 55.71, 52.82, 52.93, 422554
02/06/19, 54.57, 55.80, 54.19, 55.63, 404641
02/05/19, 54.29, 55.67, 54.24, 54.56, 395150
02/04/19, 53.80, 54.55, 52.73, 54.29, 134026
02/01/19, 53.70, 54.42, 52.38, 53.87, 244759
01/31/19, 51.58, 53.80, 51.5746, 53.60, 406851
01/30/19, 50.41, 52.09, 50.08, 51.63, 340918
01/29/19, 50.68, 51.20, 49.97, 50.28, 443918
01/28/19, 51.63, 51.88, 50.06, 50.50, 394912
01/25/19, 52.49, 52.58, 51.335, 52.22, 389821
01/24/19, 51.95, 52.53, 51.40, 51.93, 317101
01/23/19, 52.56, 53.61, 50.83, 52.03, 521407
01/22/19, 55.20, 55.20, 51.44, 52.27, 648304
01/18/19, 56.29, 57.23, 54.84, 55.89, 834068
01/17/19, 55.86, 57.34, 55.00, 56.21, 551979
01/16/19, 55.70, 57.63, 55.19, 56.20, 734595
01/15/19, 54.36, 56.19, 54.00, 56.01, 403707
01/14/19, 54.03, 55.49, 54.01, 54.38, 644392
01/11/19, 55.40, 56.09, 53.82, 54.64, 681881
01/10/19, 53.50, 56.27, 51.80, 55.49, 560830
01/09/19, 53.27, 54.81, 50.62, 53.89, 520180
01/08/19, 51.51, 54.305, 50.18, 53.00, 807933
01/07/19, 48.28, 52.605, 47.21, 51.00, 1001325
01/04/19, 46.67, 47.63, 45.90, 46.92, 683929
01/03/19, 47.17, 49.12, 45.65, 45.92, 518993
01/02/19, 44.84, 47.30, 44.37, 47.25, 385103
12/31/18, 45.87, 47.12, 45.29, 46.11, 265595
12/28/18, 44.99, 46.72, 44.275, 45.30, 337391
12/27/18, 44.19, 44.88, 42.95, 44.85, 430194
12/26/18, 44.46, 45.43, 42.32, 44.89, 541459
12/24/18, 41.63, 45.10, 41.63, 43.80, 300722
12/21/18, 45.33, 45.65, 42.28, 42.73, 1082980
12/20/18, 49.14, 50.2035, 44.77, 44.92, 722424
12/19/18, 50.17, 52.46, 48.08, 49.51, 537395
12/18/18, 51.28, 51.64, 48.27, 49.86, 744804
12/17/18, 51.12, 53.00, 50.02, 50.85, 495851
12/14/18, 52.73, 53.7011, 51.30, 51.53, 453022
12/13/18, 56.29, 56.83, 53.21, 53.25, 433869
12/12/18, 55.55, 56.39, 54.40, 56.05, 731530
12/11/18, 53.87, 55.80, 53.16, 54.53, 931379
12/10/18, 53.18, 53.90, 50.96, 52.72, 833715
12/07/18, 55.44, 56.49, 52.51, 53.17, 845518
12/06/18, 53.74, 56.70, 51.37, 56.19, 858638
12/04/18, 57.00, 60.50, 53.42, 54.05, 1310775
12/03/18, 66.78, 66.90, 56.03, 56.81, 2266232
11/30/18, 63.76, 65.86, 63.40, 65.80, 381724
11/29/18, 67.79, 69.1775, 63.42, 63.69, 805743
11/28/18, 64.83, 68.43, 63.44, 68.41, 297797
11/27/18, 66.18, 66.18, 63.285, 64.02, 267457
11/26/18, 65.18, 67.46, 63.61, 66.94, 332189
11/23/18, 61.54, 66.40, 61.54, 64.24, 218587
11/21/18, 67.14, 68.08, 61.81, 62.20, 441851
11/20/18, 64.79, 67.63, 62.81, 65.79, 460403
11/19/18, 69.07, 69.945, 66.08, 66.47, 398537
11/16/18, 66.83, 70.70, 66.83, 69.64, 553986
11/15/18, 63.56, 67.27, 63.16, 67.27, 450096
11/14/18, 67.45, 68.1737, 63.08, 63.75, 415987
11/13/18, 64.86, 66.91, 63.955, 66.50, 487932
11/12/18, 69.06, 70.40, 63.34, 64.15, 451084
11/09/18, 70.85, 71.32, 67.66, 69.09, 364868
11/08/18, 72.58, 74.25, 71.74, 71.91, 326649
11/07/18, 71.86, 72.96, 70.365, 72.78, 520509
11/06/18, 69.47, 71.47, 68.54, 71.34, 358706
11/05/18, 70.63, 71.64, 68.71, 69.75, 403868
11/02/18, 68.87, 71.61, 66.77, 70.36, 585420
11/01/18, 63.11, 68.78, 61.16, 68.51, 1240421
10/31/18, 60.93, 65.87, 60.93, 63.06, 579472
10/30/18, 60.65, 62.87, 59.32, 59.82, 660846
10/29/18, 63.59, 64.48, 59.77, 60.55, 779170
10/26/18, 60.71, 63.10, 59.37, 62.51, 846649
10/25/18, 56.89, 63.11, 56.22, 61.95, 1011096
10/24/18, 64.74, 65.20, 56.18, 56.33, 895678
10/23/18, 61.47, 65.525, 59.865, 64.69, 542390
10/22/18, 66.81, 66.84, 61.33, 62.81, 656045
10/19/18, 67.23, 68.07, 65.65, 66.88, 1120298
10/18/18, 71.17, 71.17, 65.83, 66.82, 598270
10/17/18, 70.54, 71.72, 69.00, 71.56, 324437
10/16/18, 66.17, 70.92, 65.15, 70.76, 462564
10/15/18, 66.02, 66.75, 64.4532, 65.61, 300594
10/12/18, 64.73, 67.26, 63.76, 65.88, 565766
10/11/18, 63.61, 64.75, 62.19, 63.36, 586648
10/10/18, 65.44, 66.20, 63.565, 63.83, 521099
10/09/18, 67.74, 69.13, 65.00, 65.86, 628769
10/08/18, 67.60, 69.18, 66.2405, 68.10, 464780
10/05/18, 71.05, 72.05, 67.96, 69.01, 327749
10/04/18, 73.69, 74.00, 70.25, 70.90, 425666
10/03/18, 74.24, 74.28, 70.54, 73.88, 463959
10/02/18, 76.65, 76.65, 73.44, 74.14, 301969
10/01/18, 77.33, 79.17, 76.295, 76.53, 328724
09/28/18, 75.40, 77.50, 75.165, 77.12, 437810
09/27/18, 75.78, 76.875, 74.96, 76.10, 253398
09/26/18, 76.20, 77.47, 75.57, 75.89, 276279
09/25/18, 74.53, 76.81, 74.49, 75.84, 365247
09/24/18, 73.61, 75.97, 73.001, 75.51, 230421
09/21/18, 74.23, 74.23, 72.72, 73.56, 503686
09/20/18, 72.94, 74.715, 72.305, 73.97, 210868
09/19/18, 71.14, 74.33, 71.07, 72.50, 198470
09/18/18, 72.01, 72.50, 71.17, 71.67, 197791
09/17/18, 73.37, 73.37, 71.37, 72.07, 305270
09/14/18, 74.41, 74.82, 73.375, 73.44, 284631
09/13/18, 74.40, 75.00, 73.27, 74.51, 269389
09/12/18, 72.57, 74.66, 70.4686, 74.17, 326447
09/11/18, 74.76, 75.03, 71.57, 72.50, 343059
09/10/18, 76.69, 76.985, 73.55, 74.43, 484881
09/07/18, 79.39, 79.41, 76.03, 76.64, 332411
09/06/18, 83.47, 83.90, 79.50, 79.66, 456332
09/05/18, 82.38, 85.00, 81.60, 83.82, 780168
09/04/18, 80.05, 81.38, 78.5255, 81.14, 223846
08/31/18, 79.43, 80.95, 78.95, 80.72, 170761
08/30/18, 79.08, 80.39, 78.67, 79.70, 175318
08/29/18, 78.80, 80.02, 78.65, 79.41, 198039
