Date, Open, High, Low, Close, Volume
03/25/19, 7.54, 7.98, 7.53, 7.90, 370140
03/22/19, 8.11, 8.148, 7.73, 7.75, 460168
03/21/19, 8.15, 8.26, 8.10, 8.18, 292290
03/20/19, 8.25, 8.27, 8.00, 8.09, 172659
03/19/19, 8.20, 8.30, 8.05, 8.25, 103175
03/18/19, 8.06, 8.43, 7.9908, 8.20, 179541
03/15/19, 8.31, 8.415, 8.00, 8.00, 304950
03/14/19, 8.39, 8.435, 8.28, 8.31, 191647
03/13/19, 8.39, 8.4789, 8.19, 8.37, 142288
03/12/19, 8.22, 8.41, 8.05, 8.31, 325504
03/11/19, 8.04, 8.30, 7.67, 8.23, 124697
03/08/19, 8.16, 8.29, 7.86, 8.00, 186173
03/07/19, 8.05, 8.24, 8.02, 8.20, 89478
03/06/19, 8.40, 8.40, 7.96, 8.06, 147921
03/05/19, 8.50, 8.57, 8.26, 8.45, 136051
03/04/19, 8.66, 8.7133, 8.43, 8.50, 233435
03/01/19, 8.33, 8.6453, 8.33, 8.59, 52253
02/28/19, 8.36, 8.49, 8.10, 8.36, 76488
02/27/19, 8.34, 8.50, 8.04, 8.35, 73994
02/26/19, 8.52, 8.52, 8.165, 8.34, 76534
02/25/19, 8.30, 8.67, 8.21, 8.53, 213878
02/22/19, 8.09, 8.32, 7.90, 8.25, 130047
02/21/19, 8.15, 8.16, 7.94, 8.06, 138915
02/20/19, 8.20, 8.21, 7.91, 8.19, 220261
02/19/19, 8.30, 8.42, 8.00, 8.17, 144168
02/15/19, 8.19, 8.45, 8.03, 8.35, 309203
02/14/19, 7.79, 8.30, 7.79, 8.16, 295465
02/13/19, 7.72, 7.93, 7.50, 7.90, 552159
02/12/19, 7.81, 7.85, 7.521, 7.66, 100275
02/11/19, 7.92, 8.01, 7.77, 7.80, 164824
02/08/19, 7.85, 8.00, 7.74, 7.83, 209008
02/07/19, 7.51, 7.96, 7.50, 7.83, 308281
02/06/19, 8.09, 8.16, 7.20, 7.60, 1867385
02/05/19, 9.3144, 9.45, 9.27, 9.40, 43297
02/04/19, 9.07, 9.4131, 9.07, 9.16, 34863
02/01/19, 9.13, 9.33, 9.01, 9.18, 71004
01/31/19, 9.00, 9.29, 9.00, 9.14, 56669
01/30/19, 8.75, 9.16, 8.61, 9.00, 112849
