Date, Open, High, Low, Close, Volume
03/25/19, 19.02, 19.25, 19.02, 19.25, 360
03/22/19, 21.03, 21.38, 20.25, 20.81, 2231
03/21/19, 21.90, 22.3735, 21.76, 21.76, 2312
03/20/19, 20.30, 21.50, 20.30, 20.35, 3839
03/19/19, 20.81, 20.81, 19.01, 19.67, 7765
03/18/19, 19.50, 20.8568, 19.20, 20.35, 5556
03/15/19, 23.55, 23.55, 18.05, 19.40, 33050
03/14/19, 20.91, 26.17, 20.91, 22.77, 4115
03/13/19, 21.40, 21.40, 20.30, 20.30, 2702
03/12/19, 23.50, 23.50, 21.37, 21.37, 5160
03/11/19, 27.58, 27.58, 22.56, 22.73, 8559
03/08/19, 29.10, 29.10, 26.85, 26.85, 3684
03/07/19, 26.98, 26.98, 26.98, 26.98, 375
03/06/19, 29.00, 30.78, 26.43, 26.46, 3354
03/05/19, 26.075, 26.0827, 26.075, 26.0827, 621
03/04/19, 28.69, 28.69, 26.50, 26.50, 1084
03/01/19, 28.20, 28.20, 27.37, 27.37, 1065
02/28/19, 27.8688, 28.21, 27.6641, 28.21, 3245
02/27/19, 27.00, 29.00, 27.00, 29.00, 2297
02/26/19, 26.35, 26.35, 26.35, 26.35, 404
02/25/19, 26.20, 26.20, 26.20, 26.20, 378
02/22/19, 28.00, 28.00, 28.00, 28.00, 361
02/21/19, 28.99, 28.99, 28.99, 28.99, 563
02/20/19, 28.75, 28.75, 28.75, 28.75, 837
02/19/19, 31.00, 31.00, 28.46, 28.46, 1828
02/15/19, 30.64, 30.64, 29.85, 29.90, 1705
02/14/19, 30.80, 30.80, 30.80, 30.80, 51
02/13/19, 32.3701, 32.3701, 28.84, 30.28, 1237
02/12/19, 28.00, 35.90, 28.00, 31.05, 2774
02/11/19, 28.00, 28.00, 28.00, 28.00, 1391
02/08/19, 26.92, 26.92, 26.92, 26.92, 558
02/07/19, 26.97, 26.97, 26.97, 26.97, 222
02/06/19, 26.97, 26.9727, 26.96, 26.97, 1774
02/05/19, 26.75, 27.00, 26.75, 26.75, 2332
02/04/19, 26.02, 26.02, 26.02, 26.02, 0
02/01/19, 27.66, 27.66, 26.0197, 26.0197, 940
01/31/19, 25.68, 25.68, 25.68, 25.68, 229
01/30/19, 26.451, 27.7055, 26.45, 27.7055, 970
01/29/19, 26.00, 26.00, 25.61, 25.61, 515
01/28/19, 25.65, 27.83, 25.65, 26.90, 2966
01/25/19, 28.75, 28.75, 22.50, 24.00, 4606
01/24/19, 28.10, 30.102, 27.63, 28.15, 2949
01/23/19, 27.7864, 27.95, 27.27, 27.95, 1578
01/22/19, 26.44, 28.00, 26.44, 28.00, 2260
01/18/19, 28.35, 28.35, 26.3221, 26.3221, 650
01/17/19, 26.82, 26.82, 26.82, 26.82, 76
01/16/19, 26.16, 26.16, 26.16, 26.16, 121
01/15/19, 29.15, 31.00, 29.06, 31.00, 2248
01/14/19, 27.08, 27.08, 27.08, 27.08, 110
01/11/19, 28.00, 28.00, 28.00, 28.00, 19
01/10/19, 27.69, 28.15, 27.69, 28.00, 858
01/09/19, 27.30, 27.30, 27.30, 27.30, 9
01/08/19, 28.52, 28.52, 28.52, 28.52, 23
01/07/19, 28.90, 28.90, 28.90, 28.90, 361
01/04/19, 27.00, 27.00, 27.00, 27.00, 9
01/03/19, 27.30, 27.32, 27.30, 27.32, 410
01/02/19, 30.7517, 30.7517, 30.7517, 30.7517, 389
12/31/18, 28.65, 31.00, 26.75, 26.75, 3739
12/28/18, 33.81, 33.81, 28.05, 28.05, 997
12/27/18, 28.78, 28.78, 28.29, 28.40, 1320
12/26/18, 28.25, 28.25, 26.5851, 26.5851, 372
12/24/18, 26.78, 34.00, 26.78, 30.70, 1839
12/21/18, 28.09, 29.03, 27.01, 28.36, 5498
12/20/18, 28.50, 28.65, 28.01, 28.06, 1857
12/19/18, 32.26, 32.26, 32.26, 32.26, 270
12/18/18, 28.0201, 29.08, 27.31, 27.31, 5010
12/17/18, 27.01, 27.01, 27.01, 27.01, 273
12/14/18, 31.60, 32.2759, 30.30, 32.2759, 2182
12/13/18, 33.25, 33.25, 33.18, 33.18, 716
12/12/18, 37.49, 37.49, 35.00, 35.00, 3605
12/11/18, 32.50, 37.50, 32.50, 37.50, 1652
12/10/18, 31.46, 31.46, 31.46, 31.46, 376
12/07/18, 35.71, 39.00, 32.47, 32.78, 3324
12/06/18, 37.99, 37.99, 36.25, 36.25, 1339
12/04/18, 37.30, 42.98, 37.30, 38.25, 35855
12/03/18, 39.30, 39.30, 36.00, 37.30, 5354
11/30/18, 40.01, 41.175, 38.68, 39.36, 77395
11/29/18, 41.49, 41.90, 38.36, 38.36, 6361
11/28/18, 37.36, 41.90, 37.36, 41.90, 6860
11/27/18, 42.00, 42.50, 38.4907, 39.50, 20493
11/26/18, 42.20, 42.80, 38.57, 41.55, 15288
11/23/18, 41.105, 42.70, 40.9823, 41.82, 6991
11/21/18, 42.50, 42.50, 34.05, 41.20, 11371
11/20/18, 42.38, 42.38, 38.925, 41.95, 7547
11/19/18, 37.5934, 42.50, 34.526, 42.40, 8862
11/16/18, 39.103, 39.99, 26.15, 38.00, 13775
11/15/18, 24.81, 35.99, 24.81, 35.98, 8966
11/14/18, 20.81, 25.49, 20.81, 24.62, 15788
11/13/18, 19.85, 22.81, 19.85, 21.15, 4430
11/12/18, 18.00, 21.415, 18.00, 21.00, 5742
11/09/18, 22.43, 22.43, 20.01, 20.7215, 4366
11/08/18, 22.05, 22.05, 22.05, 22.05, 790
11/07/18, 26.06, 27.71, 24.00, 24.2715, 12214
11/06/18, 30.51, 30.51, 25.50, 25.77, 4121
11/05/18, 31.23, 31.23, 31.23, 31.23, 622
11/02/18, 32.94, 33.00, 30.6626, 33.00, 1894
11/01/18, 31.00, 31.95, 30.30, 31.06, 2343
10/31/18, 32.00, 32.00, 30.28, 30.7156, 2533
10/30/18, 30.70, 32.935, 30.50, 32.935, 454
10/29/18, 33.8399, 33.8399, 30.4334, 33.00, 2691
10/26/18, 32.466, 34.20, 31.5206, 34.20, 974
10/25/18, 33.7123, 33.7123, 33.7123, 33.7123, 461
10/24/18, 33.86, 35.50, 31.87, 32.63, 2357
10/23/18, 35.00, 36.73, 33.39, 33.9535, 2569
10/22/18, 37.51, 38.14, 35.25, 36.00, 8008
10/19/18, 42.00, 42.799, 36.81, 38.54, 12136
10/18/18, 39.90, 40.80, 37.8376, 40.6999, 21315
10/17/18, 40.80, 40.80, 37.37, 37.37, 5767
10/16/18, 39.95, 40.00, 34.5504, 38.8734, 12110
10/15/18, 34.75, 37.44, 32.05, 37.44, 12907
10/12/18, 37.50, 50.00, 34.50, 35.48, 24295
10/11/18, 32.83, 37.54, 32.83, 37.11, 19920
10/10/18, 35.00, 35.8943, 32.90, 34.67, 14585
10/09/18, 35.00, 35.00, 34.95, 34.95, 1043
10/08/18, 32.20, 32.32, 30.59, 31.3446, 1737
10/05/18, 30.83, 35.10, 30.83, 32.20, 1735
10/04/18, 31.07, 34.17, 30.9321, 34.17, 6589
10/03/18, 36.00, 36.00, 32.97, 33.00, 13685
10/02/18, 31.2108, 37.8054, 31.2108, 36.00, 14316
10/01/18, 34.60, 52.001, 33.5001, 34.89, 70574
09/28/18, 28.69, 39.00, 27.32, 39.00, 14970
09/27/18, 28.43, 29.8456, 27.43, 29.06, 5436
09/26/18, 25.44, 32.53, 25.2096, 29.4689, 37918
09/25/18, 24.93, 25.9299, 24.00, 24.46, 8327
09/24/18, 24.50, 24.62, 21.85, 22.77, 4354
09/21/18, 30.08, 31.1997, 25.01, 25.77, 49258
09/20/18, 21.22, 29.50, 20.42, 29.18, 22565
09/19/18, 20.46, 22.00, 20.00, 21.90, 17655
09/18/18, 19.35, 20.9748, 17.5947, 20.50, 25805
09/17/18, 19.67, 20.68, 19.17, 19.17, 41948
09/14/18, 20.61, 21.6514, 18.94, 19.82, 39026
09/13/18, 20.503, 21.4962, 20.40, 20.80, 11254
09/12/18, 18.3575, 21.50, 17.37, 20.40, 153407
09/11/18, 20.81, 20.81, 17.671, 20.10, 27097
09/10/18, 21.9899, 21.9899, 21.00, 21.00, 1619
09/07/18, 23.50, 23.70, 21.99, 21.99, 6019
09/06/18, 26.00, 26.00, 22.6625, 23.70, 41120
09/05/18, 26.27, 27.00, 25.80, 26.36, 47836
09/04/18, 24.56, 27.89, 23.76, 26.72, 68150
08/31/18, 27.08, 27.08, 24.50, 26.00, 31708
08/30/18, 25.63, 28.19, 25.63, 27.50, 26490
08/29/18, 27.00, 27.02, 22.95, 26.85, 37550
08/28/18, 23.85, 29.44, 22.96, 27.26, 43246
08/27/18, 18.78, 25.00, 17.08, 24.01, 45637
08/24/18, 19.62, 20.00, 18.7612, 18.81, 16755
08/23/18, 20.16, 20.80, 19.2701, 19.68, 20922
08/22/18, 18.80, 21.53, 17.9863, 20.00, 39378
08/21/18, 16.12, 19.53, 15.33, 18.81, 111833
08/20/18, 15.25, 17.00, 15.25, 15.61, 53750
08/17/18, 14.50, 14.50, 13.86, 14.26, 49871
08/16/18, 13.2471, 14.70, 12.71, 14.24, 111185
08/15/18, 15.80, 15.80, 14.4523, 14.55, 39949
08/14/18, 15.00, 16.00, 14.45, 15.975, 18424
08/13/18, 14.50, 15.08, 13.38, 15.00, 30116
08/10/18, 14.25, 14.30, 13.95, 14.25, 11466
08/09/18, 15.90, 15.90, 14.32, 14.32, 49563
08/08/18, 16.8623, 16.8623, 15.30, 15.43, 20716
08/07/18, 15.80, 16.3678, 15.7027, 15.86, 5157
08/06/18, 15.93, 16.55, 15.55, 15.60, 13165
08/03/18, 14.76, 16.19, 14.74, 15.81, 15761
08/02/18, 15.30, 15.30, 14.545, 14.88, 14518
08/01/18, 14.2329, 15.495, 14.2329, 15.29, 7917
07/31/18, 16.73, 16.73, 14.28, 14.29, 5949
07/30/18, 16.30, 16.30, 14.70, 15.48, 12693
07/27/18, 13.07, 17.00, 13.07, 15.69, 39134
07/26/18, 13.78, 14.05, 13.20, 13.22, 15453
07/25/18, 13.57, 13.99, 13.5101, 13.99, 2271
07/24/18, 12.71, 14.9614, 12.71, 13.501, 15922
07/23/18, 12.65, 12.9164, 12.60, 12.61, 3768
07/20/18, 13.81, 13.81, 12.34, 12.58, 26791
07/19/18, 17.36, 17.55, 13.465, 13.84, 38299
07/18/18, 17.28, 18.239, 17.01, 17.15, 26508
07/17/18, 17.35, 17.75, 17.11, 17.26, 29556
07/16/18, 17.70, 17.70, 16.63, 16.63, 30918
07/13/18, 17.66, 18.0075, 17.04, 17.04, 81521
07/12/18, 17.55, 19.64, 16.51, 16.97, 86663
07/11/18, 19.05, 20.81, 17.38, 17.69, 147547
07/10/18, 22.09, 22.2001, 19.41, 19.41, 86641
07/09/18, 22.62, 23.79, 20.7615, 21.245, 70344
07/06/18, 21.69, 23.20, 19.32, 22.66, 92388
07/05/18, 20.87, 22.4397, 20.47, 21.84, 54640
07/03/18, 19.66, 20.97, 19.535, 20.72, 62073
07/02/18, 23.81, 23.81, 19.13, 19.40, 67662
06/29/18, 25.10, 25.5903, 23.60, 23.68, 29331
06/28/18, 24.33, 25.50, 23.501, 24.25, 85964
06/27/18, 23.42, 25.9499, 23.42, 24.50, 20917
06/26/18, 26.04, 26.04, 21.13, 24.01, 77480
06/25/18, 27.06, 28.05, 25.70, 25.85, 40256
06/22/18, 28.07, 30.44, 26.73, 27.16, 90491
06/21/18, 26.08, 30.9899, 24.59, 28.50, 143663
06/20/18, 25.29, 28.1699, 23.8904, 25.78, 53255
06/19/18, 27.88, 32.00, 24.661, 25.50, 117285
06/18/18, 29.26, 29.40, 24.38, 28.14, 105609
06/15/18, 27.61, 37.63, 26.33, 29.41, 369226
06/14/18, 16.33, 31.28, 16.33, 27.80, 808354
06/13/18, 13.37, 16.25, 13.30, 16.22, 219864
06/12/18, 10.34, 13.39, 10.27, 13.39, 190970
06/11/18, 9.91, 10.94, 9.851, 10.26, 85112
06/08/18, 9.97, 10.28, 9.71, 10.28, 79228
06/07/18, 9.955, 10.5302, 9.81, 9.95, 59010
06/06/18, 9.66, 10.94, 9.66, 10.07, 38099
06/05/18, 10.00, 10.11, 9.59, 9.81, 48162
06/04/18, 10.31, 11.4689, 9.56, 10.00, 93319
06/01/18, 9.84, 10.30, 9.82, 10.13, 53342
05/31/18, 9.89, 10.16, 9.815, 9.84, 32908
05/30/18, 10.11, 10.35, 9.82, 10.07, 31318
05/29/18, 9.90, 10.60, 9.66, 10.04, 81712
05/25/18, 9.92, 10.2695, 9.241, 9.97, 107988
05/24/18, 9.28, 10.49, 9.07, 9.85, 129754
05/23/18, 8.73, 9.25, 8.69, 9.22, 69967
05/22/18, 9.04, 9.04, 8.61, 8.80, 70541
05/21/18, 8.57, 9.23, 8.48, 9.11, 46017
05/18/18, 8.88, 8.88, 8.55, 8.62, 64007
05/17/18, 9.45, 9.50, 8.78, 8.78, 152358
05/16/18, 10.00, 10.28, 9.16, 9.59, 146214
05/15/18, 9.56, 10.67, 9.56, 9.93, 89004
05/14/18, 10.31, 10.67, 9.40, 9.55, 76022
05/11/18, 10.51, 11.03, 9.955, 10.30, 79260
05/10/18, 10.2126, 12.1093, 10.2126, 11.05, 196483
05/09/18, 9.54, 10.46, 8.90, 10.40, 235259
05/08/18, 9.87, 10.49, 9.18, 9.48, 122345
05/07/18, 9.08, 11.7073, 8.95, 9.87, 260824
