Date, Open, High, Low, Close, Volume
03/25/19, 18.02, 18.03, 17.92, 17.95, 5993061
03/22/19, 18.11, 18.17, 17.99, 18.00, 4178835
03/21/19, 18.02, 18.15, 18.00, 18.07, 4270073
03/20/19, 18.03, 18.09, 17.95, 17.99, 4170305
03/19/19, 18.15, 18.17, 17.99, 18.00, 4047761
03/18/19, 18.00, 18.14, 17.99, 18.12, 4932647
03/15/19, 17.98, 18.05, 17.97, 18.00, 4836413
03/14/19, 18.04, 18.06, 17.96, 18.00, 2612033
03/13/19, 17.92, 18.05, 17.91, 18.03, 4448959
03/12/19, 17.92, 17.95, 17.85, 17.90, 4576684
03/11/19, 17.78, 17.95, 17.76, 17.95, 5389525
03/08/19, 17.64, 17.78, 17.64, 17.76, 3724022
03/07/19, 17.63, 17.76, 17.62, 17.68, 5264009
03/06/19, 17.58, 17.68, 17.57, 17.63, 4516878
03/05/19, 17.60, 17.64, 17.52, 17.58, 4199633
03/04/19, 17.53, 17.62, 17.50, 17.61, 5390639
03/01/19, 17.70, 17.70, 17.50, 17.56, 5971544
02/28/19, 17.56, 17.75, 17.54, 17.65, 7554478
02/27/19, 17.63, 17.63, 17.50, 17.55, 4193342
02/26/19, 17.74, 17.79, 17.73, 17.74, 4284493
02/25/19, 17.74, 17.79, 17.68, 17.74, 4939211
02/22/19, 17.65, 17.75, 17.60, 17.71, 3138209
02/21/19, 17.64, 17.67, 17.56, 17.61, 6206831
02/20/19, 17.71, 17.71, 17.60, 17.67, 5812724
02/19/19, 17.63, 17.72, 17.59, 17.69, 5596134
02/15/19, 17.72, 17.75, 17.60, 17.62, 6375458
02/14/19, 17.73, 17.76, 17.65, 17.69, 5066882
02/13/19, 17.80, 17.83, 17.67, 17.73, 5883886
02/12/19, 17.82, 17.93, 17.75, 17.83, 7507643
02/11/19, 17.83, 17.86, 17.71, 17.80, 4525604
02/08/19, 17.84, 17.86, 17.68, 17.81, 3917481
02/07/19, 17.84, 17.89, 17.77, 17.85, 3423567
02/06/19, 17.77, 17.88, 17.70, 17.85, 6829244
02/05/19, 17.81, 17.88, 17.68, 17.79, 6758194
02/04/19, 17.74, 17.83, 17.66, 17.83, 5450770
02/01/19, 17.84, 17.92, 17.65, 17.76, 9514294
01/31/19, 17.80, 17.91, 17.76, 17.91, 10724908
01/30/19, 18.00, 18.05, 17.91, 17.94, 10537690
01/29/19, 18.10, 18.12, 18.02, 18.11, 5943244
01/28/19, 18.12, 18.15, 18.02, 18.06, 4855858
01/25/19, 18.04, 18.12, 18.01, 18.12, 4825911
01/24/19, 17.99, 18.03, 17.89, 18.01, 4046528
01/23/19, 17.98, 18.03, 17.92, 18.01, 4767703
01/22/19, 18.04, 18.06, 17.83, 17.94, 5607640
01/18/19, 18.04, 18.08, 17.96, 18.01, 4671983
01/17/19, 17.99, 18.03, 17.89, 18.00, 5443612
01/16/19, 18.01, 18.03, 17.93, 17.98, 4616029
01/15/19, 17.97, 18.02, 17.91, 17.95, 4440994
01/14/19, 17.97, 18.09, 17.93, 17.95, 5939192
01/11/19, 17.77, 17.89, 17.73, 17.89, 3313191
01/10/19, 17.80, 17.83, 17.68, 17.76, 6455094
01/09/19, 17.87, 17.94, 17.77, 17.79, 6555825
01/08/19, 17.86, 17.93, 17.80, 17.80, 6919527
01/07/19, 18.00, 18.12, 17.88, 17.93, 4618071
01/04/19, 17.91, 18.05, 17.89, 17.94, 5298940
01/03/19, 17.59, 17.93, 17.59, 17.86, 5701541
01/02/19, 17.55, 17.66, 17.40, 17.63, 3327478
12/31/18, 17.72, 17.76, 17.48, 17.54, 5428883
12/28/18, 17.73, 17.82, 17.67, 17.73, 4472150
12/27/18, 17.67, 17.84, 17.32, 17.84, 6748201
12/26/18, 17.28, 17.70, 17.27, 17.68, 5740986
12/24/18, 17.45, 17.51, 16.96, 17.24, 4900946
12/21/18, 17.49, 17.74, 17.35, 17.45, 8115808
12/20/18, 17.80, 17.83, 17.31, 17.44, 8552136
12/19/18, 17.80, 17.94, 17.67, 17.70, 6958243
12/18/18, 17.78, 17.90, 17.58, 17.76, 5295426
12/17/18, 18.01, 18.11, 17.63, 17.66, 6757498
12/14/18, 17.91, 18.11, 17.87, 18.02, 7825407
12/13/18, 17.79, 17.90, 17.74, 17.87, 5249954
12/12/18, 17.88, 17.95, 17.72, 17.73, 7027043
12/11/18, 17.87, 18.08, 17.86, 17.91, 6057955
12/10/18, 17.83, 17.93, 17.69, 17.88, 8303528
12/07/18, 17.83, 17.88, 17.74, 17.83, 5966455
12/06/18, 17.66, 17.85, 17.56, 17.85, 9015533
12/04/18, 17.83, 17.94, 17.59, 17.64, 4987611
12/03/18, 17.74, 17.87, 17.63, 17.80, 6606236
11/30/18, 17.73, 17.83, 17.61, 17.70, 15988561
11/29/18, 17.55, 17.80, 17.50, 17.73, 7259862
11/28/18, 17.55, 17.77, 17.52, 17.76, 6657968
11/27/18, 17.48, 17.62, 17.46, 17.54, 6809979
11/26/18, 17.43, 17.58, 17.34, 17.54, 8888149
11/23/18, 17.51, 17.55, 17.38, 17.41, 6230772
11/21/18, 17.46, 17.56, 17.40, 17.50, 6282386
11/20/18, 17.47, 17.60, 17.43, 17.45, 11230831
11/19/18, 17.61, 17.72, 17.51, 17.54, 11375792
11/16/18, 17.33, 17.71, 17.31, 17.62, 16720352
11/15/18, 17.29, 17.44, 17.26, 17.37, 45246957
11/14/18, 17.90, 17.95, 17.74, 17.78, 4366152
11/13/18, 17.80, 17.90, 17.76, 17.88, 3580311
11/12/18, 17.99, 18.01, 17.74, 17.76, 6005133
11/09/18, 17.82, 18.10, 17.80, 18.08, 7239799
11/08/18, 17.94, 17.95, 17.81, 17.87, 6444646
11/07/18, 17.87, 17.99, 17.75, 17.94, 6023506
11/06/18, 17.58, 17.83, 17.52, 17.79, 7111104
11/05/18, 17.69, 17.75, 17.55, 17.57, 4849327
11/02/18, 17.82, 17.89, 17.65, 17.67, 6669214
11/01/18, 17.84, 17.86, 17.68, 17.84, 5705334
10/31/18, 17.86, 17.94, 17.77, 17.84, 6129020
10/30/18, 17.87, 17.98, 17.73, 17.84, 5471242
10/29/18, 18.05, 18.18, 17.99, 18.06, 6266350
10/26/18, 17.98, 18.07, 17.82, 17.98, 7345346
10/25/18, 17.99, 18.10, 17.81, 18.06, 6672947
10/24/18, 17.63, 18.06, 17.58, 17.84, 9649239
10/23/18, 17.60, 17.68, 17.57, 17.59, 7314353
10/22/18, 17.88, 17.93, 17.68, 17.68, 4769368
10/19/18, 17.87, 17.92, 17.76, 17.82, 3919855
10/18/18, 17.96, 18.00, 17.85, 17.90, 3767872
