Date, Open, High, Low, Close, Volume
03/25/19, 25.72, 25.80, 25.66, 25.71, 65924
03/22/19, 25.72, 25.75, 25.70, 25.74, 16407
03/21/19, 25.61, 25.74, 25.6001, 25.71, 58724
03/20/19, 25.59, 25.60, 25.5448, 25.60, 10525
03/19/19, 25.60, 25.60, 25.53, 25.59, 22820
03/18/19, 25.50, 25.60, 25.49, 25.60, 106248
03/15/19, 25.50, 25.50, 25.49, 25.49, 41201
03/14/19, 25.50, 25.50, 25.48, 25.4968, 27759
03/13/19, 25.49, 25.50, 25.49, 25.50, 34316
03/12/19, 25.48, 25.5253, 25.48, 25.48, 10829
03/11/19, 25.55, 25.55, 25.48, 25.48, 18543
03/08/19, 25.50, 25.55, 25.45, 25.49, 33325
03/07/19, 25.51, 25.58, 25.51, 25.54, 17209
03/06/19, 25.51, 25.5713, 25.51, 25.51, 21406
03/05/19, 25.52, 25.57, 25.49, 25.57, 36301
03/04/19, 25.50, 25.56, 25.50, 25.52, 27292
03/01/19, 25.63, 25.63, 25.49, 25.49, 10378
02/28/19, 25.53, 25.55, 25.4773, 25.55, 12033
02/27/19, 25.57, 25.6499, 25.45, 25.51, 53800
02/26/19, 25.6795, 25.68, 25.60, 25.60, 10998
02/25/19, 25.63, 25.69, 25.63, 25.64, 21870
02/22/19, 25.60, 25.6202, 25.60, 25.6183, 12196
02/21/19, 25.60, 25.62, 25.60, 25.62, 7486
02/20/19, 25.59, 25.62, 25.59, 25.61, 9526
02/19/19, 25.50, 25.63, 25.50, 25.62, 22169
02/15/19, 25.5399, 25.62, 25.45, 25.62, 17465
02/14/19, 25.4765, 25.53, 25.45, 25.53, 8398
02/13/19, 25.4899, 25.50, 25.44, 25.49, 18208
02/12/19, 25.448, 25.49, 25.42, 25.4814, 11989
02/11/19, 25.48, 25.50, 25.42, 25.50, 14257
02/08/19, 25.41, 25.46, 25.38, 25.40, 2459
02/07/19, 25.46, 25.48, 25.36, 25.43, 10451
02/06/19, 25.40, 25.445, 25.40, 25.4228, 7827
02/05/19, 25.32, 25.45, 25.30, 25.45, 17712
02/04/19, 25.30, 25.3785, 25.24, 25.31, 22385
02/01/19, 25.14, 25.34, 25.14, 25.31, 29400
01/31/19, 25.31, 25.356, 25.05, 25.05, 150531
01/30/19, 25.2803, 25.34, 25.27, 25.27, 18873
01/29/19, 25.33, 25.33, 25.22, 25.22, 32833
01/28/19, 25.26, 25.3495, 25.19, 25.20, 52969
01/25/19, 25.29, 25.37, 25.27, 25.30, 22888
01/24/19, 25.18, 25.30, 25.18, 25.2901, 10351
01/23/19, 25.20, 25.20, 25.15, 25.16, 48906
01/22/19, 25.25, 25.33, 25.18, 25.18, 32633
01/18/19, 25.19, 25.2938, 25.15, 25.25, 38398
01/17/19, 25.1444, 25.1799, 25.1256, 25.15, 17105
01/16/19, 25.14, 25.15, 25.1066, 25.13, 21137
01/15/19, 25.10, 25.1787, 25.04, 25.13, 156383
01/14/19, 25.10, 25.1139, 25.04, 25.04, 97713
01/11/19, 25.10, 25.121, 24.99, 25.04, 138153
01/10/19, 25.13, 25.1544, 25.02, 25.05, 106083
01/09/19, 25.07, 25.1596, 25.05, 25.13, 58431
01/08/19, 25.15, 25.15, 25.08, 25.12, 38025
01/07/19, 25.16, 25.2899, 25.11, 25.13, 67342
01/04/19, 25.26, 25.3483, 25.15, 25.32, 50316
01/03/19, 25.3027, 25.33, 25.15, 25.26, 14103
01/02/19, 25.20, 25.40, 25.14, 25.39, 17677
12/31/18, 25.50, 25.50, 25.25, 25.30, 9601
12/28/18, 25.11, 25.25, 25.0011, 25.20, 52648
12/27/18, 25.40, 25.45, 25.30, 25.44, 23643
12/26/18, 25.2812, 25.465, 25.25, 25.45, 20781
12/24/18, 25.32, 25.3334, 25.17, 25.2472, 24543
12/21/18, 25.37, 25.50, 25.22, 25.41, 20584
12/20/18, 25.62, 25.67, 25.35, 25.50, 18409
12/19/18, 25.45, 25.68, 25.38, 25.62, 24482
12/18/18, 25.72, 25.72, 25.38, 25.45, 23474
12/17/18, 25.50, 25.6785, 25.50, 25.60, 35352
12/14/18, 25.51, 25.58, 25.44, 25.58, 15992
12/13/18, 25.5844, 25.5995, 25.53, 25.5365, 8054
12/12/18, 25.61, 25.63, 25.57, 25.57, 6141
12/11/18, 25.64, 25.64, 25.57, 25.61, 1890
12/10/18, 25.5992, 25.64, 25.52, 25.64, 4933
12/07/18, 25.50, 25.65, 25.50, 25.5704, 8485
12/06/18, 25.59, 25.60, 25.43, 25.5186, 22602
12/04/18, 25.5943, 25.67, 25.53, 25.67, 46478
12/03/18, 25.64, 25.64, 25.51, 25.626, 13270
11/30/18, 25.49, 25.59, 25.48, 25.59, 12228
11/29/18, 25.4412, 25.539, 25.42, 25.50, 16087
11/28/18, 25.4708, 25.48, 25.42, 25.4699, 5928
11/27/18, 25.4926, 25.4926, 25.45, 25.45, 3917
11/26/18, 25.4365, 25.55, 25.4064, 25.505, 15001
11/23/18, 25.40, 25.4582, 25.40, 25.4582, 420
11/21/18, 25.37, 25.4754, 25.37, 25.435, 2799
11/20/18, 25.4407, 25.47, 25.35, 25.41, 21212
11/19/18, 25.48, 25.50, 25.43, 25.44, 26349
11/16/18, 25.41, 25.48, 25.41, 25.4602, 8298
11/15/18, 25.43, 25.47, 25.40, 25.45, 14405
11/14/18, 25.48, 25.48, 25.42, 25.43, 3692
11/13/18, 25.46, 25.48, 25.4322, 25.48, 8062
11/12/18, 25.44, 25.45, 25.40, 25.449, 8736
11/09/18, 25.36, 25.44, 25.36, 25.439, 6129
11/08/18, 25.29, 25.38, 25.29, 25.36, 9305
11/07/18, 25.42, 25.42, 25.24, 25.30, 31965
11/06/18, 25.47, 25.48, 25.41, 25.42, 1659
11/05/18, 25.3858, 25.48, 25.37, 25.4542, 13609
11/02/18, 25.4638, 25.4699, 25.42, 25.46, 8695
11/01/18, 25.35, 25.47, 25.32, 25.47, 6062
10/31/18, 25.43, 25.44, 25.3742, 25.40, 5240
10/30/18, 25.4007, 25.43, 25.3588, 25.43, 3382
10/29/18, 25.35, 25.43, 25.32, 25.42, 10862
10/26/18, 25.33, 25.35, 25.30, 25.32, 7141
10/25/18, 25.32, 25.44, 25.32, 25.35, 30971
10/24/18, 25.34, 25.34, 25.2695, 25.32, 12670
10/23/18, 25.22, 25.35, 25.20, 25.3174, 12694
10/22/18, 25.20, 25.29, 25.17, 25.24, 45796
10/19/18, 25.15, 25.21, 25.15, 25.20, 30031
10/18/18, 25.20, 25.20, 25.17, 25.20, 26334
10/17/18, 25.20, 25.22, 25.16, 25.20, 33377
10/16/18, 25.11, 25.22, 25.11, 25.20, 39407
10/15/18, 25.20, 25.20, 25.03, 25.20, 64328
10/12/18, 25.16, 25.25, 25.16, 25.24, 42835
10/11/18, 25.20, 25.20, 25.14, 25.20, 20294
10/10/18, 25.20, 25.2017, 25.1026, 25.20, 66103
10/09/18, 25.20, 25.20, 25.16, 25.20, 9948
10/08/18, 25.20, 25.20, 25.15, 25.20, 60915
10/05/18, 25.18, 25.28, 25.14, 25.26, 27320
10/04/18, 25.15, 25.22, 25.05, 25.20, 50753
10/03/18, 25.41, 25.45, 25.1531, 25.24, 51945
10/02/18, 25.42, 25.5289, 25.42, 25.45, 21139
10/01/18, 25.45, 25.54, 25.411, 25.44, 15639
09/28/18, 25.50, 25.55, 25.4804, 25.52, 27548
09/27/18, 25.90, 25.97, 25.84, 25.91, 62573
09/26/18, 25.88, 25.90, 25.83, 25.865, 21684
09/25/18, 25.82, 25.90, 25.817, 25.88, 34601
09/24/18, 25.85, 25.9194, 25.85, 25.88, 13127
09/21/18, 25.90, 25.90, 25.8384, 25.8998, 15005
09/20/18, 25.8702, 25.93, 25.85, 25.90, 10753
09/19/18, 25.98, 25.98, 25.84, 25.85, 20467
09/18/18, 25.8609, 25.97, 25.8609, 25.97, 20796
09/17/18, 25.97, 25.9758, 25.87, 25.88, 33399
09/14/18, 25.90, 25.9501, 25.87, 25.95, 21429
09/13/18, 25.94, 25.94, 25.89, 25.94, 14366
09/12/18, 25.94, 25.94, 25.88, 25.94, 8686
09/11/18, 25.91, 25.9394, 25.87, 25.89, 9934
09/10/18, 25.91, 25.94, 25.88, 25.94, 8255
09/07/18, 25.85, 25.91, 25.85, 25.88, 15145
09/06/18, 25.92, 25.93, 25.845, 25.88, 10101
09/05/18, 25.9492, 25.95, 25.86, 25.89, 6261
09/04/18, 25.90, 25.9499, 25.87, 25.90, 23995
08/31/18, 25.8797, 25.95, 25.86, 25.86, 8306
08/30/18, 25.90, 25.95, 25.881, 25.89, 10860
08/29/18, 25.93, 25.93, 25.87, 25.90, 10861
08/28/18, 25.9144, 25.95, 25.90, 25.9297, 16184
08/27/18, 25.95, 25.95, 25.8832, 25.94, 5468
08/24/18, 25.85, 25.95, 25.81, 25.85, 13669
08/23/18, 25.9907, 25.9907, 25.85, 25.95, 9535
08/22/18, 25.9054, 25.97, 25.84, 25.97, 3360
08/21/18, 25.92, 25.97, 25.84, 25.97, 5446
08/20/18, 25.84, 25.95, 25.80, 25.83, 5849
08/17/18, 25.90, 25.95, 25.81, 25.95, 11259
08/16/18, 25.85, 25.95, 25.83, 25.83, 8750
08/15/18, 25.8499, 25.85, 25.76, 25.85, 3727
08/14/18, 25.78, 25.85, 25.75, 25.85, 9635
08/13/18, 25.849, 25.8733, 25.81, 25.85, 7247
08/10/18, 25.91, 25.91, 25.91, 25.91, 1050
08/09/18, 25.80, 25.92, 25.80, 25.85, 6132
08/08/18, 25.825, 25.92, 25.81, 25.92, 17348
08/07/18, 25.85, 25.85, 25.8167, 25.8336, 3721
08/06/18, 25.85, 25.85, 25.81, 25.85, 10156
08/03/18, 25.85, 25.85, 25.8197, 25.85, 3222
08/02/18, 25.7799, 25.85, 25.7701, 25.823, 11511
08/01/18, 25.76, 25.79, 25.71, 25.79, 13554
07/31/18, 25.76, 25.85, 25.76, 25.822, 4885
07/30/18, 26.00, 26.06, 25.82, 25.8299, 9907
