Date, Open, High, Low, Close, Volume
03/25/19, 26.16, 26.16, 26.05, 26.085, 9714
03/22/19, 26.10, 26.17, 26.03, 26.15, 13275
03/21/19, 26.09, 26.09, 25.9116, 26.0586, 30810
03/20/19, 25.98, 26.10, 25.98, 26.07, 296586
03/19/19, 25.86, 26.0894, 25.86, 25.98, 14708
03/18/19, 26.00, 26.109, 25.90, 26.02, 23776
03/15/19, 25.89, 26.00, 25.849, 26.00, 12696
03/14/19, 25.87, 25.89, 25.8525, 25.89, 2116
03/13/19, 25.85, 25.88, 25.74, 25.87, 12434
03/12/19, 25.89, 25.89, 25.82, 25.83, 11990
03/11/19, 25.85, 25.89, 25.73, 25.86, 65870
03/08/19, 25.68, 25.85, 25.68, 25.84, 18379
03/07/19, 25.75, 25.8499, 25.62, 25.83, 76021
03/06/19, 25.91, 26.05, 25.75, 25.86, 16386
03/05/19, 25.75, 25.98, 25.62, 25.98, 55633
03/04/19, 25.69, 25.75, 25.65, 25.70, 23872
03/01/19, 25.59, 25.67, 25.50, 25.65, 60163
02/28/19, 25.72, 25.72, 25.46, 25.57, 142170
02/27/19, 25.83, 25.87, 25.51, 25.70, 129403
02/26/19, 25.79, 25.96, 25.76, 25.83, 17036
02/25/19, 25.9111, 25.9331, 25.7663, 25.80, 22228
02/22/19, 25.9106, 25.97, 25.81, 25.97, 11479
02/21/19, 25.98, 25.98, 25.78, 25.80, 7202
02/20/19, 25.89, 25.9628, 25.69, 25.78, 16813
02/19/19, 25.95, 25.951, 25.85, 25.87, 16126
02/15/19, 25.72, 25.89, 25.65, 25.89, 8527
02/14/19, 25.70, 25.79, 25.65, 25.75, 11933
02/13/19, 25.69, 25.69, 25.564, 25.69, 10968
02/12/19, 25.69, 25.69, 25.50, 25.50, 35904
02/11/19, 25.35, 25.54, 25.35, 25.54, 13298
02/08/19, 25.38, 25.51, 25.38, 25.4841, 8245
02/07/19, 25.575, 25.6303, 25.31, 25.33, 25758
02/06/19, 25.55, 25.64, 25.45, 25.566, 20838
02/05/19, 25.43, 25.55, 25.43, 25.55, 13296
02/04/19, 25.35, 25.4673, 25.20, 25.4096, 39073
