Date, Open, High, Low, Close, Volume
03/25/19, 1.47, 1.55, 1.47, 1.53, 225263
03/22/19, 1.56, 1.57, 1.45, 1.48, 414069
03/21/19, 1.56, 1.58, 1.50, 1.56, 313049
03/20/19, 1.60, 1.653, 1.55, 1.58, 390856
03/19/19, 1.59, 1.60, 1.57, 1.59, 335937
03/18/19, 1.60, 1.65, 1.57, 1.60, 572912
03/15/19, 1.64, 1.70, 1.53, 1.61, 1228006
03/14/19, 1.61, 1.66, 1.60, 1.62, 1271524
03/13/19, 1.69, 1.70, 1.58, 1.65, 2086517
03/12/19, 1.43, 1.68, 1.3164, 1.67, 3037632
03/11/19, 1.14, 1.45, 1.14, 1.44, 3313094
03/08/19, 1.08, 1.1505, 1.05, 1.14, 439222
03/07/19, 1.10, 1.12, 1.08, 1.10, 194960
03/06/19, 1.09, 1.12, 1.02, 1.12, 396450
03/05/19, 1.15, 1.18, 1.04, 1.07, 660834
03/04/19, 1.03, 1.26, 1.03, 1.11, 2912896
03/01/19, 0.901, 0.9398, 0.901, 0.9273, 187535
02/28/19, 0.91, 0.94, 0.9001, 0.901, 258566
02/27/19, 0.922, 0.95, 0.902, 0.9401, 141640
02/26/19, 0.9494, 0.9698, 0.9149, 0.9385, 193704
02/25/19, 0.9043, 1.00, 0.9043, 0.9339, 356067
02/22/19, 0.9073, 0.96, 0.90, 0.9163, 399492
02/21/19, 0.95, 1.00, 0.9001, 0.9001, 370681
02/20/19, 1.03, 1.04, 0.90, 0.956, 688672
02/19/19, 1.07, 1.09, 1.00, 1.03, 491436
02/15/19, 1.12, 1.13, 1.05, 1.07, 519504
02/14/19, 1.11, 1.17, 1.03, 1.13, 1114740
02/13/19, 1.02, 1.18, 1.01, 1.11, 2642209
02/12/19, 0.93, 1.00, 0.92, 0.99, 965828
02/11/19, 1.00, 1.07, 0.90, 0.9052, 2994795
02/08/19, 0.8561, 0.895, 0.8202, 0.89, 310935
02/07/19, 0.8524, 0.856, 0.82, 0.8443, 68917
02/06/19, 0.8239, 0.849, 0.80, 0.8438, 62418
02/05/19, 0.84, 0.86, 0.8224, 0.8239, 86191
02/04/19, 0.815, 0.85, 0.80, 0.8499, 88814
02/01/19, 0.802, 0.84, 0.8001, 0.825, 73894
01/31/19, 0.8272, 0.85, 0.8039, 0.81, 194806
01/30/19, 0.849, 0.85, 0.80, 0.8416, 156318
01/29/19, 0.84, 0.85, 0.8255, 0.8356, 117115
01/28/19, 0.84, 0.87, 0.8143, 0.8311, 73934
01/25/19, 0.862, 0.89, 0.841, 0.849, 120253
01/24/19, 0.8978, 0.8978, 0.86, 0.8864, 121003
01/23/19, 0.86, 0.89, 0.80, 0.8888, 182596
01/22/19, 0.897, 0.897, 0.85, 0.8801, 210167
01/18/19, 0.783, 0.895, 0.78, 0.891, 695899
01/17/19, 0.78, 0.80, 0.7588, 0.78, 86264
01/16/19, 0.7641, 0.785, 0.75, 0.78, 80719
01/15/19, 0.78, 0.7899, 0.75, 0.765, 130088
01/14/19, 0.7658, 0.80, 0.7658, 0.78, 93368
01/11/19, 0.82, 0.82, 0.7643, 0.7802, 200816
01/10/19, 0.7674, 0.81, 0.7638, 0.7876, 247022
01/09/19, 0.78, 0.7949, 0.75, 0.7923, 150077
01/08/19, 0.7878, 0.7948, 0.7505, 0.79, 244463
01/07/19, 0.7627, 0.80, 0.7029, 0.7608, 213051
01/04/19, 0.747, 0.80, 0.705, 0.78, 239017
01/03/19, 0.714, 0.748, 0.66, 0.74, 195182
01/02/19, 0.5839, 0.728, 0.581, 0.715, 381446
12/31/18, 0.62, 0.62, 0.561, 0.5759, 391911
12/28/18, 0.56, 0.635, 0.5529, 0.6146, 237800
12/27/18, 0.63, 0.65, 0.59, 0.614, 257591
