Date, Open, High, Low, Close, Volume
03/25/19, 4.15, 4.41, 4.14, 4.20, 40442
03/22/19, 4.36, 4.39, 4.06, 4.17, 76754
03/21/19, 4.23, 4.47, 4.225, 4.44, 49419
03/20/19, 4.28, 4.42, 4.12, 4.26, 54569
03/19/19, 4.2133, 4.29, 4.0481, 4.28, 70209
03/18/19, 4.45, 4.71, 4.24, 4.25, 253076
03/15/19, 4.34, 4.74, 4.34, 4.40, 337434
03/14/19, 3.99, 4.50, 3.99, 4.33, 911219
03/13/19, 4.05, 4.14, 3.88, 4.04, 111158
03/12/19, 4.00, 4.13, 4.00, 4.01, 86158
03/11/19, 3.93, 4.06, 3.93, 3.97, 11988
03/08/19, 3.83, 3.98, 3.80, 3.91, 26529
03/07/19, 4.12, 4.12, 3.81, 3.83, 102316
03/06/19, 4.09, 4.12, 3.80, 4.00, 83061
03/05/19, 4.10, 4.24, 4.00, 4.06, 169993
03/04/19, 3.92, 4.09, 3.77, 4.09, 140368
03/01/19, 3.83, 3.96, 3.83, 3.89, 69653
02/28/19, 3.72, 3.96, 3.72, 3.80, 76956
02/27/19, 3.75, 3.8699, 3.6401, 3.75, 64173
02/26/19, 3.73, 3.80, 3.62, 3.68, 85362
02/25/19, 3.65, 4.05, 3.62, 3.72, 298769
02/22/19, 3.39, 3.59, 3.345, 3.40, 50636
02/21/19, 3.34, 3.43, 3.30, 3.40, 27673
02/20/19, 3.34, 3.44, 3.245, 3.35, 100978
02/19/19, 3.27, 3.37, 3.06, 3.34, 49896
02/15/19, 3.32, 3.36, 3.19, 3.26, 29271
02/14/19, 3.35, 3.40, 3.2361, 3.35, 30102
02/13/19, 3.23, 3.36, 3.1524, 3.34, 45938
02/12/19, 3.28, 3.33, 3.19, 3.24, 22460
02/11/19, 3.32, 3.42, 3.1992, 3.29, 35602
02/08/19, 3.18, 3.38, 3.1542, 3.38, 75232
02/07/19, 3.30, 3.4847, 3.10, 3.14, 59235
02/06/19, 3.16, 3.24, 3.1256, 3.24, 44694
02/05/19, 3.10, 3.23, 3.06, 3.15, 54574
02/04/19, 3.04, 3.20, 3.04, 3.10, 25299
02/01/19, 2.99, 3.19, 2.91, 3.08, 89510
01/31/19, 2.92, 3.10, 2.845, 2.96, 43586
01/30/19, 2.79, 3.03, 2.79, 2.96, 27081
01/29/19, 2.93, 2.96, 2.78, 2.80, 60782
01/28/19, 3.05, 3.05, 2.88, 2.95, 40781
01/25/19, 3.06, 3.14, 3.01, 3.06, 43849
01/24/19, 2.99, 3.13, 2.99, 3.07, 71342
01/23/19, 2.98, 3.12, 2.87, 2.97, 82030
01/22/19, 2.89, 3.02, 2.75, 2.98, 194622
01/18/19, 3.02, 3.02, 2.88, 2.905, 41115
01/17/19, 3.01, 3.07, 2.96, 3.00, 42771
01/16/19, 3.0901, 3.20, 3.02, 3.04, 131272
01/15/19, 3.13, 3.20, 3.02, 3.14, 109541
01/14/19, 3.20, 3.24, 3.06, 3.11, 74203
01/11/19, 3.16, 3.25, 3.10, 3.20, 125689
01/10/19, 3.03, 3.20, 2.985, 3.15, 130617
01/09/19, 2.95, 3.25, 2.95, 3.05, 212151
01/08/19, 2.98, 3.06, 2.84, 2.96, 60194
01/07/19, 2.70, 3.04, 2.70, 2.94, 170501
01/04/19, 2.66, 2.72, 2.48, 2.72, 201176
01/03/19, 2.63, 2.70, 2.55, 2.62, 76016
01/02/19, 2.45, 2.69, 2.39, 2.65, 151423
12/31/18, 2.54, 2.70, 2.46, 2.49, 177237
12/28/18, 2.64, 2.729, 2.53, 2.54, 156068
12/27/18, 2.53, 2.71, 2.44, 2.63, 277680
12/26/18, 2.46, 2.60, 2.3455, 2.54, 235391
12/24/18, 2.30, 2.49, 2.30, 2.46, 164559
12/21/18, 2.67, 2.67, 2.26, 2.28, 352813
12/20/18, 2.75, 2.7799, 2.51, 2.63, 174638
12/19/18, 2.89, 2.89, 2.71, 2.75, 258326
12/18/18, 3.12, 3.19, 2.81, 2.82, 299410
12/17/18, 3.21, 3.28, 3.09, 3.11, 237589
12/14/18, 3.44, 3.5099, 3.21, 3.25, 340562
12/13/18, 4.07, 4.30, 3.32, 3.47, 1761850
12/12/18, 6.11, 6.87, 6.00, 6.56, 347527
12/11/18, 6.29, 6.35, 5.86, 6.11, 175646
12/10/18, 6.47, 6.47, 6.1305, 6.17, 79514
12/07/18, 6.25, 6.59, 5.99, 6.50, 68890
12/06/18, 6.14, 6.35, 5.63, 6.31, 168389
12/04/18, 6.54, 6.61, 6.08, 6.14, 67023
12/03/18, 6.58, 6.64, 6.41, 6.56, 41374
11/30/18, 6.45, 6.65, 6.45, 6.49, 39575
11/29/18, 6.50, 6.57, 6.46, 6.49, 86933
11/28/18, 6.55, 6.68, 6.42, 6.58, 58516
11/27/18, 6.41, 6.55, 6.40, 6.48, 69903
11/26/18, 6.73, 6.75, 6.30, 6.52, 102637
11/23/18, 6.80, 6.9279, 6.68, 6.73, 16140
11/21/18, 6.78, 6.96, 6.63, 6.80, 34846
11/20/18, 6.76, 6.99, 6.75, 6.75, 37835
11/19/18, 6.90, 7.1282, 6.76, 6.88, 40869
11/16/18, 6.87, 7.03, 6.76, 6.86, 43141
11/15/18, 6.82, 7.09, 6.72, 6.90, 56281
11/14/18, 7.16, 7.35, 6.60, 6.83, 104405
11/13/18, 7.05, 7.48, 7.05, 7.15, 154950
11/12/18, 6.70, 7.25, 6.5701, 7.05, 120560
11/09/18, 7.03, 7.10, 6.41, 6.70, 146592
11/08/18, 7.10, 7.10, 6.64, 7.01, 142295
11/07/18, 6.29, 7.10, 6.28, 6.80, 131572
11/06/18, 6.31, 6.435, 6.28, 6.28, 75804
11/05/18, 6.44, 6.48, 6.28, 6.33, 41816
11/02/18, 6.47, 6.65, 6.27, 6.48, 96856
11/01/18, 6.33, 6.47, 6.20, 6.47, 99214
10/31/18, 6.69, 6.74, 6.25, 6.28, 115954
10/30/18, 6.38, 6.63, 6.08, 6.63, 100216
10/29/18, 6.52, 6.57, 6.28, 6.33, 127290
10/26/18, 6.48, 6.79, 6.48, 6.52, 137402
10/25/18, 6.49, 6.82, 6.3818, 6.48, 68176
10/24/18, 6.84, 7.20, 6.50, 6.51, 139651
