Date, Open, High, Low, Close, Volume
03/25/19, 20.71, 21.07, 20.71, 20.89, 89429
03/22/19, 21.11, 21.25, 20.78, 20.89, 105616
03/21/19, 20.61, 21.34, 20.61, 21.15, 132932
03/20/19, 20.33, 20.89, 20.13, 20.60, 67728
03/19/19, 20.50, 20.725, 20.29, 20.36, 68344
03/18/19, 20.42, 20.65, 20.29, 20.36, 55303
03/15/19, 20.49, 20.86, 20.47, 20.48, 156354
03/14/19, 20.33, 20.53, 20.25, 20.42, 46960
03/13/19, 21.06, 21.06, 20.42, 20.42, 39749
03/12/19, 20.71, 20.71, 20.35, 20.53, 61162
03/11/19, 20.03, 20.85, 19.89, 20.70, 142332
03/08/19, 20.10, 20.46, 19.93, 20.02, 107445
03/07/19, 20.605, 20.805, 20.11, 20.21, 103020
03/06/19, 20.82, 21.10, 20.71, 20.74, 56154
03/05/19, 20.40, 20.90, 20.265, 20.84, 56137
03/04/19, 20.70, 20.89, 20.22, 20.39, 129760
03/01/19, 21.00, 21.00, 20.625, 20.69, 55361
02/28/19, 20.94, 21.10, 20.89, 20.90, 36305
02/27/19, 20.74, 21.01, 20.65, 21.00, 78980
02/26/19, 20.69, 20.9499, 20.51, 20.71, 98028
02/25/19, 20.90, 21.38, 20.68, 20.68, 105429
02/22/19, 20.89, 21.15, 20.80, 20.89, 142446
02/21/19, 20.43, 20.99, 20.36, 20.88, 201071
02/20/19, 20.48, 20.75, 20.40, 20.44, 129354
02/19/19, 20.00, 20.45, 20.00, 20.43, 89710
02/15/19, 19.96, 20.35, 19.73, 20.34, 133402
02/14/19, 19.41, 20.00, 19.3623, 19.84, 115767
02/13/19, 19.30, 19.68, 19.20, 19.44, 115716
02/12/19, 19.27, 19.60, 19.13, 19.34, 136907
02/11/19, 19.20, 19.57, 19.09, 19.17, 80649
02/08/19, 19.23, 19.50, 19.09, 19.20, 124065
02/07/19, 18.85, 19.50, 18.83, 19.22, 182812
02/06/19, 18.59, 18.90, 18.59, 18.78, 111669
02/05/19, 17.81, 18.59, 17.81, 18.56, 128355
02/04/19, 17.81, 18.02, 17.6344, 17.89, 134676
02/01/19, 17.76, 17.99, 17.56, 17.92, 85405
01/31/19, 17.627, 17.85, 17.615, 17.70, 54994
01/30/19, 17.62, 18.01, 17.25, 17.87, 81807
01/29/19, 17.88, 18.35, 17.4017, 17.63, 150362
01/28/19, 16.43, 18.66, 16.07, 17.88, 297481
01/25/19, 15.00, 16.70, 15.00, 16.42, 306824
01/24/19, 14.20, 14.57, 14.10, 14.14, 71637
01/23/19, 14.37, 14.65, 14.22, 14.27, 29211
01/22/19, 14.64, 14.87, 14.32, 14.38, 35154
01/18/19, 14.74, 15.1595, 14.50, 14.75, 85561
01/17/19, 14.04, 15.14, 14.04, 14.70, 154135
01/16/19, 14.10, 14.3547, 14.03, 14.12, 53171
01/15/19, 13.92, 14.51, 13.92, 14.18, 95317
01/14/19, 14.23, 14.25, 13.87, 13.92, 34483
01/11/19, 14.49, 14.50, 14.19, 14.32, 40450
01/10/19, 14.55, 14.77, 14.43, 14.48, 29127
01/09/19, 14.92, 15.15, 14.495, 14.66, 43333
01/08/19, 14.69, 15.12, 14.63, 14.86, 33779
01/07/19, 14.54, 15.13, 14.415, 14.57, 49422
01/04/19, 14.30, 15.06, 14.30, 14.55, 46592
01/03/19, 14.50, 15.41, 14.18, 14.28, 38495
01/02/19, 14.30, 15.04, 14.21, 14.50, 123153
12/31/18, 14.69, 14.71, 14.28, 14.34, 38293
12/28/18, 15.37, 15.44, 14.485, 14.59, 31585
12/27/18, 14.41, 14.84, 14.25, 14.84, 32139
12/26/18, 14.28, 14.58, 14.03, 14.58, 36846
12/24/18, 13.97, 14.74, 13.32, 14.10, 81834
12/21/18, 14.41, 14.52, 13.675, 13.88, 389576
12/20/18, 15.14, 15.2247, 14.38, 14.53, 66171
12/19/18, 15.28, 15.44, 15.05, 15.13, 67483
12/18/18, 15.10, 15.34, 14.80, 15.29, 34876
12/17/18, 15.48, 15.73, 14.96, 15.02, 58662
12/14/18, 15.25, 15.85, 15.25, 15.53, 44344
12/13/18, 15.19, 15.53, 15.01, 15.37, 41028
12/12/18, 15.62, 15.72, 15.33, 15.39, 33755
12/11/18, 15.67, 15.79, 15.15, 15.47, 16051
12/10/18, 15.60, 16.10, 15.40, 15.51, 28341
12/07/18, 15.67, 16.21, 15.5368, 15.59, 46147
12/06/18, 15.82, 15.93, 15.36, 15.75, 57832
12/04/18, 16.48, 16.61, 15.80, 15.87, 52021
12/03/18, 16.51, 16.73, 16.28, 16.49, 22478
11/30/18, 16.67, 16.7423, 16.34, 16.49, 55512
11/29/18, 17.07, 17.485, 16.67, 16.70, 32037
11/28/18, 16.62, 17.52, 16.62, 17.02, 76938
11/27/18, 16.09, 16.71, 16.05, 16.57, 80487
11/26/18, 16.06, 16.25, 15.96, 16.17, 23442
11/23/18, 16.05, 16.16, 15.695, 15.97, 14278
11/21/18, 16.09, 16.59, 15.98, 16.11, 15318
11/20/18, 15.84, 16.16, 15.70, 16.08, 49421
11/19/18, 16.06, 16.16, 15.92, 15.96, 44187
11/16/18, 16.14, 16.54, 15.88, 16.11, 65173
11/15/18, 16.08, 16.35, 16.00, 16.25, 35849
11/14/18, 16.44, 16.49, 16.085, 16.10, 48893
11/13/18, 16.41, 16.55, 16.25, 16.36, 28788
11/12/18, 16.69, 16.69, 16.28, 16.36, 30953
11/09/18, 16.35, 16.71, 16.21, 16.68, 52823
11/08/18, 16.38, 16.80, 16.23, 16.38, 24465
11/07/18, 16.18, 16.54, 16.15, 16.21, 42653
11/06/18, 16.00, 16.23, 15.93, 16.11, 15334
11/05/18, 16.28, 16.28, 15.95, 16.00, 55415
11/02/18, 16.48, 16.48, 16.13, 16.31, 30870
11/01/18, 16.26, 16.72, 16.1936, 16.43, 42980
10/31/18, 16.38, 16.49, 16.03, 16.27, 66672
10/30/18, 15.91, 16.37, 15.705, 16.23, 44523
10/29/18, 16.27, 16.53, 15.66, 15.84, 105239
10/26/18, 15.52, 16.1962, 15.01, 16.08, 113031
