Date, Open, High, Low, Close, Volume
03/25/19, 1.75, 1.95, 1.7368, 1.8335, 36256
03/22/19, 1.73, 1.82, 1.7211, 1.76, 7073
03/21/19, 1.76, 1.76, 1.72, 1.72, 8124
03/20/19, 1.79, 1.79, 1.76, 1.76, 4987
03/19/19, 1.83, 1.83, 1.78, 1.78, 9975
03/18/19, 1.77, 1.84, 1.77, 1.84, 3154
03/15/19, 1.84, 1.84, 1.77, 1.77, 11381
03/14/19, 1.8294, 1.84, 1.8294, 1.84, 13425
03/13/19, 1.84, 1.84, 1.8399, 1.8399, 1109
03/12/19, 1.84, 1.84, 1.82, 1.84, 6051
03/11/19, 1.86, 1.93, 1.77, 1.93, 16750
03/08/19, 1.8593, 1.90, 1.82, 1.85, 27891
03/07/19, 1.81, 2.00, 1.79, 1.81, 42179
03/06/19, 1.7912, 1.81, 1.78, 1.80, 10060
03/05/19, 1.76, 1.769, 1.751, 1.7527, 3683
03/04/19, 1.86, 1.86, 1.76, 1.77, 2471
03/01/19, 1.82, 1.86, 1.7886, 1.86, 3797
02/28/19, 1.86, 1.86, 1.8143, 1.86, 3082
02/27/19, 1.84, 1.84, 1.84, 1.84, 393
02/26/19, 1.91, 1.91, 1.74, 1.80, 13083
02/25/19, 1.91, 1.91, 1.85, 1.894, 1524
02/22/19, 1.94, 1.94, 1.94, 1.94, 184
02/21/19, 1.95, 1.95, 1.85, 1.90, 10624
02/20/19, 1.9302, 1.95, 1.89, 1.89, 8004
02/19/19, 1.93, 1.93, 1.89, 1.8958, 3186
02/15/19, 1.89, 1.89, 1.89, 1.89, 195
02/14/19, 1.89, 1.89, 1.85, 1.85, 1086
02/13/19, 1.76, 1.85, 1.7575, 1.85, 4204
02/12/19, 1.76, 1.78, 1.76, 1.76, 2818
02/11/19, 1.90, 1.90, 1.69, 1.69, 25235
02/08/19, 1.9835, 1.9835, 1.94, 1.94, 276
02/07/19, 1.81, 1.9001, 1.81, 1.9001, 929
02/06/19, 1.86, 1.86, 1.86, 1.86, 61
02/05/19, 1.94, 1.94, 1.94, 1.94, 921
02/04/19, 1.92, 1.94, 1.92, 1.94, 891
02/01/19, 1.85, 1.9887, 1.85, 1.88, 1811
01/31/19, 2.00, 2.00, 1.964, 1.964, 1241
01/30/19, 1.97, 1.9999, 1.85, 1.8851, 3137
01/29/19, 2.10, 2.10, 2.07, 2.07, 717
01/28/19, 1.96, 2.11, 1.95, 2.11, 1348
01/25/19, 1.96, 1.96, 1.96, 1.96, 323
01/24/19, 1.96, 1.96, 1.96, 1.96, 254
01/23/19, 1.93, 2.11, 1.93, 2.11, 493
01/22/19, 1.93, 2.08, 1.93, 1.95, 5276
01/18/19, 1.87, 1.9662, 1.87, 1.94, 4737
01/17/19, 2.07, 2.1699, 1.72, 1.83, 34412
01/16/19, 1.96, 2.13, 1.96, 2.0605, 20121
01/15/19, 1.94, 1.96, 1.94, 1.96, 986
01/14/19, 1.94, 1.94, 1.94, 1.94, 956
01/11/19, 1.90, 1.90, 1.90, 1.90, 2668
01/10/19, 1.86, 1.86, 1.86, 1.86, 169
01/09/19, 1.82, 1.82, 1.82, 1.82, 303
01/08/19, 1.94, 1.94, 1.94, 1.94, 445
01/07/19, 1.77, 1.95, 1.77, 1.94, 5220
01/04/19, 1.89, 1.89, 1.70, 1.79, 2584
01/03/19, 1.81, 1.96, 1.71, 1.71, 3276
01/02/19, 1.70, 1.77, 1.70, 1.77, 615
12/31/18, 1.65, 2.02, 1.65, 1.8269, 3152
12/28/18, 1.92, 2.05, 1.84, 1.8901, 16296
12/27/18, 1.7138, 1.75, 1.6201, 1.67, 6799
12/26/18, 1.83, 1.84, 1.72, 1.73, 14105
12/24/18, 1.8504, 1.87, 1.85, 1.85, 1525
12/21/18, 1.94, 1.9415, 1.83, 1.83, 17275
12/20/18, 1.97, 2.0092, 1.97, 1.97, 6008
12/19/18, 1.97, 2.0401, 1.97, 2.0401, 1099
12/18/18, 1.97, 2.0401, 1.97, 2.01, 3547
12/17/18, 1.97, 2.0592, 1.97, 1.9793, 3445
12/14/18, 1.97, 1.97, 1.97, 1.97, 15
12/13/18, 1.97, 1.9988, 1.97, 1.97, 3199
12/12/18, 1.97, 1.97, 1.97, 1.97, 507
12/11/18, 1.98, 1.99, 1.97, 1.98, 7855
12/10/18, 1.98, 2.00, 1.98, 1.98, 10530
12/07/18, 2.00, 2.00, 2.00, 2.00, 48
12/06/18, 2.05, 2.0648, 2.01, 2.01, 1139
12/04/18, 1.9899, 2.0399, 1.986, 1.986, 1496
12/03/18, 2.0689, 2.0689, 1.9811, 1.9811, 1479
11/30/18, 2.05, 2.08, 1.98, 1.98, 2683
11/29/18, 2.00, 2.05, 1.95, 2.05, 2237
11/28/18, 2.0542, 2.0542, 1.96, 2.026, 2965
11/27/18, 1.9707, 1.9708, 1.95, 1.9708, 1014
11/26/18, 2.06, 2.1185, 1.96, 1.96, 10933
11/23/18, 2.08, 2.08, 1.9554, 2.06, 3210
11/21/18, 1.9996, 2.00, 1.99, 2.00, 3268
11/20/18, 1.95, 2.02, 1.95, 1.9604, 2545
11/19/18, 2.0399, 2.084, 1.95, 2.00, 10092
11/16/18, 2.07, 2.07, 1.9788, 2.01, 7353
11/15/18, 2.01, 2.03, 1.9902, 1.9999, 3034
11/14/18, 2.12, 2.1499, 1.9567, 2.00, 14802
11/13/18, 2.15, 2.15, 2.00, 2.00, 1730
11/12/18, 2.08, 2.14, 2.05, 2.14, 1059
11/09/18, 2.20, 2.20, 2.0048, 2.0048, 7539
11/08/18, 2.07, 2.20, 2.05, 2.13, 20931
11/07/18, 2.09, 2.20, 2.08, 2.10, 3603
11/06/18, 2.09, 2.1757, 2.06, 2.06, 2549
11/05/18, 2.09, 2.11, 2.06, 2.11, 3744
11/02/18, 2.08, 2.115, 2.05, 2.0599, 7442
11/01/18, 2.25, 2.25, 2.02, 2.04, 16205
10/31/18, 2.10, 2.80, 2.0045, 2.16, 213695
10/30/18, 1.90, 2.00, 1.90, 1.9981, 12483
10/29/18, 2.04, 2.05, 1.92, 1.92, 2657
10/26/18, 1.92, 2.1342, 1.91, 2.0183, 3240
