Date, Open, High, Low, Close, Volume
03/25/19, 4.64, 4.68, 4.43, 4.44, 32476
03/22/19, 4.50, 4.69, 4.45, 4.69, 22365
03/21/19, 4.70, 4.70, 4.43, 4.52, 25133
03/20/19, 4.79, 4.9853, 4.47, 4.47, 41674
03/19/19, 5.07, 5.1148, 4.67, 4.73, 38470
03/18/19, 5.30, 5.30, 4.98, 4.98, 64136
03/15/19, 7.38, 7.38, 5.06, 5.32, 49039
03/14/19, 4.77, 6.20, 4.49, 6.15, 188543
03/13/19, 4.27, 4.99, 4.10, 4.79, 48875
03/12/19, 3.73, 4.29, 3.73, 4.29, 21810
03/11/19, 3.52, 3.75, 3.52, 3.75, 14245
03/08/19, 3.43, 3.82, 3.41, 3.70, 24536
03/07/19, 3.34, 3.44, 3.32, 3.43, 35168
03/06/19, 3.26, 3.5889, 3.2505, 3.43, 28624
03/05/19, 3.45, 3.53, 3.2111, 3.24, 33896
03/04/19, 3.59, 3.61, 3.35, 3.43, 32092
03/01/19, 3.398, 3.46, 3.32, 3.34, 36843
02/28/19, 3.29, 3.54, 3.29, 3.38, 29190
02/27/19, 3.35, 3.61, 3.22, 3.27, 37013
02/26/19, 3.43, 3.64, 3.39, 3.42, 35639
02/25/19, 3.34, 3.64, 3.34, 3.47, 14103
02/22/19, 3.1901, 3.40, 3.18, 3.25, 34853
02/21/19, 3.1501, 3.34, 3.1501, 3.22, 39888
02/20/19, 3.40, 3.5999, 3.08, 3.18, 56461
02/19/19, 3.29, 3.6525, 3.29, 3.39, 46834
02/15/19, 3.43, 3.43, 3.29, 3.36, 41148
02/14/19, 3.60, 3.60, 3.30, 3.33, 41156
02/13/19, 3.83, 4.0699, 3.40, 3.40, 52691
02/12/19, 3.90, 4.17, 3.76, 3.79, 11201
02/11/19, 3.82, 4.0499, 3.75, 3.77, 16206
02/08/19, 4.15, 4.20, 3.95, 3.98, 11569
02/07/19, 4.1071, 4.14, 3.95, 3.98, 8301
02/06/19, 3.89, 4.20, 3.89, 3.95, 9532
02/05/19, 4.06, 4.06, 3.93, 3.94, 16075
02/04/19, 3.95, 4.02, 3.95, 3.95, 15382
02/01/19, 3.969, 4.13, 3.69, 3.92, 24792
01/31/19, 3.9753, 4.05, 3.91, 3.91, 11877
01/30/19, 4.03, 4.09, 3.95, 3.95, 9547
01/29/19, 4.11, 4.23, 4.00, 4.00, 37205
01/28/19, 4.19, 4.24, 4.15, 4.18, 27520
01/25/19, 4.16, 4.27, 4.16, 4.18, 26090
01/24/19, 4.17, 4.27, 4.14, 4.16, 24793
01/23/19, 4.18, 4.25, 4.13, 4.19, 29471
01/22/19, 4.08, 4.20, 4.07, 4.17, 24793
01/18/19, 4.13, 4.22, 4.1162, 4.17, 34797
01/17/19, 4.13, 4.2323, 4.03, 4.205, 36468
01/16/19, 3.86, 4.17, 3.86, 4.15, 22266
01/15/19, 3.91, 4.1599, 3.91, 4.1364, 25490
01/14/19, 4.01, 4.12, 4.00, 4.06, 22286
01/11/19, 3.72, 4.11, 3.72, 4.06, 32849
01/10/19, 3.76, 4.06, 3.76, 4.03, 23952
01/09/19, 3.87, 3.969, 3.84, 3.96, 19595
01/08/19, 3.75, 3.95, 3.72, 3.87, 17324
01/07/19, 3.77, 3.83, 3.76, 3.81, 12373
01/04/19, 3.72, 3.81, 3.67, 3.79, 16905
01/03/19, 3.89, 3.89, 3.65, 3.70, 17662
01/02/19, 3.76, 3.91, 3.76, 3.88, 13033
12/31/18, 3.70, 3.92, 3.70, 3.81, 25079
12/28/18, 3.78, 3.88, 3.75, 3.75, 43852
12/27/18, 3.88, 4.07, 3.80, 3.80, 21377
12/26/18, 3.751, 3.99, 3.751, 3.96, 34094
12/24/18, 3.87, 4.20, 3.75, 3.75, 15067
12/21/18, 3.93, 4.269, 3.86, 3.86, 68908
12/20/18, 4.10, 4.10, 4.05, 4.09, 10987
12/19/18, 4.18, 4.39, 3.87, 3.99, 39406
12/18/18, 4.40, 4.80, 4.14, 4.14, 28615
12/17/18, 4.50, 4.70, 4.38, 4.39, 34125
12/14/18, 4.621, 4.7099, 4.46, 4.55, 14251
12/13/18, 4.61, 4.73, 4.6001, 4.63, 30410
12/12/18, 4.701, 4.99, 4.701, 4.72, 7209
12/11/18, 4.69, 4.88, 4.62, 4.67, 10057
12/10/18, 4.6601, 4.8348, 4.6601, 4.82, 9710
12/07/18, 4.79, 4.86, 4.66, 4.74, 3694
12/06/18, 4.72, 4.86, 4.4125, 4.86, 3889
12/04/18, 4.95, 4.99, 4.85, 4.85, 3890
12/03/18, 4.87, 5.00, 4.87, 4.92, 2581
11/30/18, 4.6704, 4.77, 4.62, 4.75, 27821
11/29/18, 4.60, 4.8384, 4.60, 4.74, 38405
11/28/18, 4.41, 4.58, 4.41, 4.58, 25299
11/27/18, 4.7384, 4.7384, 4.42, 4.48, 8786
11/26/18, 4.4384, 4.55, 4.40, 4.55, 9604
11/23/18, 4.4468, 4.49, 4.41, 4.46, 5274
11/21/18, 4.36, 4.55, 4.30, 4.49, 10633
11/20/18, 4.50, 4.59, 4.35, 4.54, 8859
11/19/18, 4.40, 4.60, 4.33, 4.50, 11501
11/16/18, 4.43, 4.56, 4.39, 4.56, 14212
11/15/18, 4.40, 4.5756, 4.40, 4.45, 11202
11/14/18, 4.42, 4.63, 4.38, 4.50, 8209
11/13/18, 4.3273, 4.53, 4.3273, 4.50, 8821
11/12/18, 4.30, 4.5148, 4.28, 4.50, 10470
11/09/18, 4.42, 4.70, 4.24, 4.52, 24417
11/08/18, 4.26, 4.50, 4.12, 4.47, 27046
11/07/18, 4.19, 4.30, 4.19, 4.28, 11621
11/06/18, 4.10, 4.24, 4.10, 4.16, 16000
11/05/18, 4.48, 4.48, 4.10, 4.15, 12669
11/02/18, 4.26, 4.42, 3.90, 4.15, 35138
11/01/18, 4.22, 4.36, 4.22, 4.27, 14926
10/31/18, 4.10, 4.30, 4.10, 4.18, 8913
10/30/18, 4.1001, 4.20, 4.1001, 4.17, 8756
10/29/18, 4.15, 4.20, 4.11, 4.16, 11080
10/26/18, 4.14, 4.23, 4.12, 4.18, 9461
10/25/18, 4.10, 4.30, 4.00, 4.25, 9251
10/24/18, 4.12, 4.2452, 4.08, 4.09, 10661
10/23/18, 4.12, 4.20, 4.08, 4.09, 10498
10/22/18, 4.16, 4.25, 4.16, 4.20, 7510
10/19/18, 4.16, 4.47, 4.10, 4.16, 26889
10/18/18, 4.251, 4.55, 4.00, 4.13, 14505
10/17/18, 4.03, 4.2975, 4.00, 4.2975, 13730
10/16/18, 4.1001, 4.46, 4.09, 4.10, 11144
10/15/18, 4.30, 4.30, 4.13, 4.15, 4884
10/12/18, 4.41, 4.54, 4.15, 4.29, 14731
10/11/18, 4.15, 4.36, 4.15, 4.30, 19722
10/10/18, 4.21, 4.26, 4.10, 4.13, 2418
10/09/18, 4.22, 4.27, 4.17, 4.17, 15670
10/08/18, 4.30, 4.31, 4.20, 4.31, 4972
10/05/18, 4.36, 4.42, 4.22, 4.26, 17300
10/04/18, 4.56, 4.95, 4.34, 4.38, 8766
10/03/18, 4.55, 4.99, 4.41, 4.55, 13671
