Date, Open, High, Low, Close, Volume
03/25/19, 30.15, 30.7299, 29.74, 30.06, 506731
03/22/19, 31.97, 31.97, 29.86, 30.19, 1174263
03/21/19, 31.76, 32.40, 31.54, 32.18, 792556
03/20/19, 32.34, 32.40, 31.555, 31.85, 420269
03/19/19, 32.60, 32.90, 32.22, 32.52, 721741
03/18/19, 31.75, 32.38, 31.57, 32.37, 317244
03/15/19, 31.57, 32.38, 31.2129, 31.73, 752849
03/14/19, 31.92, 32.12, 31.48, 31.55, 364696
03/13/19, 31.94, 32.44, 31.79, 32.07, 449957
03/12/19, 31.56, 31.82, 31.37, 31.70, 429061
03/11/19, 31.04, 31.47, 30.695, 31.39, 532459
03/08/19, 30.87, 31.19, 30.58, 30.98, 303415
03/07/19, 31.94, 31.94, 31.13, 31.18, 510372
03/06/19, 31.93, 32.24, 31.82, 31.95, 1161244
03/05/19, 31.98, 32.10, 31.59, 32.00, 439390
03/04/19, 31.81, 32.47, 31.61, 31.99, 566786
03/01/19, 32.17, 32.30, 31.41, 31.72, 445724
02/28/19, 32.21, 32.32, 31.81, 31.81, 550626
02/27/19, 32.50, 32.51, 31.79, 32.22, 446813
02/26/19, 33.09, 33.38, 32.33, 32.68, 775632
02/25/19, 33.88, 34.38, 33.23, 33.43, 1041012
02/22/19, 33.58, 34.54, 32.95, 33.87, 792558
02/21/19, 28.71, 35.85, 28.71, 33.58, 1400170
02/20/19, 32.33, 33.0844, 32.02, 32.99, 783079
02/19/19, 31.76, 32.54, 31.7475, 32.38, 574669
02/15/19, 31.10, 32.03, 31.04, 32.03, 415623
02/14/19, 30.98, 31.245, 30.79, 30.89, 254255
02/13/19, 30.77, 31.45, 30.595, 31.19, 479004
02/12/19, 29.92, 30.67, 29.81, 30.65, 306376
02/11/19, 29.38, 29.69, 29.20, 29.68, 400408
02/08/19, 29.57, 29.93, 28.90, 29.33, 344335
02/07/19, 30.24, 30.24, 29.38, 29.85, 273990
02/06/19, 30.46, 30.71, 30.16, 30.51, 710094
