Date, Open, High, Low, Close, Volume
03/25/19, 22.33, 22.60, 21.30, 22.17, 659357
03/22/19, 22.01, 22.14, 21.44, 21.48, 618593
03/21/19, 21.15, 22.22, 20.9394, 22.07, 435281
03/20/19, 21.66, 21.8217, 21.08, 21.15, 443401
03/19/19, 22.33, 22.6212, 21.60, 21.67, 767089
03/18/19, 23.00, 23.29, 22.1007, 22.40, 971991
03/15/19, 23.44, 23.67, 23.27, 23.46, 627098
03/14/19, 23.66, 24.12, 23.32, 23.34, 567869
03/13/19, 23.41, 23.86, 23.05, 23.65, 583529
03/12/19, 23.12, 23.56, 22.845, 23.33, 405781
03/11/19, 23.55, 23.55, 22.815, 23.05, 779500
03/08/19, 23.16, 23.44, 22.70, 23.36, 404103
03/07/19, 23.49, 23.73, 22.66, 23.41, 557450
03/06/19, 25.44, 25.45, 23.40, 23.49, 854221
03/05/19, 24.85, 25.80, 24.60, 25.48, 640601
03/04/19, 24.29, 25.81, 24.29, 24.78, 929649
03/01/19, 23.80, 24.9375, 22.81, 24.89, 1074259
02/28/19, 25.02, 25.16, 24.03, 24.09, 676463
02/27/19, 24.63, 25.53, 24.24, 24.91, 858152
02/26/19, 24.13, 24.87, 23.895, 24.62, 580807
02/25/19, 24.00, 24.32, 23.40, 24.26, 617999
02/22/19, 22.91, 23.73, 22.75, 23.72, 522116
02/21/19, 23.22, 23.54, 22.67, 22.93, 480562
02/20/19, 23.15, 23.40, 22.56, 23.20, 551857
02/19/19, 24.15, 24.63, 22.96, 23.00, 671246
02/15/19, 23.75, 24.23, 23.14, 24.21, 814881
02/14/19, 23.73, 24.11, 22.51, 23.58, 909368
02/13/19, 24.73, 24.9489, 23.75, 23.81, 702901
02/12/19, 24.30, 24.90, 23.96, 24.78, 554506
02/11/19, 24.52, 24.52, 23.35, 24.09, 639862
02/08/19, 24.19, 24.81, 24.14, 24.61, 539531
02/07/19, 24.51, 25.29, 24.07, 24.41, 624888
02/06/19, 24.05, 24.85, 23.76, 24.72, 534593
02/05/19, 24.28, 24.83, 23.93, 24.04, 727156
02/04/19, 23.53, 24.08, 23.285, 24.08, 363589
02/01/19, 23.60, 23.6324, 23.00, 23.52, 286435
01/31/19, 22.90, 23.97, 22.90, 23.52, 620322
01/30/19, 21.80, 22.90, 21.80, 22.86, 485512
01/29/19, 22.25, 22.55, 21.68, 21.84, 416632
01/28/19, 22.91, 23.00, 22.08, 22.24, 466493
01/25/19, 21.90, 23.19, 21.40, 22.93, 756089
01/24/19, 21.51, 21.86, 21.22, 21.85, 390724
01/23/19, 22.15, 22.25, 21.32, 21.69, 593822
01/22/19, 22.64, 23.05, 21.86, 21.94, 690941
01/18/19, 22.61, 22.96, 21.85, 22.90, 888843
01/17/19, 23.41, 23.9499, 22.60, 22.61, 755296
01/16/19, 23.58, 24.50, 23.34, 23.47, 748915
01/15/19, 25.19, 25.30, 22.76, 23.73, 2214542
01/14/19, 25.47, 25.47, 24.24, 24.30, 579389
01/11/19, 26.43, 26.60, 25.511, 25.63, 435047
01/10/19, 26.10, 26.6806, 25.53, 26.37, 433771
01/09/19, 25.98, 26.43, 25.565, 26.32, 501238
01/08/19, 25.36, 25.84, 23.58, 25.75, 1004043
01/07/19, 24.59, 26.3576, 24.27, 25.18, 712053
01/04/19, 23.80, 24.668, 23.80, 24.27, 549796
01/03/19, 24.37, 24.855, 23.37, 23.55, 538005
01/02/19, 23.43, 24.37, 23.075, 24.34, 365176
12/31/18, 23.77, 24.23, 23.37, 23.92, 379609
12/28/18, 23.05, 24.04, 22.54, 23.82, 476189
12/27/18, 23.21, 24.17, 22.39, 23.07, 492443
12/26/18, 23.30, 23.92, 22.78, 23.63, 859487
12/24/18, 22.51, 23.6526, 22.51, 23.03, 816280
12/21/18, 25.03, 25.43, 21.75, 22.75, 2067519
12/20/18, 24.65, 25.85, 23.76, 25.07, 3790342
12/19/18, 22.07, 22.69, 21.3806, 21.71, 797449
12/18/18, 22.21, 22.42, 21.38, 21.97, 511916
12/17/18, 22.62, 22.685, 21.86, 22.09, 543516
12/14/18, 22.45, 22.85, 21.86, 22.82, 460859
12/13/18, 23.50, 23.726, 22.03, 22.61, 517257
12/12/18, 23.60, 24.1183, 22.7144, 23.42, 409128
12/11/18, 23.00, 23.44, 22.58, 23.23, 423378
12/10/18, 23.08, 23.62, 22.36, 23.16, 468626
12/07/18, 23.52, 24.15, 23.02, 23.06, 581974
12/06/18, 22.01, 23.76, 21.47, 23.75, 1009723
12/04/18, 23.75, 24.23, 22.2318, 22.39, 895272
12/03/18, 24.09, 24.49, 23.60, 23.86, 741384
11/30/18, 23.71, 24.24, 23.15, 23.75, 787472
11/29/18, 24.75, 24.90, 23.61, 23.65, 641101
11/28/18, 25.17, 25.21, 24.13, 24.74, 670703
11/27/18, 25.78, 25.86, 24.51, 25.01, 684233
11/26/18, 25.75, 26.4728, 24.98, 26.04, 521665
11/23/18, 23.99, 27.33, 23.76, 25.55, 700105
11/21/18, 25.35, 25.83, 24.02, 24.22, 680441
11/20/18, 26.59, 26.74, 25.00, 25.18, 960030
11/19/18, 30.04, 31.8299, 25.89, 26.29, 2517688
11/16/18, 29.23, 29.83, 28.34, 29.62, 500494
11/15/18, 28.62, 29.99, 28.57, 29.58, 544923
11/14/18, 28.58, 29.34, 27.375, 28.91, 684662
11/13/18, 28.36, 29.5025, 27.63, 28.36, 640822
11/12/18, 31.82, 31.83, 27.26, 27.95, 1733218
11/09/18, 29.45, 30.56, 28.0351, 30.29, 607251
11/08/18, 32.07, 32.20, 27.21, 28.25, 1278753
11/07/18, 30.56, 36.12, 30.1982, 32.17, 1453668
11/06/18, 29.97, 30.49, 29.65, 30.26, 454552
11/05/18, 29.97, 30.19, 28.51, 29.93, 492253
11/02/18, 30.90, 31.10, 29.05, 29.98, 575464
11/01/18, 26.80, 32.65, 26.80, 30.91, 1279848
10/31/18, 26.57, 26.95, 26.03, 26.58, 337526
10/30/18, 26.30, 27.05, 25.96, 26.24, 277111
10/29/18, 27.55, 27.59, 25.96, 26.42, 234484
10/26/18, 26.50, 27.46, 26.10, 27.11, 262434
10/25/18, 25.87, 27.57, 25.755, 26.95, 496000
10/24/18, 27.54, 28.25, 25.62, 25.63, 521212
10/23/18, 26.39, 27.95, 26.17, 27.46, 544848
10/22/18, 27.57, 27.69, 26.695, 26.92, 310366
10/19/18, 27.65, 28.11, 27.215, 27.29, 293524
10/18/18, 28.84, 28.915, 27.56, 27.71, 443322
10/17/18, 28.27, 29.24, 27.56, 28.89, 562048
10/16/18, 26.90, 28.45, 26.84, 28.28, 601035
10/15/18, 26.39, 26.91, 26.37, 26.63, 352581
10/12/18, 25.62, 26.50, 25.575, 26.37, 407218
10/11/18, 24.88, 25.47, 24.56, 25.17, 317448
10/10/18, 26.10, 26.42, 24.78, 24.85, 329845
10/09/18, 26.06, 26.51, 25.91, 26.19, 369351
10/08/18, 25.86, 26.55, 25.64, 26.16, 366255
10/05/18, 25.18, 26.33, 25.06, 26.06, 636036
10/04/18, 26.08, 26.27, 24.80, 25.08, 430122
10/03/18, 25.68, 26.19, 24.731, 25.97, 567681
10/02/18, 26.67, 26.70, 25.48, 25.49, 574298
10/01/18, 27.38, 27.50, 26.67, 26.69, 280669
09/28/18, 27.74, 27.8977, 27.19, 27.28, 322314
09/27/18, 27.81, 28.23, 27.44, 27.79, 349296
09/26/18, 27.78, 27.89, 27.29, 27.72, 235865
09/25/18, 27.61, 27.90, 27.52, 27.77, 326903
09/24/18, 27.12, 27.6426, 27.01, 27.44, 366121
09/21/18, 27.30, 27.89, 26.86, 27.21, 2025860
09/20/18, 27.71, 27.7639, 27.03, 27.26, 353763
09/19/18, 27.69, 28.14, 27.26, 27.55, 350677
09/18/18, 28.26, 28.48, 27.67, 27.69, 468195
09/17/18, 27.86, 28.27, 27.545, 28.10, 400183
09/14/18, 28.72, 28.72, 27.036, 27.99, 760498
09/13/18, 29.27, 30.70, 29.07, 29.20, 1807915
09/12/18, 27.54, 29.48, 27.54, 29.07, 745479
09/11/18, 27.18, 27.75, 26.855, 27.60, 251532
09/10/18, 26.37, 27.35, 26.11, 27.24, 250074
09/07/18, 26.45, 26.58, 25.76, 26.26, 214824
09/06/18, 26.94, 27.11, 26.44, 26.49, 260455
09/05/18, 27.25, 27.25, 26.59, 26.87, 223015
09/04/18, 28.00, 28.01, 27.06, 27.24, 279724
08/31/18, 27.90, 28.1472, 27.64, 27.91, 264865
08/30/18, 28.10, 28.48, 27.93, 28.01, 292396
08/29/18, 28.11, 28.425, 27.86, 28.13, 270345
08/28/18, 28.00, 28.64, 27.76, 28.00, 427174
08/27/18, 27.99, 28.32, 27.70, 28.00, 273726
08/24/18, 27.58, 27.935, 27.34, 27.75, 371172
08/23/18, 27.94, 28.09, 27.4759, 27.61, 227930
08/22/18, 27.91, 28.1799, 27.68, 27.89, 237915
08/21/18, 27.92, 28.14, 27.50, 27.90, 278590
08/20/18, 28.11, 28.225, 27.71, 27.76, 466869
08/17/18, 27.79, 28.07, 27.3201, 27.97, 500755
08/16/18, 28.06, 28.50, 27.61, 27.90, 321479
08/15/18, 28.28, 28.39, 27.68, 28.01, 280332
08/14/18, 28.39, 29.08, 28.08, 28.28, 275541
08/13/18, 28.33, 28.54, 27.815, 28.34, 380807
08/10/18, 28.32, 28.65, 27.88, 28.39, 314587
08/09/18, 29.50, 29.98, 28.45, 28.47, 291148
08/08/18, 29.62, 29.78, 29.02, 29.63, 157802
08/07/18, 29.15, 29.63, 28.72, 29.61, 231123
08/06/18, 30.03, 30.46, 28.825, 28.99, 290923
08/03/18, 30.25, 30.50, 29.95, 30.13, 375316
08/02/18, 29.35, 30.34, 29.03, 30.19, 343631
08/01/18, 28.92, 29.78, 28.68, 29.31, 642891
07/31/18, 27.62, 28.93, 27.51, 28.92, 566423
