Date, Open, High, Low, Close, Volume
03/25/19, 15.12, 15.28, 15.09, 15.13, 367172
03/22/19, 15.29, 15.33, 15.10, 15.13, 860282
03/21/19, 15.24, 15.33, 15.24, 15.32, 516695
03/20/19, 15.45, 15.46, 15.21, 15.25, 544606
03/19/19, 15.94, 15.98, 15.80, 15.85, 817241
03/18/19, 15.71, 15.90, 15.7059, 15.89, 445623
03/15/19, 15.71, 15.75, 15.68, 15.72, 473928
03/14/19, 15.62, 15.77, 15.62, 15.70, 511931
03/13/19, 15.59, 15.65, 15.53, 15.63, 264291
03/12/19, 15.55, 15.63, 15.47, 15.58, 280473
03/11/19, 15.40, 15.58, 15.37, 15.56, 222504
03/08/19, 15.30, 15.45, 15.25, 15.40, 279918
03/07/19, 15.31, 15.38, 15.23, 15.31, 418966
03/06/19, 15.46, 15.46, 15.335, 15.35, 409962
03/05/19, 15.39, 15.48, 15.25, 15.40, 477023
03/04/19, 15.20, 15.46, 15.20, 15.42, 416955
03/01/19, 15.37, 15.49, 15.15, 15.15, 634269
02/28/19, 15.44, 15.57, 15.32, 15.32, 257627
02/27/19, 15.56, 15.74, 15.40, 15.40, 362236
02/26/19, 15.61, 15.65, 15.47, 15.52, 261033
02/25/19, 15.82, 15.8538, 15.45, 15.62, 373269
02/22/19, 15.54, 15.79, 15.52, 15.76, 349510
02/21/19, 15.39, 15.565, 15.38, 15.52, 324206
02/20/19, 15.31, 15.46, 15.31, 15.40, 402837
02/19/19, 15.30, 15.39, 15.285, 15.33, 347750
02/15/19, 15.34, 15.48, 15.30, 15.32, 264068
02/14/19, 15.33, 15.43, 15.31, 15.31, 356711
02/13/19, 15.40, 15.50, 15.33, 15.34, 224736
02/12/19, 15.46, 15.4913, 15.31, 15.36, 425684
02/11/19, 15.32, 15.61, 15.27, 15.36, 297720
02/08/19, 15.13, 15.349, 15.02, 15.31, 359446
02/07/19, 15.20, 15.40, 14.95, 15.18, 845249
02/06/19, 15.45, 15.54, 15.35, 15.48, 343176
02/05/19, 15.31, 15.49, 15.295, 15.44, 234770
02/04/19, 15.21, 15.40, 15.18, 15.33, 450158
02/01/19, 15.29, 15.33, 15.00, 15.23, 736763
01/31/19, 15.06, 15.31, 15.06, 15.30, 497916
01/30/19, 14.70, 15.06, 14.65, 15.05, 537605
01/29/19, 14.81, 14.85, 14.66, 14.67, 289745
01/28/19, 14.59, 14.815, 14.4898, 14.77, 440120
01/25/19, 14.50, 14.66, 14.38, 14.64, 498651
01/24/19, 14.37, 14.5722, 14.36, 14.44, 405579
01/23/19, 14.38, 14.48, 14.20, 14.35, 299770
01/22/19, 14.60, 14.60, 14.30, 14.32, 285011
01/18/19, 14.59, 14.6148, 14.47, 14.53, 174342
01/17/19, 14.48, 14.57, 14.35, 14.53, 216707
01/16/19, 14.30, 14.545, 14.26, 14.47, 254957
01/15/19, 14.10, 14.29, 14.0966, 14.22, 159015
01/14/19, 14.17, 14.27, 14.105, 14.12, 205887
01/11/19, 14.15, 14.33, 14.12, 14.25, 270840
01/10/19, 14.10, 14.42, 14.00, 14.24, 338217
01/09/19, 14.26, 14.36, 13.86, 14.17, 434890
01/08/19, 13.97, 14.26, 13.93, 14.24, 381835
01/07/19, 13.42, 14.08, 13.33, 13.88, 729905
01/04/19, 12.95, 13.46, 12.95, 13.33, 635585
01/03/19, 12.70, 13.07, 12.64, 12.84, 506533
01/02/19, 12.35, 12.93, 12.26, 12.72, 487824
12/31/18, 12.69, 12.75, 12.32, 12.40, 1192078
12/28/18, 12.68, 12.94, 12.63, 12.72, 504141
12/27/18, 12.56, 12.74, 12.25, 12.61, 974770
12/26/18, 12.45, 12.63, 12.17, 12.63, 1114230
12/24/18, 12.38, 12.60, 12.05, 12.38, 633585
12/21/18, 12.54, 12.98, 12.38, 12.40, 959745
12/20/18, 13.06, 13.11, 12.35, 12.56, 1182006
12/19/18, 13.49, 13.49, 13.12, 13.15, 620553
12/18/18, 13.38, 13.8227, 13.34, 13.75, 1104489
12/17/18, 14.17, 14.24, 13.51, 13.53, 733207
12/14/18, 14.36, 14.50, 14.22, 14.24, 353103
