Date, Open, High, Low, Close, Volume
03/25/19, 0.81, 0.815, 0.7839, 0.815, 71593
03/22/19, 0.825, 0.8496, 0.785, 0.8105, 217664
03/21/19, 0.95, 0.96, 0.8119, 0.8441, 1049105
03/20/19, 0.841, 0.87, 0.83, 0.85, 50097
03/19/19, 0.87, 0.88, 0.827, 0.8315, 43561
03/18/19, 0.91, 0.91, 0.822, 0.8321, 98821
03/15/19, 0.8111, 0.93, 0.8111, 0.82, 248209
03/14/19, 0.82, 0.85, 0.80, 0.8111, 55926
03/13/19, 0.86, 0.875, 0.8029, 0.8111, 61308
03/12/19, 0.87, 0.87, 0.8001, 0.85, 41123
03/11/19, 0.80, 0.90, 0.80, 0.8998, 43085
03/08/19, 0.82, 0.8339, 0.80, 0.80, 35147
03/07/19, 0.82, 0.86, 0.79, 0.8291, 101263
03/06/19, 0.90, 0.90, 0.86, 0.86, 30433
03/05/19, 0.8615, 0.90, 0.86, 0.8904, 68493
03/04/19, 0.90, 0.9644, 0.8451, 0.88, 60601
03/01/19, 0.955, 0.955, 0.90, 0.9026, 52258
02/28/19, 0.92, 0.9845, 0.8864, 0.9398, 47790
02/27/19, 0.8845, 0.90, 0.85, 0.90, 91815
02/26/19, 0.8551, 0.93, 0.83, 0.835, 98073
02/25/19, 0.8842, 0.93, 0.85, 0.86, 47427
02/22/19, 0.86, 0.9003, 0.8511, 0.8802, 53416
02/21/19, 0.90, 0.93, 0.85, 0.89, 87144
02/20/19, 0.94, 0.94, 0.90, 0.90, 51619
02/19/19, 0.97, 1.0225, 0.93, 0.9322, 60644
02/15/19, 0.95, 0.98, 0.926, 0.95, 28143
02/14/19, 0.9554, 1.02, 0.9235, 0.9601, 43023
02/13/19, 0.94, 1.00, 0.93, 0.99, 67894
02/12/19, 0.94, 0.9999, 0.94, 0.945, 34704
02/11/19, 0.97, 0.97, 0.92, 0.9501, 45760
02/08/19, 1.02, 1.035, 0.96, 0.97, 79683
02/07/19, 1.05, 1.0653, 0.97, 1.02, 75309
02/06/19, 1.10, 1.10, 1.04, 1.06, 54602
02/05/19, 1.11, 1.15, 1.0201, 1.08, 237369
02/04/19, 1.06, 1.10, 1.06, 1.08, 38099
02/01/19, 1.09, 1.09, 1.05, 1.06, 19398
01/31/19, 1.07, 1.095, 1.05, 1.095, 37710
01/30/19, 1.02, 1.10, 0.9662, 1.05, 91971
01/29/19, 0.9731, 1.02, 0.9519, 1.02, 50151
01/28/19, 0.95, 0.99, 0.95, 0.99, 21016
01/25/19, 0.95, 1.05, 0.941, 0.9703, 131309
01/24/19, 0.93, 0.95, 0.90, 0.9354, 22418
01/23/19, 0.96, 0.9629, 0.9141, 0.9219, 88488
01/22/19, 0.99, 1.00, 0.914, 0.96, 196066
01/18/19, 0.98, 1.00, 0.936, 0.987, 145417
01/17/19, 0.96, 1.10, 0.92, 0.981, 1010535
01/16/19, 0.8344, 0.8912, 0.8313, 0.8723, 96878
01/15/19, 0.84, 0.89, 0.82, 0.8205, 23697
01/14/19, 0.80, 0.8999, 0.80, 0.84, 38213
01/11/19, 0.78, 0.85, 0.78, 0.8491, 85156
01/10/19, 0.75, 0.80, 0.67, 0.7803, 44181
01/09/19, 0.6468, 0.74, 0.60, 0.74, 108220
01/08/19, 0.6511, 0.6836, 0.62, 0.6468, 24700
01/07/19, 0.62, 0.66, 0.62, 0.64, 39267
01/04/19, 0.62, 0.65, 0.61, 0.648, 32954
01/03/19, 0.65, 0.65, 0.602, 0.6231, 15096
01/02/19, 0.62, 0.65, 0.62, 0.65, 10825
