Date, Open, High, Low, Close, Volume
03/25/19, 12.60, 12.74, 12.3269, 12.56, 29384
03/22/19, 12.75, 12.8238, 12.3301, 12.71, 60213
03/21/19, 12.55, 12.96, 12.55, 12.81, 76650
03/20/19, 12.99, 13.045, 12.55, 12.55, 58580
03/19/19, 12.98, 13.04, 12.8444, 12.99, 60126
03/18/19, 12.70, 12.95, 12.55, 12.89, 125743
03/15/19, 13.11, 13.11, 11.7401, 12.72, 171092
03/14/19, 13.24, 13.24, 12.93, 13.11, 52800
03/13/19, 13.25, 13.49, 13.139, 13.32, 54966
03/12/19, 13.6222, 13.65, 12.98, 13.25, 35317
03/11/19, 13.37, 13.50, 13.25, 13.50, 38299
03/08/19, 13.55, 13.55, 12.62, 13.21, 71563
03/07/19, 13.21, 13.58, 13.02, 13.54, 54521
03/06/19, 14.06, 14.06, 12.78, 13.03, 86330
03/05/19, 13.90, 14.13, 13.64, 13.92, 223943
03/04/19, 12.83, 13.855, 12.53, 13.83, 248233
03/01/19, 12.70, 12.9498, 12.69, 12.87, 48104
02/28/19, 12.61, 12.78, 12.46, 12.62, 22613
02/27/19, 12.62, 12.95, 12.6001, 12.67, 89717
02/26/19, 12.25, 12.77, 12.25, 12.63, 44419
02/25/19, 12.33, 12.44, 12.07, 12.27, 49405
02/22/19, 11.97, 12.373, 11.97, 12.35, 54095
02/21/19, 11.87, 12.36, 11.7654, 11.98, 61038
02/20/19, 12.27, 12.46, 11.86, 11.87, 52376
02/19/19, 11.82, 12.3385, 11.63, 12.21, 101059
02/15/19, 11.03, 12.10, 10.70, 11.88, 240599
02/14/19, 9.75, 10.75, 9.2674, 10.49, 136469
02/13/19, 10.14, 10.21, 9.67, 9.74, 77002
02/12/19, 10.57, 10.59, 10.01, 10.04, 71272
02/11/19, 10.37, 10.63, 10.37, 10.50, 6373
02/08/19, 10.38, 10.54, 10.20, 10.38, 15706
02/07/19, 10.20, 10.61, 10.20, 10.39, 18026
02/06/19, 10.50, 10.705, 10.21, 10.21, 96264
02/05/19, 10.70, 10.8188, 10.425, 10.52, 23189
02/04/19, 10.75, 10.8295, 10.63, 10.70, 29234
02/01/19, 10.75, 10.85, 10.62, 10.75, 48009
01/31/19, 10.82, 10.98, 10.75, 10.75, 36843
01/30/19, 10.746, 11.00, 10.71, 10.86, 12535
01/29/19, 11.02, 11.02, 10.80, 10.995, 8307
01/28/19, 10.88, 11.01, 10.7201, 11.00, 6242
01/25/19, 10.98, 11.28, 10.9032, 11.0091, 13851
01/24/19, 10.95, 11.315, 10.7785, 10.99, 48008
01/23/19, 11.61, 11.81, 10.42, 10.97, 44863
01/22/19, 11.59, 11.935, 11.56, 11.71, 17902
01/18/19, 11.49, 11.77, 11.125, 11.59, 41137
01/17/19, 11.40, 11.58, 11.285, 11.50, 34761
01/16/19, 11.38, 11.57, 11.08, 11.46, 32567
01/15/19, 10.80, 11.36, 10.461, 11.36, 48613
01/14/19, 10.63, 10.9457, 10.54, 10.74, 7179
