Date, Open, High, Low, Close, Volume
03/25/19, 30.52, 30.52, 30.52, 30.52, 127
03/22/19, 30.10, 30.10, 30.10, 30.10, 5
03/21/19, 32.77, 32.77, 29.5701, 30.15, 1032
03/20/19, 29.83, 32.77, 29.8136, 31.90, 7316
03/19/19, 30.51, 32.78, 30.50, 30.50, 1190
03/18/19, 30.639, 31.28, 30.1001, 30.31, 4241
03/15/19, 30.62, 30.62, 30.62, 30.62, 1216
03/14/19, 29.62, 32.75, 29.61, 30.00, 4088
03/13/19, 30.40, 30.40, 30.40, 30.40, 387
03/12/19, 29.51, 29.51, 29.51, 29.51, 11
03/11/19, 31.40, 31.40, 31.40, 31.40, 822
03/08/19, 31.56, 31.56, 29.8421, 29.8421, 551
03/07/19, 31.65, 31.65, 31.00, 31.00, 1211
03/06/19, 29.59, 29.59, 29.59, 29.59, 0
03/05/19, 31.51, 31.51, 31.51, 31.51, 116
03/04/19, 34.14, 34.14, 32.80, 33.37, 2475
03/01/19, 32.48, 32.48, 31.50, 32.45, 662
02/28/19, 32.00, 32.361, 31.50, 32.34, 2390
02/27/19, 31.1999, 32.00, 31.0525, 32.00, 1434
02/26/19, 31.96, 32.059, 30.75, 30.75, 3051
02/25/19, 29.6508, 31.4999, 29.6508, 31.00, 2371
02/22/19, 29.50, 29.50, 29.50, 29.50, 69
02/21/19, 29.39, 31.00, 29.39, 31.00, 4737
02/20/19, 28.7999, 30.05, 28.2739, 29.35, 4016
02/19/19, 30.00, 30.00, 30.00, 30.00, 1050
02/15/19, 26.60, 26.60, 26.60, 26.60, 116
02/14/19, 29.59, 29.919, 29.01, 29.15, 1671
02/13/19, 28.92, 30.474, 28.40, 28.8501, 3050
02/12/19, 29.748, 31.168, 29.60, 30.40, 1557
02/11/19, 28.31, 28.8494, 28.31, 28.731, 1272
02/08/19, 26.70, 26.70, 26.70, 26.70, 32
02/07/19, 26.62, 26.62, 26.62, 26.62, 79
02/06/19, 29.00, 29.00, 29.00, 29.00, 275
02/05/19, 28.7698, 29.00, 28.7698, 29.00, 458
02/04/19, 27.901, 29.00, 27.901, 29.00, 1184
02/01/19, 27.91, 27.91, 27.91, 27.91, 13
01/31/19, 28.26, 28.26, 28.26, 28.26, 66
01/30/19, 27.18, 30.50, 27.18, 30.42, 1052
01/29/19, 28.07, 29.3962, 28.07, 29.34, 822
01/28/19, 29.00, 29.00, 29.00, 29.00, 99
01/25/19, 31.418, 31.418, 30.60, 30.60, 2154
01/24/19, 30.43, 30.78, 30.1108, 30.78, 1524
01/23/19, 29.60, 32.819, 29.60, 32.819, 2002
01/22/19, 31.19, 31.50, 30.65, 30.65, 1844
01/18/19, 28.80, 30.01, 28.80, 30.01, 1520
01/17/19, 28.665, 29.31, 27.4052, 29.25, 3211
01/16/19, 29.75, 30.28, 29.75, 30.28, 1403
01/15/19, 28.38, 30.00, 28.38, 30.00, 1145
01/14/19, 26.62, 26.62, 26.62, 26.62, 76
01/11/19, 28.2001, 29.39, 28.20, 28.80, 2023
01/10/19, 28.75, 28.75, 27.15, 28.40, 2550
01/09/19, 28.8893, 28.8893, 28.8893, 28.8893, 315
01/08/19, 31.33, 31.33, 28.49, 28.50, 2892
01/07/19, 26.84, 26.84, 26.84, 26.84, 175
01/04/19, 26.06, 27.50, 26.06, 27.50, 1686
01/03/19, 24.98, 26.79, 22.81, 25.54, 4540
01/02/19, 24.50, 24.55, 22.43, 23.80, 2944
12/31/18, 24.14, 25.50, 24.05, 24.50, 1582
12/28/18, 25.04, 25.45, 24.03, 24.03, 2560
12/27/18, 29.0053, 29.0053, 24.26, 24.60, 16118
12/26/18, 25.93, 28.03, 24.88, 26.01, 2687
12/24/18, 31.0517, 31.2625, 26.00, 26.00, 6162
12/21/18, 28.95, 29.00, 26.53, 27.99, 5233
12/20/18, 27.45, 31.2723, 27.45, 28.87, 6507
12/19/18, 28.50, 28.50, 26.8473, 27.40, 3609
12/18/18, 29.00, 29.00, 29.00, 29.00, 415
12/17/18, 26.70, 28.865, 26.70, 28.27, 3302
12/14/18, 26.20, 26.87, 26.15, 26.6833, 1126
12/13/18, 28.601, 28.601, 27.6262, 27.7834, 6764
12/12/18, 28.0099, 28.54, 27.96, 28.54, 3961
12/11/18, 27.5001, 27.5001, 27.5001, 27.5001, 534
12/10/18, 28.15, 28.38, 26.3149, 26.60, 1832
12/07/18, 28.35, 28.4999, 28.19, 28.4999, 2538
12/06/18, 28.8956, 28.8956, 28.8956, 28.8956, 363
12/04/18, 30.0905, 30.2499, 29.30, 29.30, 1180
12/03/18, 30.12, 30.86, 29.00, 29.00, 5844
11/30/18, 30.10, 30.12, 30.10, 30.12, 629
11/29/18, 30.05, 30.34, 30.00, 30.30, 8002
11/28/18, 28.16, 30.00, 28.16, 30.00, 721
11/27/18, 28.52, 30.15, 28.52, 30.15, 840
11/26/18, 29.35, 31.00, 28.29, 28.29, 792
11/23/18, 29.15, 29.15, 29.15, 29.15, 147
11/21/18, 28.07, 29.67, 28.07, 29.00, 4303
11/20/18, 31.00, 31.00, 28.04, 28.04, 6081
11/19/18, 33.00, 33.20, 30.8143, 32.4999, 11596
11/16/18, 33.50, 35.20, 33.25, 33.25, 5186
11/15/18, 33.6177, 34.10, 33.015, 34.00, 3682
11/14/18, 35.50, 35.50, 30.6943, 33.0001, 15770
11/13/18, 37.95, 37.96, 36.7026, 37.03, 975
11/12/18, 36.80, 38.85, 35.2583, 38.85, 2236
11/09/18, 37.50, 37.50, 36.01, 36.01, 834
11/08/18, 36.825, 38.75, 36.825, 37.3854, 4131
11/07/18, 36.9886, 37.15, 35.1541, 35.1541, 1573
11/06/18, 37.2501, 38.28, 35.01, 36.20, 5035
11/05/18, 36.08, 39.50, 36.08, 38.96, 5748
11/02/18, 38.14, 38.14, 35.51, 36.15, 2592
11/01/18, 35.72, 36.9999, 35.02, 36.9999, 1441
10/31/18, 35.00, 38.00, 34.58, 36.187, 4016
10/30/18, 33.50, 33.50, 33.50, 33.50, 933
10/29/18, 33.69, 35.8899, 33.50, 33.52, 10084
10/26/18, 33.63, 36.99, 33.48, 33.61, 5104
10/25/18, 39.47, 40.33, 37.75, 38.02, 6319
10/24/18, 38.72, 39.93, 37.5399, 39.19, 5017
10/23/18, 40.30, 40.99, 37.5487, 39.0684, 2487
10/22/18, 40.40, 42.7623, 40.3001, 40.3534, 8318
10/19/18, 40.11, 41.7985, 40.0104, 40.3005, 3110
10/18/18, 41.56, 43.0775, 40.32, 40.3778, 11162
10/17/18, 41.80, 42.0479, 40.1001, 41.75, 5872
10/16/18, 42.51, 42.7871, 39.4629, 40.3621, 6212
10/15/18, 43.41, 44.29, 39.4601, 42.19, 21555
10/12/18, 38.92, 43.00, 37.51, 42.50, 13269
10/11/18, 38.50, 42.802, 38.50, 39.414, 15846
10/10/18, 37.88, 38.2499, 35.6775, 37.72, 3527
10/09/18, 34.4555, 38.7999, 34.4555, 37.89, 8800
10/08/18, 35.00, 35.68, 34.668, 35.00, 25670
10/05/18, 34.13, 35.00, 34.13, 34.8435, 11703
