Date, Open, High, Low, Close, Volume
03/25/19, 68.23, 69.26, 67.28, 69.12, 2553916
03/22/19, 73.09, 73.4295, 71.16, 71.23, 1025945
03/21/19, 72.14, 73.675, 72.13, 73.44, 1021690
03/20/19, 72.60, 73.03, 72.1702, 72.52, 1383507
03/19/19, 72.42, 72.93, 72.2203, 72.59, 1099931
03/18/19, 72.57, 73.00, 71.78, 72.21, 827254
03/15/19, 72.89, 73.21, 72.39, 72.47, 1363517
03/14/19, 72.66, 73.13, 72.275, 72.71, 893032
03/13/19, 72.37, 73.04, 72.285, 72.72, 1008040
03/12/19, 72.00, 72.80, 71.63, 72.18, 1372610
03/11/19, 70.67, 71.97, 70.56, 71.94, 1145455
03/08/19, 69.71, 70.65, 69.33, 70.30, 867440
03/07/19, 71.09, 71.145, 70.015, 70.47, 1353426
03/06/19, 70.62, 71.675, 70.51, 71.54, 1658355
03/05/19, 70.21, 70.985, 69.80, 70.55, 1282136
03/04/19, 71.55, 71.79, 69.71, 70.29, 994987
03/01/19, 70.06, 71.485, 69.74, 71.09, 1633844
02/28/19, 69.11, 70.085, 69.11, 69.66, 1452650
02/27/19, 69.40, 69.82, 68.89, 69.28, 817850
02/26/19, 69.43, 69.9333, 69.23, 69.60, 1026762
02/25/19, 70.37, 70.71, 69.43, 69.54, 798155
02/22/19, 68.74, 69.89, 68.60, 69.86, 1016205
02/21/19, 69.73, 70.04, 68.66, 68.82, 1286851
02/20/19, 70.80, 70.80, 69.30, 69.83, 1082818
02/19/19, 69.73, 70.765, 69.30, 70.47, 1456725
02/15/19, 71.24, 71.38, 69.97, 70.09, 1399465
02/14/19, 70.16, 70.94, 69.78, 70.78, 1409221
02/13/19, 70.35, 71.20, 68.33, 70.37, 4038238
02/12/19, 68.81, 69.87, 68.27, 69.33, 2786404
02/11/19, 67.25, 68.54, 67.25, 68.51, 1863684
02/08/19, 66.13, 67.10, 66.0628, 67.09, 962857
02/07/19, 67.11, 67.15, 65.89, 66.59, 1047680
02/06/19, 68.09, 68.4999, 67.48, 67.51, 1379186
02/05/19, 67.31, 68.30, 67.28, 68.17, 1474270
02/04/19, 65.59, 67.08, 65.59, 67.04, 1146254
02/01/19, 65.00, 65.54, 64.4967, 65.52, 1426935
01/31/19, 64.85, 65.50, 64.41, 65.10, 1635219
01/30/19, 64.33, 64.81, 63.78, 64.69, 859204
01/29/19, 65.00, 65.23, 64.07, 64.17, 852761
01/28/19, 64.87, 65.02, 64.28, 65.00, 1232232
01/25/19, 65.00, 65.805, 64.96, 65.44, 1172978
01/24/19, 64.40, 64.91, 64.00, 64.57, 946283
01/23/19, 64.57, 64.895, 63.75, 64.35, 966064
01/22/19, 65.38, 65.50, 64.08, 64.51, 1168290
01/18/19, 65.36, 65.95, 64.91, 65.79, 1264430
01/17/19, 63.68, 65.19, 63.47, 64.83, 1977914
01/16/19, 63.34, 63.99, 63.34, 63.82, 1198619
01/15/19, 64.26, 64.45, 63.33, 63.44, 1799070
01/14/19, 62.45, 63.09, 62.16, 62.69, 801773
01/11/19, 62.94, 63.50, 62.86, 63.10, 895296
01/10/19, 62.71, 63.19, 62.32, 63.13, 1278668
01/09/19, 63.78, 63.98, 62.31, 63.26, 1395071
01/08/19, 61.74, 62.49, 61.06, 62.45, 1424581
01/07/19, 59.53, 61.57, 59.36, 61.24, 2184080
01/04/19, 58.44, 60.10, 58.18, 59.38, 2563400
01/03/19, 58.25, 58.83, 57.18, 57.70, 1786056
01/02/19, 58.87, 59.50, 57.53, 59.01, 2297833
12/31/18, 61.31, 61.58, 60.35, 61.08, 1387145
12/28/18, 62.24, 62.58, 60.82, 61.05, 1247287
12/27/18, 60.21, 61.69, 59.50, 61.65, 1294671
12/26/18, 58.94, 60.99, 58.49, 60.98, 1346562
12/24/18, 59.49, 60.01, 58.33, 58.33, 961220
12/21/18, 62.44, 63.25, 59.46, 59.80, 3667461
12/20/18, 62.64, 63.28, 61.36, 62.30, 2027430
12/19/18, 64.73, 65.60, 62.29, 63.02, 2092556
12/18/18, 64.62, 65.16, 63.70, 64.35, 1665111
12/17/18, 65.01, 65.63, 63.25, 64.21, 2419492
12/14/18, 66.51, 67.44, 65.05, 65.10, 1522742
12/13/18, 68.17, 68.28, 66.49, 67.25, 1625438
12/12/18, 68.23, 68.90, 67.83, 68.03, 1660657
12/11/18, 68.08, 68.74, 66.72, 67.42, 1285106
12/10/18, 66.55, 67.53, 66.07, 67.28, 1380342
