Date, Open, High, Low, Close, Volume
03/25/19, 0.525, 0.54, 0.5025, 0.515, 1114292
03/22/19, 0.5485, 0.5577, 0.52, 0.52, 1633778
03/21/19, 0.549, 0.60, 0.54, 0.5555, 2191227
03/20/19, 0.55, 0.5511, 0.52, 0.5449, 1096157
03/19/19, 0.55, 0.5788, 0.515, 0.5204, 3090239
03/18/19, 0.5698, 0.585, 0.533, 0.55, 2180978
03/15/19, 0.53, 0.5799, 0.52, 0.5633, 2570970
03/14/19, 0.5327, 0.59, 0.51, 0.5103, 3662779
03/13/19, 0.64, 0.6491, 0.5703, 0.5787, 5393246
03/12/19, 0.6499, 0.6499, 0.581, 0.608, 3345598
03/11/19, 0.6588, 0.68, 0.62, 0.6279, 1622065
03/08/19, 0.68, 0.69, 0.63, 0.6465, 1515769
03/07/19, 0.74, 0.74, 0.6802, 0.6985, 898152
03/06/19, 0.7799, 0.7799, 0.7211, 0.7345, 864412
03/05/19, 0.78, 0.78, 0.74, 0.7648, 932878
03/04/19, 0.78, 0.79, 0.75, 0.7644, 827542
03/01/19, 0.7343, 0.7893, 0.69, 0.7735, 1919101
02/28/19, 0.80, 0.8055, 0.725, 0.7251, 1344669
02/27/19, 0.80, 0.806, 0.7745, 0.775, 685961
02/26/19, 0.8088, 0.81, 0.77, 0.79, 836255
02/25/19, 0.8024, 0.82, 0.762, 0.8081, 2016321
02/22/19, 0.889, 0.89, 0.7781, 0.7799, 2885560
02/21/19, 0.88, 0.91, 0.8521, 0.866, 3222799
02/20/19, 0.89, 0.895, 0.855, 0.8589, 2001686
02/19/19, 0.92, 0.9201, 0.88, 0.89, 2553290
02/15/19, 0.895, 0.95, 0.8899, 0.9178, 10176866
02/14/19, 1.60, 1.63, 1.40, 1.42, 2061845
02/13/19, 1.41, 1.60, 1.39, 1.59, 1142144
02/12/19, 1.41, 1.46, 1.35, 1.42, 563153
02/11/19, 1.42, 1.423, 1.34, 1.39, 636000
02/08/19, 1.43, 1.435, 1.33, 1.42, 623371
02/07/19, 1.48, 1.48, 1.35, 1.45, 753895
02/06/19, 1.38, 1.48, 1.35, 1.48, 723178
02/05/19, 1.38, 1.53, 1.34, 1.35, 1073802
02/04/19, 1.44, 1.44, 1.35, 1.37, 589151
02/01/19, 1.50, 1.55, 1.42, 1.43, 593794
01/31/19, 1.69, 1.69, 1.50, 1.51, 747379
01/30/19, 1.74, 1.78, 1.62, 1.71, 577078
01/29/19, 1.64, 1.88, 1.55, 1.76, 1820982
01/28/19, 1.38, 1.65, 1.33, 1.62, 1668785
01/25/19, 1.24, 1.45, 1.22, 1.38, 1874207
01/24/19, 1.25, 1.2683, 1.20, 1.23, 591418
01/23/19, 1.30, 1.40, 1.21, 1.23, 1130697
01/22/19, 1.31, 1.36, 1.26, 1.29, 854883
01/18/19, 1.29, 1.39, 1.26, 1.31, 574965
01/17/19, 1.32, 1.345, 1.25, 1.29, 528600
01/16/19, 1.39, 1.42, 1.3249, 1.33, 486400
01/15/19, 1.41, 1.44, 1.37, 1.39, 536140
01/14/19, 1.39, 1.45, 1.37, 1.40, 935780
01/11/19, 1.43, 1.45, 1.35, 1.39, 435379
01/10/19, 1.34, 1.48, 1.29, 1.43, 1150566
01/09/19, 1.48, 1.53, 1.32, 1.365, 1274057
01/08/19, 1.71, 1.71, 1.36, 1.48, 1769270
01/07/19, 1.70, 1.75, 1.55, 1.69, 2449024
01/04/19, 1.22, 2.11, 1.1911, 1.69, 9044523
01/03/19, 1.26, 1.26, 1.15, 1.18, 565448
01/02/19, 1.23, 1.28, 1.17, 1.26, 550723
12/31/18, 1.30, 1.33, 1.17, 1.23, 1453779
12/28/18, 1.36, 1.39, 1.26, 1.31, 658416
