Date, Open, High, Low, Close, Volume
03/25/19, 8.37, 8.69, 8.35, 8.63, 820669
03/22/19, 8.65, 8.97, 8.38, 8.39, 1238508
03/21/19, 8.57, 8.96, 8.43, 8.70, 1327084
03/20/19, 8.11, 8.85, 8.06, 8.62, 1886128
03/19/19, 7.85, 8.49, 7.68, 8.10, 2209099
03/18/19, 8.17, 8.53, 8.074, 8.17, 1810700
03/15/19, 7.99, 8.25, 7.85, 8.17, 2452060
03/14/19, 7.95, 8.34, 7.92, 7.96, 1117563
03/13/19, 8.03, 8.08, 7.57, 7.97, 1745904
03/12/19, 9.00, 9.30, 7.7201, 8.10, 9266360
03/11/19, 7.06, 7.355, 7.01, 7.34, 587565
03/08/19, 7.14, 7.30, 7.01, 7.03, 623079
03/07/19, 7.19, 7.28, 7.01, 7.19, 371992
03/06/19, 7.35, 7.51, 7.05, 7.19, 837603
03/05/19, 7.44, 7.60, 7.34, 7.38, 444684
03/04/19, 7.74, 7.77, 7.255, 7.44, 671332
03/01/19, 7.37, 7.77, 7.3201, 7.68, 1400502
02/28/19, 7.39, 7.67, 7.27, 7.28, 998585
02/27/19, 7.11, 7.42, 7.04, 7.41, 675545
02/26/19, 7.46, 7.68, 7.11, 7.14, 1985965
02/25/19, 7.41, 7.84, 7.3614, 7.46, 1215241
02/22/19, 6.63, 7.36, 6.58, 7.32, 1554847
02/21/19, 6.53, 6.59, 6.43, 6.49, 332488
02/20/19, 6.55, 6.67, 6.42, 6.55, 664502
02/19/19, 6.66, 6.79, 6.49, 6.55, 659005
02/15/19, 6.49, 6.74, 6.42, 6.65, 886693
02/14/19, 6.41, 6.54, 6.32, 6.47, 534325
02/13/19, 6.66, 6.75, 6.42, 6.45, 769705
02/12/19, 6.52, 6.82, 6.4761, 6.64, 776432
02/11/19, 6.25, 6.49, 6.17, 6.48, 632890
02/08/19, 6.05, 6.25, 5.97, 6.20, 761105
02/07/19, 6.11, 6.41, 5.95, 6.09, 1006864
02/06/19, 5.89, 6.15, 5.80, 6.15, 741895
02/05/19, 5.82, 5.97, 5.66, 5.90, 611912
02/04/19, 5.42, 5.82, 5.35, 5.80, 656717
02/01/19, 5.52, 5.57, 5.345, 5.41, 991355
01/31/19, 5.71, 5.83, 5.40, 5.51, 1355769
01/30/19, 5.49, 5.73, 5.39, 5.72, 588750
01/29/19, 5.54, 5.57, 5.39, 5.44, 587136
01/28/19, 5.82, 5.89, 5.48, 5.52, 900331
01/25/19, 5.94, 5.945, 5.68, 5.89, 600560
01/24/19, 5.80, 5.98, 5.60, 5.90, 489260
01/23/19, 6.04, 6.08, 5.733, 5.78, 656396
01/22/19, 6.32, 6.33, 5.98, 6.02, 621789
01/18/19, 6.30, 6.55, 6.18, 6.39, 637179
