Date, Open, High, Low, Close, Volume
03/25/19, 28.64, 28.92, 26.72, 27.34, 198944
03/22/19, 29.31, 29.90, 27.70, 27.85, 212323
03/21/19, 28.73, 29.60, 28.67, 29.44, 155462
03/20/19, 29.39, 29.72, 28.56, 28.93, 172478
03/19/19, 30.24, 30.56, 29.12, 29.45, 154343
03/18/19, 30.25, 30.78, 28.7113, 30.12, 427271
03/15/19, 29.67, 30.43, 29.415, 30.01, 1257031
03/14/19, 29.75, 29.98, 29.01, 29.46, 225081
03/13/19, 30.25, 30.756, 29.23, 29.80, 277812
03/12/19, 30.38, 30.87, 29.77, 30.28, 321783
03/11/19, 30.59, 30.64, 29.26, 30.45, 298007
03/08/19, 29.93, 31.00, 29.72, 30.48, 357036
03/07/19, 31.30, 31.30, 30.04, 30.35, 146136
03/06/19, 32.46, 32.5461, 30.28, 31.22, 324515
03/05/19, 31.89, 34.04, 31.54, 32.55, 352246
03/04/19, 32.70, 33.3086, 31.68, 32.06, 244842
03/01/19, 34.23, 34.955, 32.52, 32.76, 335076
02/28/19, 31.03, 35.82, 31.03, 34.03, 479819
02/27/19, 29.99, 32.74, 29.399, 31.45, 586874
02/26/19, 31.89, 31.9099, 29.00, 29.00, 573973
02/25/19, 28.00, 32.65, 27.9999, 31.91, 911763
02/22/19, 25.60, 27.40, 25.60, 27.34, 469620
02/21/19, 26.26, 26.26, 24.85, 25.45, 163993
02/20/19, 26.30, 26.47, 25.69, 26.25, 168709
02/19/19, 27.39, 27.80, 24.8229, 26.01, 423172
02/15/19, 26.88, 27.75, 26.61, 27.69, 154250
02/14/19, 26.48, 27.02, 25.84, 26.88, 106884
02/13/19, 27.34, 27.81, 26.29, 26.49, 171479
02/12/19, 26.46, 27.69, 26.46, 27.11, 156581
02/11/19, 26.14, 26.36, 25.12, 26.31, 133036
02/08/19, 25.76, 26.40, 25.50, 25.89, 140711
02/07/19, 25.78, 26.19, 25.08, 25.79, 162628
02/06/19, 25.71, 26.27, 25.26, 25.78, 227173
02/05/19, 26.00, 26.41, 25.26, 25.66, 205268
02/04/19, 26.06, 26.20, 25.40, 26.03, 132944
02/01/19, 26.69, 26.7607, 25.52, 26.10, 324349
01/31/19, 27.99, 28.215, 26.04, 26.58, 235214
01/30/19, 28.37, 29.39, 27.50, 28.05, 140452
01/29/19, 27.86, 29.50, 27.02, 28.39, 92862
01/28/19, 28.38, 28.60, 27.30, 27.79, 114109
01/25/19, 28.48, 28.99, 28.04, 28.70, 64000
01/24/19, 28.16, 29.06, 27.33, 28.21, 115430
01/23/19, 29.58, 30.34, 28.05, 28.23, 79846
01/22/19, 29.76, 30.31, 28.02, 29.32, 197079
01/18/19, 30.39, 30.705, 29.52, 30.06, 212197
01/17/19, 30.36, 30.68, 29.88, 30.27, 100272
01/16/19, 30.67, 31.56, 29.58, 30.64, 141376
01/15/19, 30.88, 31.8184, 30.3243, 30.64, 93314
01/14/19, 31.60, 31.60, 30.00, 30.73, 140347
01/11/19, 32.94, 33.263, 31.26, 31.90, 111114
01/10/19, 32.28, 33.98, 32.21, 33.03, 260966
01/09/19, 32.35, 33.295, 31.94, 32.47, 154076
01/08/19, 32.75, 33.38, 31.82, 32.16, 173625
01/07/19, 29.70, 33.04, 29.70, 32.36, 361695
01/04/19, 30.66, 30.80, 28.61, 29.70, 185779
01/03/19, 30.50, 32.35, 29.9222, 30.16, 173995
01/02/19, 29.67, 30.785, 28.64, 30.73, 170226
12/31/18, 29.93, 30.61, 29.38, 30.14, 273539
12/28/18, 28.77, 30.165, 28.34, 29.52, 209621
12/27/18, 27.34, 29.28, 26.8361, 28.76, 169138
12/26/18, 25.64, 28.11, 25.27, 27.98, 135105
12/24/18, 25.80, 26.74, 25.35, 25.59, 84939
12/21/18, 28.57, 28.57, 25.91, 25.93, 640961
12/20/18, 29.03, 29.85, 27.76, 28.36, 166596
12/19/18, 29.37, 30.6665, 28.631, 29.15, 145458
12/18/18, 30.77, 31.49, 28.36, 29.27, 212436
12/17/18, 30.73, 32.51, 30.1311, 30.43, 226317
12/14/18, 31.25, 32.096, 30.12, 31.16, 148094
12/13/18, 32.46, 32.46, 31.43, 31.60, 97305
12/12/18, 32.10, 33.69, 31.71, 32.27, 145587
12/11/18, 32.12, 32.65, 30.90, 32.05, 121202
12/10/18, 31.46, 32.65, 30.57, 31.76, 107884
12/07/18, 32.19, 32.61, 30.67, 31.71, 137041
12/06/18, 30.95, 32.57, 30.35, 32.11, 137129
12/04/18, 34.08, 34.21, 31.315, 32.00, 285459
12/03/18, 34.43, 34.90, 33.40, 34.05, 237542
11/30/18, 33.00, 34.00, 32.79, 33.89, 192175
11/29/18, 32.97, 33.99, 32.13, 32.99, 280631
11/28/18, 32.01, 32.98, 31.285, 32.84, 193520
11/27/18, 31.25, 32.78, 31.25, 31.98, 153385
11/26/18, 30.61, 31.98, 30.10, 31.59, 246031
11/23/18, 29.52, 31.45, 29.45, 30.31, 112716
11/21/18, 29.41, 29.83, 28.73, 29.74, 175990
11/20/18, 29.25, 30.40, 28.55, 29.36, 279658
11/19/18, 29.71, 30.23, 28.34, 29.66, 199455
11/16/18, 28.00, 30.40, 28.00, 29.98, 532342
11/15/18, 27.06, 28.235, 26.90, 28.17, 289351
11/14/18, 26.30, 27.70, 26.10, 26.99, 187031
11/13/18, 26.30, 26.66, 25.51, 26.15, 295482
11/12/18, 25.39, 26.84, 24.375, 26.08, 344279
11/09/18, 25.39, 26.67, 24.49, 25.49, 306272
11/08/18, 26.00, 27.11, 25.04, 25.54, 262805
11/07/18, 27.20, 28.29, 25.50, 26.03, 421947
11/06/18, 27.10, 28.00, 26.0754, 27.23, 541517
11/05/18, 25.36, 27.22, 24.26, 27.00, 578807
11/02/18, 23.53, 26.24, 23.23, 25.37, 1009598
11/01/18, 22.40, 23.775, 21.27, 23.55, 683771
10/31/18, 24.50, 24.50, 22.10, 22.32, 393046
10/30/18, 23.86, 25.015, 23.46, 24.12, 309444
10/29/18, 23.03, 24.93, 22.03, 23.88, 487632
10/26/18, 21.99, 22.86, 20.80, 22.75, 345371
10/25/18, 21.66, 22.66, 20.885, 22.26, 522360
10/24/18, 21.94, 22.47, 21.17, 21.45, 282410
10/23/18, 21.60, 23.32, 21.05, 21.92, 250518
10/22/18, 23.63, 23.65, 21.52, 22.09, 172526
10/19/18, 22.82, 24.75, 22.1314, 23.55, 266432
10/18/18, 23.60, 23.75, 22.26, 22.81, 236687
10/17/18, 24.72, 24.78, 22.95, 23.77, 585155
10/16/18, 22.81, 25.58, 22.60, 24.84, 320884
10/15/18, 23.41, 23.716, 22.57, 22.85, 318950
10/12/18, 26.15, 26.7515, 22.83, 23.31, 433185
10/11/18, 27.07, 27.38, 25.63, 25.76, 293137
10/10/18, 29.88, 30.34, 26.77, 27.03, 290679
10/09/18, 29.48, 31.33, 28.7701, 29.91, 553780
10/08/18, 32.12, 33.7865, 26.675, 28.50, 928845
10/05/18, 31.50, 33.80, 30.70, 31.85, 211907
10/04/18, 31.82, 31.8843, 29.47, 30.51, 217162
10/03/18, 31.26, 32.58, 31.165, 31.87, 113807
10/02/18, 33.54, 33.73, 30.2277, 31.16, 264696
10/01/18, 35.02, 35.29, 33.05, 33.68, 181876
09/28/18, 35.48, 35.53, 33.88, 35.02, 150313
09/27/18, 33.86, 36.49, 33.7501, 35.29, 158500
09/26/18, 37.00, 37.30, 33.32, 33.99, 274313
09/25/18, 33.48, 37.73, 33.48, 37.18, 590379
09/24/18, 28.08, 33.42, 28.08, 33.08, 719543
09/21/18, 29.07, 29.07, 27.37, 27.98, 447998
09/20/18, 27.27, 29.25, 27.27, 28.92, 269989
09/19/18, 26.41, 27.78, 26.13, 27.05, 257421
09/18/18, 26.00, 27.2388, 25.8365, 26.50, 257445
09/17/18, 24.16, 25.60, 24.15, 24.85, 220630
09/14/18, 24.66, 24.66, 23.7201, 24.16, 216718
09/13/18, 25.00, 25.33, 24.11, 24.38, 167402
09/12/18, 24.53, 25.07, 24.08, 24.87, 185113
09/11/18, 24.62, 25.4283, 24.48, 25.00, 198186
09/10/18, 26.41, 26.74, 24.52, 24.92, 337396
09/07/18, 25.48, 26.87, 24.5178, 26.17, 368835
09/06/18, 27.43, 27.80, 26.93, 27.23, 357232
09/05/18, 26.36, 27.57, 25.66, 27.15, 257730
09/04/18, 26.50, 26.74, 25.22, 26.44, 368821
08/31/18, 25.84, 26.845, 25.38, 26.41, 349540
08/30/18, 25.07, 25.99, 24.75, 25.59, 401680
08/29/18, 25.00, 26.48, 24.80, 25.23, 956283
08/28/18, 23.73, 27.332, 23.56, 24.73, 1927308
08/27/18, 32.38, 33.76, 32.38, 33.12, 414061
08/24/18, 34.11, 34.89, 32.50, 32.63, 123264
08/23/18, 34.00, 34.41, 32.31, 34.11, 159504
