Date, Open, High, Low, Close, Volume
03/25/19, 1.07, 1.07, 0.95, 0.9699, 414759
03/22/19, 1.09, 1.14, 1.05, 1.08, 408175
03/21/19, 1.06, 1.14, 1.05, 1.11, 286384
03/20/19, 1.12, 1.14, 1.05, 1.085, 226594
03/19/19, 1.08, 1.18, 1.05, 1.105, 812147
03/18/19, 1.07, 1.10, 1.0102, 1.061, 374448
03/15/19, 1.04, 1.11, 1.01, 1.0615, 720041
03/14/19, 1.05, 1.0764, 1.00, 1.01, 167659
03/13/19, 1.00, 1.12, 0.97, 1.05, 628453
03/12/19, 0.96, 1.03, 0.96, 1.00, 231878
03/11/19, 0.98, 1.05, 0.98, 1.01, 214189
03/08/19, 1.01, 1.20, 0.92, 1.06, 1646271
03/07/19, 0.89, 1.26, 0.89, 1.13, 4868972
03/06/19, 0.9413, 0.95, 0.851, 0.8891, 167753
03/05/19, 0.95, 0.95, 0.905, 0.9202, 74377
03/04/19, 0.9597, 0.96, 0.9104, 0.9399, 76195
03/01/19, 0.94, 0.96, 0.9127, 0.914, 176273
02/28/19, 0.91, 0.9548, 0.91, 0.9125, 118949
02/27/19, 0.95, 0.99, 0.90, 0.9218, 122982
02/26/19, 0.96, 1.00, 0.95, 0.95, 94220
02/25/19, 1.00, 1.03, 0.95, 0.9798, 194972
02/22/19, 1.08, 1.08, 0.94, 0.987, 368445
02/21/19, 1.10, 1.16, 1.03, 1.05, 1096647
02/20/19, 0.881, 1.19, 0.881, 1.15, 1897285
02/19/19, 0.9001, 0.915, 0.87, 0.8856, 203610
02/15/19, 0.90, 0.91, 0.88, 0.895, 127966
02/14/19, 0.921, 0.935, 0.875, 0.884, 263393
02/13/19, 0.95, 0.98, 0.9317, 0.935, 109261
02/12/19, 0.9612, 0.99, 0.93, 0.95, 104222
02/11/19, 1.02, 1.02, 0.9003, 0.9552, 227505
02/08/19, 1.10, 1.1055, 1.00, 1.02, 260675
02/07/19, 1.10, 1.12, 1.09, 1.10, 86617
02/06/19, 1.13, 1.13, 1.09, 1.11, 91552
02/05/19, 1.15, 1.17, 1.0902, 1.11, 207340
02/04/19, 1.13, 1.20, 1.09, 1.13, 391011
02/01/19, 1.17, 1.17, 1.10, 1.105, 269521
01/31/19, 1.07, 1.14, 1.07, 1.11, 203535
01/30/19, 1.21, 1.21, 1.06, 1.16, 418711
01/29/19, 1.21, 1.26, 1.1218, 1.19, 191750
01/28/19, 1.30, 1.34, 1.1601, 1.20, 331957
01/25/19, 1.36, 1.36, 1.2508, 1.30, 227752
01/24/19, 1.36, 1.49, 1.31, 1.36, 254746
01/23/19, 1.32, 1.39, 1.2912, 1.37, 187927
01/22/19, 1.39, 1.3928, 1.30, 1.33, 223894
01/18/19, 1.37, 1.40, 1.32, 1.39, 200912
01/17/19, 1.42, 1.45, 1.30, 1.36, 308243
01/16/19, 1.34, 1.48, 1.27, 1.47, 555922
01/15/19, 1.30, 1.34, 1.26, 1.30, 98048
01/14/19, 1.34, 1.3788, 1.28, 1.33, 192709
01/11/19, 1.39, 1.4073, 1.25, 1.34, 196509
01/10/19, 1.45, 1.54, 1.3222, 1.38, 542142
01/09/19, 1.30, 1.48, 1.26, 1.44, 866605
