Date, Open, High, Low, Close, Volume
03/25/19, 3.50, 3.5518, 3.33, 3.43, 1754644
03/22/19, 3.35, 3.53, 3.35, 3.50, 2376492
03/21/19, 3.49, 3.55, 3.36, 3.36, 1928985
03/20/19, 3.53, 3.615, 3.48, 3.50, 2002791
03/19/19, 3.47, 3.62, 3.44, 3.59, 2287787
03/18/19, 3.39, 3.46, 3.32, 3.44, 3161254
03/15/19, 3.67, 3.69, 3.36, 3.38, 4689834
03/14/19, 3.52, 3.82, 3.5159, 3.67, 3048114
03/13/19, 3.78, 3.79, 3.50, 3.51, 5573746
03/12/19, 3.71, 4.26, 3.66, 3.74, 14445699
03/11/19, 3.83, 3.87, 3.69, 3.71, 2688681
03/08/19, 3.62, 3.80, 3.61, 3.77, 1846203
03/07/19, 3.61, 3.73, 3.59, 3.65, 2008716
03/06/19, 3.96, 3.9776, 3.60, 3.62, 2655290
03/05/19, 4.00, 4.03, 3.93, 3.97, 1838514
03/04/19, 4.29, 4.435, 3.86, 3.98, 3924140
03/01/19, 4.09, 4.29, 3.98, 4.29, 1984654
02/28/19, 3.56, 4.09, 3.42, 4.05, 3345152
02/27/19, 4.10, 4.13, 3.78, 3.81, 3167974
02/26/19, 4.01, 4.16, 3.94, 4.12, 1833483
02/25/19, 4.21, 4.2223, 3.99, 4.02, 1616537
02/22/19, 4.09, 4.22, 4.07, 4.20, 1727492
02/21/19, 4.03, 4.13, 4.0215, 4.08, 1615398
02/20/19, 4.44, 4.55, 4.02, 4.04, 2411825
02/19/19, 4.45, 4.50, 4.31, 4.45, 1020672
02/15/19, 4.36, 4.47, 4.27, 4.44, 1191964
02/14/19, 4.27, 4.37, 4.26, 4.33, 1022131
02/13/19, 4.21, 4.295, 4.11, 4.27, 1622091
02/12/19, 4.07, 4.3477, 4.07, 4.20, 2157288
02/11/19, 4.18, 4.226, 4.01, 4.06, 1990370
02/08/19, 4.28, 4.31, 3.99, 4.14, 1226059
02/07/19, 4.27, 4.38, 4.175, 4.31, 1760059
02/06/19, 4.23, 4.4199, 4.22, 4.29, 1316613
02/05/19, 4.19, 4.33, 4.155, 4.22, 1069010
02/04/19, 3.82, 4.215, 3.82, 4.16, 2361994
02/01/19, 3.74, 3.84, 3.68, 3.84, 3129346
01/31/19, 4.08, 4.11, 3.75, 3.76, 2475520
01/30/19, 4.07, 4.23, 3.99, 4.07, 2535910
01/29/19, 4.00, 4.1811, 3.90, 4.09, 2989524
01/28/19, 4.15, 4.23, 3.935, 3.96, 2325219
01/25/19, 4.06, 4.33, 4.06, 4.19, 2339353
01/24/19, 3.83, 4.08, 3.815, 4.06, 2587793
01/23/19, 3.67, 3.89, 3.65, 3.85, 1917863
01/22/19, 3.61, 3.78, 3.49, 3.67, 2606801
01/18/19, 3.56, 3.71, 3.56, 3.59, 2818214
01/17/19, 3.65, 3.68, 3.56, 3.59, 2015368
01/16/19, 3.89, 3.935, 3.62, 3.64, 2081277
01/15/19, 3.63, 3.94, 3.58, 3.87, 1851396
01/14/19, 3.70, 3.80, 3.62, 3.63, 2673454
01/11/19, 3.60, 3.78, 3.57, 3.74, 2172489
01/10/19, 3.56, 3.7422, 3.54, 3.57, 2811875
01/09/19, 3.58, 3.77, 3.47, 3.48, 4442984
01/08/19, 4.00, 4.1899, 3.84, 3.94, 3126602
01/07/19, 3.70, 4.0298, 3.645, 3.95, 2395566
01/04/19, 3.70, 3.72, 3.56, 3.70, 1873057
01/03/19, 3.43, 3.73, 3.40, 3.66, 3874811
01/02/19, 3.34, 3.49, 3.14, 3.48, 5344499
12/31/18, 3.46, 3.485, 3.21, 3.39, 4280471
12/28/18, 3.34, 3.52, 3.27, 3.45, 2710202
12/27/18, 3.65, 3.68, 3.155, 3.33, 2143757
12/26/18, 3.52, 3.71, 3.41, 3.70, 2273451
12/24/18, 3.46, 3.67, 3.37, 3.50, 1833298
12/21/18, 3.63, 3.715, 3.29, 3.45, 9272495
12/20/18, 3.75, 3.90, 3.56, 3.62, 3778672
12/19/18, 4.13, 4.17, 3.735, 3.77, 5660867
12/18/18, 4.18, 4.25, 4.00, 4.04, 2531595
12/17/18, 4.33, 4.47, 4.06, 4.11, 3090781
12/14/18, 4.50, 4.66, 4.35, 4.42, 2700052
12/13/18, 4.34, 4.64, 4.34, 4.52, 3734214
12/12/18, 4.33, 4.51, 4.23, 4.33, 4722882
12/11/18, 4.47, 4.49, 4.185, 4.29, 3390257
12/10/18, 4.22, 4.6529, 4.09, 4.46, 4480919
12/07/18, 5.57, 5.73, 3.54, 4.26, 26549351
12/06/18, 6.12, 6.18, 4.82, 5.59, 7235419
12/04/18, 6.83, 6.93, 6.40, 6.48, 3476530
12/03/18, 6.86, 6.89, 6.63, 6.83, 2189050
11/30/18, 6.88, 6.9169, 6.54, 6.86, 1673551
11/29/18, 7.00, 7.13, 6.845, 6.93, 1700780
11/28/18, 7.12, 7.18, 6.96, 7.00, 1780461
11/27/18, 6.96, 7.16, 6.87, 7.12, 1674371
11/26/18, 7.21, 7.21, 6.885, 6.91, 2447612
11/23/18, 7.05, 7.25, 7.0108, 7.18, 1258412
11/21/18, 6.78, 7.10, 6.73, 7.09, 1458891
11/20/18, 6.73, 6.82, 6.64, 6.76, 1738995
11/19/18, 6.83, 6.85, 6.67, 6.78, 1306372
11/16/18, 6.92, 7.00, 6.74, 6.85, 2325930
11/15/18, 6.72, 7.00, 6.68, 6.95, 1453239
11/14/18, 6.83, 6.96, 6.65, 6.74, 2009599
11/13/18, 6.80, 6.95, 6.65, 6.80, 1348741
11/12/18, 6.87, 6.93, 6.62, 6.73, 1401126
11/09/18, 6.86, 6.95, 6.70, 6.85, 2929630
11/08/18, 6.58, 6.98, 6.56, 6.865, 2087303
11/07/18, 6.41, 6.75, 6.30, 6.615, 4729525
11/06/18, 7.46, 7.49, 7.25, 7.49, 2217115
11/05/18, 7.18, 7.52, 7.17, 7.39, 2997451
11/02/18, 7.21, 7.34, 7.04, 7.275, 2487757
11/01/18, 6.70, 7.24, 6.65, 7.21, 3861100
10/31/18, 6.70, 6.73, 6.50, 6.67, 3284812
10/30/18, 6.74, 6.8625, 6.525, 6.66, 3853243
10/29/18, 6.30, 6.66, 6.23, 6.63, 21712487
10/26/18, 6.45, 6.57, 6.27, 6.32, 2718922
10/25/18, 6.28, 6.68, 6.25, 6.58, 3712129
10/24/18, 6.50, 6.81, 6.41, 6.42, 3806396
10/23/18, 6.52, 6.67, 6.30, 6.47, 2994410
10/22/18, 7.04, 7.0826, 6.565, 6.60, 2540774
10/19/18, 6.93, 7.17, 6.87, 7.03, 3748147
10/18/18, 7.13, 7.20, 6.89, 7.00, 3695436
10/17/18, 7.10, 7.31, 6.86, 7.13, 5169899
10/16/18, 6.24, 6.73, 6.24, 6.71, 3016123
10/15/18, 6.17, 6.35, 6.11, 6.26, 2113756
10/12/18, 6.34, 6.39, 5.96, 6.20, 2604498
10/11/18, 6.29, 6.53, 6.20, 6.34, 3262304
10/10/18, 6.78, 6.82, 6.20, 6.42, 5194439
10/09/18, 6.29, 6.66, 6.29, 6.46, 4173813
10/08/18, 5.98, 6.58, 5.96, 6.32, 4445369
10/05/18, 5.95, 6.19, 5.82, 5.96, 4941611
10/04/18, 5.91, 6.17, 5.56, 5.95, 7608404
10/03/18, 5.67, 5.75, 5.32, 5.69, 5208398
10/02/18, 5.45, 5.69, 5.2501, 5.65, 9966737
10/01/18, 6.35, 6.80, 5.31, 5.36, 28738440
09/28/18, 13.05, 13.25, 12.96, 12.98, 1493302
09/27/18, 13.03, 13.25, 12.91, 13.09, 1295534
09/26/18, 12.91, 13.37, 12.66, 13.06, 1861864
09/25/18, 13.09, 13.11, 12.81, 12.84, 1522946
09/24/18, 13.15, 13.37, 12.92, 13.01, 1762278
09/21/18, 13.19, 13.32, 12.95, 13.22, 3759722
09/20/18, 13.38, 13.41, 13.12, 13.22, 1301221
09/19/18, 13.40, 13.70, 13.255, 13.38, 1188566
09/18/18, 13.36, 13.49, 13.19, 13.38, 1857279
09/17/18, 13.68, 13.81, 13.20, 13.29, 1508361
09/14/18, 13.55, 13.78, 13.46, 13.73, 1157517
09/13/18, 14.01, 14.49, 13.20, 13.59, 2668991
09/12/18, 13.59, 14.17, 13.48, 14.08, 1722621
09/11/18, 13.97, 14.25, 13.43, 13.59, 3445946
09/10/18, 14.75, 15.08, 13.68, 14.01, 2643525
09/07/18, 14.71, 15.39, 14.635, 14.79, 1582558
09/06/18, 15.43, 15.48, 14.52, 14.77, 1859679
09/05/18, 16.20, 16.32, 15.40, 15.50, 3282638
09/04/18, 15.61, 16.36, 15.61, 16.05, 1906166
08/31/18, 15.16, 15.89, 15.13, 15.69, 2436158
08/30/18, 14.51, 15.97, 14.40, 15.09, 1657105
08/29/18, 14.15, 14.96, 14.15, 14.66, 1950494
08/28/18, 13.94, 14.33, 13.88, 14.25, 2633355
08/27/18, 14.40, 14.82, 13.675, 13.81, 3073395
08/24/18, 14.95, 15.2999, 14.30, 14.53, 3200165
08/23/18, 18.36, 18.44, 13.74, 14.93, 12820379
08/22/18, 17.82, 18.40, 17.60, 18.11, 1566884
08/21/18, 19.40, 19.42, 17.84, 17.92, 2682044
08/20/18, 19.10, 19.55, 18.98, 19.48, 2093359
08/17/18, 19.13, 19.29, 18.89, 18.99, 2256096
08/16/18, 19.49, 19.56, 19.09, 19.15, 1302965
08/15/18, 18.97, 19.40, 18.84, 19.31, 1238313
08/14/18, 18.83, 19.02, 18.645, 18.99, 951741
08/13/18, 18.72, 18.95, 18.42, 18.72, 1146812
08/10/18, 18.79, 19.02, 18.45, 18.59, 1082677
08/09/18, 18.70, 18.84, 18.36, 18.82, 1409713
08/08/18, 19.46, 19.65, 18.84, 18.90, 1343412
08/07/18, 19.19, 19.5999, 18.89, 19.51, 1583595
08/06/18, 18.25, 19.05, 18.25, 19.03, 1669750
08/03/18, 18.13, 18.64, 17.98, 18.60, 1276376
08/02/18, 17.80, 18.28, 17.425, 18.24, 2203659
08/01/18, 18.52, 19.30, 17.85, 17.94, 2565580
07/31/18, 18.90, 18.93, 18.29, 18.52, 1550235
07/30/18, 18.14, 18.52, 18.00, 18.31, 918926
07/27/18, 17.60, 18.29, 17.59, 18.23, 1054677
07/26/18, 17.50, 17.85, 17.34, 17.60, 1622783
07/25/18, 17.47, 18.03, 17.35, 17.49, 2322611
07/24/18, 17.24, 17.465, 16.75, 16.98, 1603732
07/23/18, 17.34, 17.48, 17.20, 17.27, 1177079
07/20/18, 17.35, 17.50, 17.15, 17.47, 1107461
07/19/18, 16.69, 17.37, 16.65, 17.31, 1837870
07/18/18, 16.82, 17.06, 16.66, 16.85, 1872546
07/17/18, 16.88, 17.19, 16.55, 16.74, 2938314
07/16/18, 17.83, 17.85, 16.70, 16.84, 3855897
07/13/18, 19.01, 19.18, 17.51, 17.91, 7525387
07/12/18, 17.94, 19.35, 16.81, 19.21, 7053858
07/11/18, 18.03, 18.33, 17.74, 17.82, 2688655
07/10/18, 18.57, 18.57, 17.72, 17.97, 4856448
07/09/18, 18.09, 19.04, 17.47, 18.58, 4038200
07/06/18, 17.71, 18.38, 17.59, 18.07, 4338815
07/05/18, 17.06, 17.71, 16.901, 17.53, 2807681
07/03/18, 16.85, 17.4188, 16.80, 17.11, 2024505
07/02/18, 16.40, 16.83, 16.30, 16.81, 2585646
06/29/18, 16.46, 16.63, 16.05, 16.59, 2503295
06/28/18, 15.80, 16.41, 15.72, 16.29, 1222590
06/27/18, 15.93, 16.0431, 15.55, 15.77, 1386355
06/26/18, 15.73, 16.07, 15.46, 16.00, 1440160
