Date, Open, High, Low, Close, Volume
03/25/19, 6.54, 6.62, 6.13, 6.19, 185508
03/22/19, 6.76, 6.81, 6.43, 6.53, 185063
03/21/19, 6.80, 6.91, 6.7095, 6.75, 154652
03/20/19, 6.69, 6.79, 6.53, 6.73, 247625
03/19/19, 6.46, 6.74, 6.34, 6.68, 166424
03/18/19, 6.52, 6.67, 6.20, 6.45, 337860
03/15/19, 6.26, 6.65, 6.26, 6.52, 322834
03/14/19, 6.49, 6.5746, 6.20, 6.23, 195632
03/13/19, 6.25, 6.4909, 6.0866, 6.45, 310829
03/12/19, 6.12, 6.40, 6.02, 6.22, 343517
03/11/19, 5.99, 6.19, 5.82, 6.10, 190184
03/08/19, 6.07, 6.20, 6.00, 6.00, 146196
03/07/19, 6.21, 6.38, 5.43, 6.16, 793259
03/06/19, 6.30, 6.36, 6.10, 6.25, 137736
03/05/19, 6.53, 6.56, 5.84, 6.32, 403421
03/04/19, 6.70, 6.7499, 6.45, 6.59, 100594
03/01/19, 6.465, 6.84, 6.465, 6.64, 180988
02/28/19, 6.59, 6.67, 6.42, 6.58, 117702
02/27/19, 6.86, 6.94, 6.56, 6.56, 137282
02/26/19, 7.05, 7.13, 6.78, 6.88, 94610
02/25/19, 7.05, 7.19, 6.96, 7.03, 144172
02/22/19, 6.81, 7.06, 6.67, 6.96, 177894
02/21/19, 6.83, 6.9059, 6.69, 6.82, 143178
02/20/19, 7.21, 7.21, 6.60, 6.88, 269495
02/19/19, 7.10, 7.155, 6.5304, 6.95, 254749
02/15/19, 6.80, 7.02, 6.77, 6.81, 159482
02/14/19, 6.94, 7.03, 6.76, 6.80, 122363
02/13/19, 7.12, 7.195, 6.80, 6.94, 191070
02/12/19, 7.31, 7.3867, 7.12, 7.16, 109063
02/11/19, 7.36, 7.5398, 7.23, 7.29, 182190
02/08/19, 7.03, 7.36, 7.00, 7.32, 157156
02/07/19, 7.12, 7.14, 6.83, 7.05, 156860
02/06/19, 7.04, 7.36, 6.99, 7.17, 189882
02/05/19, 7.17, 7.265, 6.60, 7.07, 453845
02/04/19, 7.26, 7.485, 7.12, 7.22, 212765
02/01/19, 7.50, 7.62, 6.95, 7.29, 304053
01/31/19, 7.72, 7.864, 7.52, 7.55, 258000
01/30/19, 7.25, 7.60, 7.16, 7.59, 313299
01/29/19, 7.36, 7.50, 7.16, 7.20, 383066
01/28/19, 7.20, 7.45, 7.01, 7.30, 348863
01/25/19, 7.10, 7.21, 7.05, 7.20, 418570
01/24/19, 7.00, 7.10, 6.87, 7.00, 688050
01/23/19, 6.62, 6.74, 6.4694, 6.60, 122154
01/22/19, 6.40, 6.67, 6.30, 6.60, 207349
01/18/19, 6.10, 6.45, 6.0333, 6.40, 223996
01/17/19, 5.90, 6.17, 5.70, 6.13, 195386
01/16/19, 6.20, 6.38, 5.98, 6.03, 177585
01/15/19, 6.20, 6.305, 6.11, 6.19, 147764
01/14/19, 6.20, 6.25, 6.15, 6.20, 80600
01/11/19, 6.19, 6.21, 6.011, 6.20, 132630
01/10/19, 5.95, 6.20, 5.91, 6.17, 87435
01/09/19, 6.13, 6.13, 5.90, 5.97, 134874
01/08/19, 5.82, 5.9999, 5.80, 5.95, 107297
01/07/19, 5.75, 6.04, 5.70, 5.76, 247289
01/04/19, 5.52, 6.04, 5.42, 5.72, 130859
01/03/19, 5.44, 5.65, 5.21, 5.49, 196413
01/02/19, 4.90, 5.705, 4.90, 5.60, 189621
12/31/18, 4.86, 4.99, 4.80, 4.97, 72632
12/28/18, 4.73, 4.88, 4.68, 4.79, 76400
12/27/18, 4.74, 5.00, 4.60, 4.72, 98899
12/26/18, 4.91, 5.04, 4.61, 4.75, 191580
12/24/18, 5.00, 5.08, 4.86, 4.90, 104990
12/21/18, 5.01, 5.06, 4.88, 4.99, 153009
12/20/18, 5.48, 5.53, 4.93, 4.98, 341608
12/19/18, 5.73, 5.79, 5.47, 5.50, 168187
12/18/18, 5.80, 5.80, 5.67, 5.70, 178111
12/17/18, 5.38, 5.75, 5.28, 5.69, 192781
12/14/18, 5.28, 5.509, 5.28, 5.36, 70336
12/13/18, 5.52, 5.5213, 5.20, 5.32, 78832
12/12/18, 5.38, 5.58, 5.34, 5.53, 168555
12/11/18, 5.48, 5.5644, 5.37, 5.39, 179913
12/10/18, 5.34, 5.48, 5.29, 5.43, 255949
12/07/18, 5.15, 5.38, 5.11, 5.35, 116557
12/06/18, 5.26, 5.46, 5.00, 5.15, 377098
12/04/18, 5.03, 5.35, 5.01, 5.35, 168893
12/03/18, 5.20, 5.226, 4.89, 5.05, 247985
11/30/18, 5.00, 5.00, 4.75, 5.00, 191223
11/29/18, 5.16, 5.16, 4.87, 4.92, 170531
11/28/18, 4.98, 5.13, 4.8663, 5.08, 95569
11/27/18, 5.06, 5.25, 4.87, 5.00, 106674
11/26/18, 4.89, 5.28, 4.89, 5.06, 284010
11/23/18, 4.76, 5.0099, 4.74, 4.76, 53734
11/21/18, 4.87, 5.03, 4.72, 4.89, 122530
11/20/18, 4.55, 4.79, 4.38, 4.79, 198047
11/19/18, 4.83, 4.84, 4.33, 4.58, 235252
11/16/18, 4.76, 4.88, 4.58, 4.70, 197440
11/15/18, 4.89, 4.96, 4.72, 4.80, 167871
11/14/18, 5.01, 5.05, 4.55, 4.96, 317458
11/13/18, 4.94, 5.03, 4.70, 5.01, 375066
11/12/18, 5.00, 5.02, 4.80, 4.85, 204552
11/09/18, 4.80, 4.97, 4.32, 4.96, 454546
11/08/18, 5.20, 5.30, 4.75, 4.80, 884854
11/07/18, 4.75, 5.20, 4.75, 5.05, 2647596
11/06/18, 3.95, 4.74, 3.40, 4.45, 2215687
11/05/18, 3.78, 3.84, 3.62, 3.75, 303055
11/02/18, 4.10, 4.148, 3.78, 3.78, 752545
11/01/18, 4.08, 4.16, 3.90, 4.07, 208761
10/31/18, 3.66, 4.11, 3.65, 4.07, 627212
10/30/18, 3.58, 3.90, 3.48, 3.57, 401866
10/29/18, 3.70, 3.80, 3.46, 3.47, 393086
10/26/18, 3.72, 3.80, 3.62, 3.65, 278040
10/25/18, 3.86, 4.04, 3.80, 3.80, 304630
10/24/18, 4.01, 4.059, 3.72, 3.86, 491015
10/23/18, 3.86, 4.08, 3.75, 3.96, 927196
10/22/18, 4.20, 4.25, 3.82, 4.12, 1305120
10/19/18, 4.29, 4.30, 4.00, 4.12, 3429099
10/18/18, 5.76, 5.76, 5.00, 5.01, 746270
10/17/18, 5.84, 6.11, 5.50, 5.77, 259762
10/16/18, 5.80, 6.04, 5.76, 5.82, 232889
10/15/18, 5.57, 5.84, 5.524, 5.70, 130593
10/12/18, 6.06, 6.285, 5.80, 5.82, 179429
10/11/18, 6.00, 6.34, 5.88, 5.93, 167597
10/10/18, 7.36, 7.44, 6.05, 6.07, 251401
10/09/18, 6.54, 6.86, 6.53, 6.60, 79617
10/08/18, 6.98, 7.03, 6.59, 6.60, 123969
10/05/18, 7.28, 7.519, 7.03, 7.08, 212821
10/04/18, 7.55, 7.78, 7.24, 7.25, 78703
10/03/18, 7.40, 7.78, 7.3063, 7.59, 112980
10/02/18, 8.20, 8.38, 7.39, 7.40, 255432
10/01/18, 8.30, 8.60, 8.02, 8.21, 134017
09/28/18, 8.46, 8.563, 7.76, 7.87, 307648
09/27/18, 8.10, 8.41, 8.039, 8.33, 169245
09/26/18, 7.94, 8.12, 7.47, 7.91, 193167
09/25/18, 8.31, 8.39, 7.93, 7.95, 88586
09/24/18, 8.48, 8.48, 8.29, 8.31, 65198
