Date, Open, High, Low, Close, Volume
03/25/19, 4.06, 4.1307, 3.51, 3.69, 349287
03/22/19, 3.99, 4.30, 3.85, 4.10, 537719
03/21/19, 4.05, 4.25, 3.9988, 4.06, 369590
03/20/19, 4.46, 4.50, 3.90, 4.10, 887416
03/19/19, 5.21, 5.50, 4.50, 4.50, 1759986
03/18/19, 4.30, 5.19, 4.30, 4.57, 2653809
03/15/19, 5.00, 5.37, 3.64, 4.08, 3850664
03/14/19, 8.30, 9.20, 5.30, 5.80, 27985429
03/13/19, 2.10, 6.14, 2.07, 5.90, 81390887
03/12/19, 1.88, 1.89, 1.78, 1.8201, 21710
03/11/19, 1.80, 1.90, 1.7688, 1.88, 21726
03/08/19, 1.81, 1.83, 1.77, 1.8299, 31759
03/07/19, 1.83, 1.83, 1.77, 1.8086, 4310
03/06/19, 1.84, 1.8549, 1.7588, 1.8499, 20661
03/05/19, 1.857, 1.929, 1.83, 1.84, 17532
03/04/19, 1.80, 1.93, 1.80, 1.8301, 31655
03/01/19, 1.80, 1.85, 1.80, 1.80, 13608
02/28/19, 1.85, 1.85, 1.809, 1.81, 10191
02/27/19, 1.8007, 1.87, 1.8007, 1.81, 5348
02/26/19, 1.8101, 1.86, 1.81, 1.81, 6424
02/25/19, 1.82, 1.8507, 1.82, 1.8209, 13663
02/22/19, 1.85, 1.8663, 1.80, 1.80, 19080
02/21/19, 1.90, 1.90, 1.85, 1.85, 6512
02/20/19, 1.89, 1.91, 1.85, 1.87, 4227
02/19/19, 1.87, 1.9307, 1.83, 1.91, 20073
02/15/19, 1.93, 1.95, 1.85, 1.85, 11944
02/14/19, 1.8291, 1.95, 1.8291, 1.8708, 14688
02/13/19, 1.90, 1.93, 1.85, 1.90, 15985
02/12/19, 1.90, 1.91, 1.82, 1.8693, 35786
02/11/19, 1.98, 1.98, 1.86, 1.90, 18550
02/08/19, 1.9527, 2.05, 1.92, 1.9444, 13795
02/07/19, 1.90, 2.02, 1.90, 1.98, 13410
02/06/19, 1.90, 1.95, 1.8931, 1.9259, 25018
02/05/19, 1.92, 1.96, 1.89, 1.90, 38649
02/04/19, 1.97, 1.97, 1.90, 1.91, 44827
02/01/19, 1.95, 2.00, 1.90, 1.95, 44901
01/31/19, 2.0127, 2.04, 1.94, 2.0098, 26297
01/30/19, 1.96, 2.03, 1.92, 2.00, 28140
01/29/19, 2.0124, 2.0177, 1.9215, 1.93, 18661
01/28/19, 1.87, 2.05, 1.85, 2.00, 188749
01/25/19, 1.8927, 1.9108, 1.85, 1.88, 10855
01/24/19, 1.93, 1.93, 1.90, 1.90, 2350
01/23/19, 1.90, 1.91, 1.8101, 1.91, 10661
01/22/19, 1.97, 1.97, 1.84, 1.90, 6372
01/18/19, 1.9298, 1.9298, 1.81, 1.8508, 4806
01/17/19, 1.921, 1.99, 1.92, 1.92, 4273
01/16/19, 1.99, 2.0402, 1.88, 1.91, 16496
01/15/19, 2.00, 2.03, 1.9611, 2.00, 15281
01/14/19, 2.03, 2.03, 1.95, 1.99, 32448
01/11/19, 1.82, 2.05, 1.82, 2.01, 98493
01/10/19, 1.76, 1.8608, 1.7413, 1.8608, 3136
01/09/19, 1.82, 1.85, 1.7789, 1.80, 5457
01/08/19, 1.7602, 1.87, 1.7602, 1.8188, 8917
01/07/19, 1.80, 1.87, 1.7286, 1.8201, 20640
01/04/19, 1.69, 1.79, 1.6501, 1.79, 38261
01/03/19, 1.71, 1.75, 1.66, 1.69, 26737
01/02/19, 1.59, 1.72, 1.59, 1.665, 35662
12/31/18, 1.61, 1.62, 1.56, 1.57, 34635
12/28/18, 1.72, 1.74, 1.615, 1.63, 50627
12/27/18, 1.72, 1.76, 1.70, 1.73, 25221
12/26/18, 1.75, 1.76, 1.665, 1.76, 17683
12/24/18, 1.62, 1.76, 1.62, 1.76, 44671
12/21/18, 1.71, 1.76, 1.64, 1.64, 46212
12/20/18, 1.75, 1.76, 1.6501, 1.75, 33964
12/19/18, 1.6949, 1.76, 1.65, 1.76, 21340
12/18/18, 1.66, 1.76, 1.66, 1.76, 34274
12/17/18, 1.75, 1.76, 1.70, 1.76, 43506
12/14/18, 1.71, 1.77, 1.70, 1.77, 24850
12/13/18, 1.76, 1.80, 1.634, 1.70, 73951
12/12/18, 1.81, 1.8611, 1.75, 1.80, 10984
12/11/18, 1.7553, 1.85, 1.7553, 1.8153, 5267
12/10/18, 1.83, 1.858, 1.77, 1.77, 7732
12/07/18, 1.90, 1.90, 1.81, 1.84, 2717
12/06/18, 1.80, 1.92, 1.70, 1.80, 25833
12/04/18, 1.81, 1.8209, 1.80, 1.82, 6826
12/03/18, 1.82, 1.8525, 1.80, 1.82, 12939
11/30/18, 1.75, 1.80, 1.7186, 1.79, 17795
11/29/18, 1.761, 1.761, 1.70, 1.76, 2795
11/28/18, 1.72, 1.80, 1.6701, 1.73, 13649
11/27/18, 1.69, 1.80, 1.67, 1.73, 16696
11/26/18, 1.80, 1.80, 1.6601, 1.70, 12854
11/23/18, 1.68, 1.80, 1.68, 1.80, 2382
11/21/18, 1.63, 1.73, 1.63, 1.65, 7190
11/20/18, 1.72, 1.73, 1.64, 1.65, 14838
11/19/18, 1.7615, 1.7615, 1.6518, 1.73, 25036
11/16/18, 1.75, 1.78, 1.729, 1.75, 10595
11/15/18, 1.73, 1.75, 1.70, 1.711, 8530
11/14/18, 1.7688, 1.83, 1.73, 1.73, 24431
11/13/18, 1.881, 1.90, 1.77, 1.82, 55093
11/12/18, 1.85, 1.89, 1.78, 1.89, 17653
11/09/18, 1.88, 1.89, 1.7996, 1.85, 14978
11/08/18, 1.7743, 1.88, 1.7743, 1.88, 16788
11/07/18, 1.8109, 1.89, 1.81, 1.84, 9443
11/06/18, 1.83, 1.90, 1.809, 1.82, 19663
