Date, Open, High, Low, Close, Volume
03/25/19, 9.98, 9.99, 9.92, 9.92, 52709
03/22/19, 9.91, 9.91, 9.91, 9.91, 0
03/21/19, 9.91, 9.91, 9.91, 9.91, 1199
03/20/19, 9.95, 9.95, 9.95, 9.95, 0
03/19/19, 9.95, 9.95, 9.95, 9.95, 0
03/18/19, 9.95, 9.95, 9.95, 9.95, 2575
03/15/19, 9.97, 9.97, 9.97, 9.97, 2500
03/14/19, 9.95, 9.95, 9.95, 9.95, 5000
03/13/19, 9.95, 9.97, 9.95, 9.97, 51400
03/12/19, 9.90, 9.90, 9.90, 9.90, 0
03/11/19, 9.97, 9.97, 9.97, 9.97, 100
03/08/19, 9.95, 9.95, 9.90, 9.90, 249
03/07/19, 9.90, 9.90, 9.90, 9.90, 0
03/06/19, 9.90, 9.90, 9.90, 9.90, 0
03/05/19, 9.90, 9.90, 9.90, 9.90, 616800
03/04/19, 9.91, 9.91, 9.91, 9.91, 0
03/01/19, 9.91, 9.91, 9.91, 9.91, 0
02/28/19, 9.92, 9.92, 9.92, 9.92, 8
02/27/19, 9.90, 9.90, 9.90, 9.90, 0
02/26/19, 9.90, 9.90, 9.90, 9.90, 0
02/25/19, 9.90, 9.90, 9.90, 9.90, 0
02/22/19, 9.87, 9.87, 9.87, 9.87, 0
02/21/19, 9.87, 9.87, 9.87, 9.87, 0
02/20/19, 9.87, 9.87, 9.87, 9.87, 0
02/19/19, 9.93, 9.93, 9.93, 9.93, 0
02/15/19, 9.93, 9.93, 9.93, 9.93, 0
02/14/19, 9.93, 9.95, 9.93, 9.93, 2049
02/13/19, 9.93, 9.93, 9.93, 9.93, 0
02/12/19, 9.93, 9.98, 9.93, 9.93, 682667
02/11/19, 9.90, 9.92, 9.8997, 9.92, 46397
02/08/19, 9.8999, 9.8999, 9.8999, 9.8999, 550
02/07/19, 9.87, 9.87, 9.87, 9.87, 0
02/06/19, 9.90, 9.90, 9.87, 9.87, 1400
02/05/19, 9.88, 9.88, 9.88, 9.88, 0
02/04/19, 9.87, 9.90, 9.87, 9.87, 412500
02/01/19, 9.85, 9.85, 9.85, 9.85, 2550
01/31/19, 9.85, 9.85, 9.85, 9.85, 0
01/30/19, 9.82, 9.82, 9.82, 9.82, 0
01/29/19, 9.82, 9.82, 9.82, 9.82, 0
01/28/19, 9.85, 9.85, 9.85, 9.85, 0
01/25/19, 9.84, 9.84, 9.84, 9.84, 25000
01/24/19, 9.82, 9.82, 9.82, 9.82, 100
01/23/19, 9.87, 9.87, 9.87, 9.87, 10250
01/22/19, 9.87, 9.87, 9.87, 9.87, 603
01/18/19, 9.82, 9.82, 9.82, 9.82, 0
01/17/19, 9.82, 9.82, 9.82, 9.82, 0
01/16/19, 9.80, 9.86, 9.80, 9.86, 73921
01/15/19, 9.85, 9.85, 9.84, 9.84, 2620
01/14/19, 9.83, 9.83, 9.83, 9.83, 0
01/11/19, 9.85, 9.85, 9.85, 9.85, 0
01/10/19, 9.80, 9.85, 9.80, 9.85, 54800
01/09/19, 9.80, 9.82, 9.80, 9.82, 333900
01/08/19, 9.77, 9.82, 9.77, 9.82, 50044
01/07/19, 9.75, 9.76, 9.75, 9.75, 10000
01/04/19, 9.77, 9.77, 9.75, 9.75, 5100
01/03/19, 9.75, 9.75, 9.75, 9.75, 20
01/02/19, 9.73, 9.75, 9.73, 9.75, 1260
12/31/18, 9.80, 9.80, 9.80, 9.80, 940
12/28/18, 9.80, 9.80, 9.80, 9.80, 1000
12/27/18, 9.80, 9.80, 9.75, 9.80, 5656
12/26/18, 9.73, 9.73, 9.73, 9.73, 0
12/24/18, 9.73, 9.73, 9.73, 9.73, 0
12/21/18, 9.74, 9.74, 9.74, 9.74, 0
12/20/18, 9.77, 9.77, 9.77, 9.77, 9859
12/19/18, 9.74, 9.74, 9.74, 9.74, 95000
12/18/18, 9.77, 9.77, 9.77, 9.77, 400
12/17/18, 9.75, 9.75, 9.75, 9.75, 0
12/14/18, 9.77, 9.77, 9.77, 9.77, 1100
12/13/18, 9.72, 9.77, 9.72, 9.77, 9764
12/12/18, 9.75, 9.75, 9.75, 9.75, 400000
12/11/18, 9.75, 9.75, 9.75, 9.75, 250000
12/10/18, 9.65, 9.65, 9.65, 9.65, 0
12/07/18, 9.74, 9.76, 9.73, 9.76, 32229
12/06/18, 9.77, 9.77, 9.73, 9.74, 595337
12/04/18, 9.73, 9.74, 9.72, 9.74, 53800
12/03/18, 9.72, 9.76, 9.72, 9.74, 527310
11/30/18, 9.73, 9.73, 9.72, 9.72, 115310
11/29/18, 9.67, 9.67, 9.67, 9.67, 0
11/28/18, 9.68, 9.68, 9.68, 9.68, 10
11/27/18, 9.70, 9.73, 9.70, 9.73, 26090
11/26/18, 9.75, 9.78, 9.68, 9.78, 5810
11/23/18, 9.68, 9.68, 9.68, 9.68, 15000
11/21/18, 9.68, 9.72, 9.65, 9.67, 1261800
11/20/18, 10.06, 10.08, 10.06, 10.07, 64690
11/19/18, 10.07, 10.08, 10.055, 10.08, 62800
11/16/18, 10.06, 10.08, 10.06, 10.08, 15700
11/15/18, 10.0797, 10.08, 10.0701, 10.08, 2100
11/14/18, 10.06, 10.06, 10.06, 10.06, 0
11/13/18, 10.08, 10.08, 10.06, 10.06, 607200
11/12/18, 10.07, 10.08, 10.07, 10.08, 350
11/09/18, 10.06, 10.09, 10.06, 10.09, 19500
11/08/18, 10.068, 10.09, 10.068, 10.09, 3200
11/07/18, 10.05, 10.09, 10.05, 10.09, 94365
11/06/18, 10.07, 10.50, 10.07, 10.07, 91735
11/05/18, 10.06, 10.09, 10.06, 10.06, 80200
11/02/18, 10.09, 10.09, 10.09, 10.09, 2293
11/01/18, 10.05, 10.10, 10.05, 10.10, 4100
10/31/18, 10.0302, 10.07, 10.0302, 10.04, 131760
10/30/18, 10.03, 10.03, 10.03, 10.03, 0
