Date, Open, High, Low, Close, Volume
03/25/19, 28.40, 29.04, 27.83, 28.76, 24304
03/22/19, 29.54, 29.65, 27.87, 28.40, 33150
03/21/19, 30.30, 30.99, 29.78, 30.07, 27184
03/20/19, 30.44, 31.19, 30.07, 30.58, 25364
03/19/19, 31.19, 31.19, 30.33, 30.45, 17516
03/18/19, 31.49, 31.49, 29.95, 31.00, 46286
03/15/19, 30.40, 31.79, 30.31, 31.63, 58245
03/14/19, 29.51, 30.40, 29.33, 30.39, 31442
03/13/19, 30.71, 30.71, 29.20, 29.63, 13554
03/12/19, 30.72, 30.72, 28.92, 29.21, 27895
03/11/19, 28.95, 30.88, 28.6977, 30.73, 52332
03/08/19, 28.43, 29.27, 27.84, 28.96, 46048
03/07/19, 31.07, 31.07, 28.48, 28.90, 44153
03/06/19, 31.32, 31.32, 29.7513, 31.00, 76310
03/05/19, 32.42, 32.56, 30.335, 30.79, 68709
03/04/19, 30.98, 32.6306, 30.98, 32.17, 93254
03/01/19, 28.36, 31.28, 28.33, 30.98, 48780
02/28/19, 30.04, 30.04, 27.61, 28.12, 58021
02/27/19, 26.64, 27.64, 25.59, 26.80, 36912
02/26/19, 26.16, 27.79, 25.76, 26.77, 50063
02/25/19, 26.63, 26.63, 25.49, 26.08, 58900
02/22/19, 25.37, 27.55, 25.0901, 26.47, 69780
02/21/19, 25.97, 25.97, 24.9864, 25.29, 10696
02/20/19, 26.00, 26.00, 25.56, 25.91, 30003
02/19/19, 26.34, 26.34, 25.39, 26.08, 27364
02/15/19, 26.11, 26.43, 25.85, 26.38, 28008
02/14/19, 26.07, 26.07, 25.81, 25.82, 11344
02/13/19, 25.80, 26.10, 25.57, 26.00, 19186
02/12/19, 25.73, 26.11, 25.65, 25.88, 11171
02/11/19, 24.84, 26.05, 24.84, 25.45, 16683
02/08/19, 25.38, 25.65, 23.45, 24.84, 26021
02/07/19, 26.33, 26.373, 25.00, 25.39, 18882
02/06/19, 26.13, 26.60, 25.63, 26.60, 40739
02/05/19, 26.64, 26.74, 25.915, 26.50, 42877
02/04/19, 26.43, 26.6499, 25.81, 26.52, 36050
02/01/19, 26.00, 26.415, 25.16, 26.40, 44576
01/31/19, 24.23, 26.10, 24.0211, 26.00, 30202
01/30/19, 23.09, 25.41, 22.55, 24.28, 77581
01/29/19, 22.22, 23.02, 22.22, 22.58, 23647
01/28/19, 23.05, 23.23, 21.80, 22.22, 36646
01/25/19, 23.10, 23.50, 22.705, 23.30, 14912
01/24/19, 22.68, 23.16, 22.35, 23.07, 21769
01/23/19, 24.14, 24.14, 22.28, 22.68, 25035
01/22/19, 24.20, 24.32, 22.91, 24.04, 41172
01/18/19, 24.06, 24.43, 24.06, 24.15, 9268
01/17/19, 24.07, 24.905, 23.94, 23.98, 18267
01/16/19, 24.06, 24.91, 24.06, 24.25, 12915
01/15/19, 23.89, 24.26, 23.59, 24.19, 11408
01/14/19, 23.43, 24.04, 23.0201, 23.81, 23949
01/11/19, 23.68, 23.86, 23.26, 23.66, 29577
01/10/19, 23.86, 24.46, 23.59, 23.83, 47942
01/09/19, 25.29, 25.40, 23.95, 24.10, 75282
01/08/19, 26.20, 26.20, 23.499, 24.92, 94745
01/07/19, 25.58, 26.57, 24.42, 25.70, 14392
01/04/19, 23.94, 25.58, 22.80, 25.39, 20533
01/03/19, 23.92, 24.67, 23.12, 23.40, 14839
01/02/19, 24.24, 25.2236, 22.70, 24.13, 37478
12/31/18, 23.58, 24.59, 23.58, 24.53, 28218
12/28/18, 23.01, 24.1738, 22.23, 23.18, 41588
12/27/18, 22.43, 23.24, 21.36, 22.80, 38894
12/26/18, 21.00, 23.41, 20.20, 22.76, 83140
12/24/18, 20.44, 21.19, 20.13, 20.96, 27030
12/21/18, 21.42, 21.9314, 19.1033, 20.90, 128512
12/20/18, 22.25, 22.4764, 21.2406, 21.42, 73180
12/19/18, 23.97, 23.97, 21.40, 22.18, 122348
12/18/18, 24.37, 24.49, 23.46, 23.97, 59676
12/17/18, 23.60, 24.74, 23.50, 23.85, 25592
12/14/18, 24.09, 24.58, 23.15, 23.50, 76465
12/13/18, 25.50, 26.65, 23.9268, 24.41, 38626
12/12/18, 25.79, 26.58, 24.87, 25.50, 32611
12/11/18, 25.68, 26.025, 23.80, 25.53, 25857
12/10/18, 25.75, 26.6187, 24.84, 25.35, 109739
12/07/18, 26.30, 26.73, 24.97, 25.49, 49883
12/06/18, 25.99, 26.41, 25.03, 26.30, 27860
12/04/18, 26.37, 26.90, 25.48, 26.17, 36440
12/03/18, 26.84, 26.98, 26.115, 26.27, 37798
11/30/18, 25.83, 26.84, 25.0949, 26.45, 30234
11/29/18, 25.33, 26.01, 25.13, 25.74, 20744
11/28/18, 25.25, 25.67, 24.62, 25.46, 22842
11/27/18, 25.85, 26.32, 24.86, 25.20, 38487
11/26/18, 25.83, 26.18, 24.43, 26.10, 40909
11/23/18, 24.95, 25.95, 24.425, 25.71, 11916
11/21/18, 24.20, 25.50, 24.20, 25.26, 13103
11/20/18, 24.66, 24.66, 23.05, 23.96, 28918
11/19/18, 26.53, 27.07, 25.01, 25.12, 15820
11/16/18, 25.68, 26.90, 24.94, 26.44, 36926
11/15/18, 24.60, 27.01, 24.60, 25.68, 37280
11/14/18, 25.28, 25.48, 23.57, 25.00, 49919
11/13/18, 24.49, 26.35, 24.165, 24.94, 54589
11/12/18, 25.94, 25.94, 24.1001, 24.37, 31898
11/09/18, 27.81, 27.81, 25.12, 25.84, 33307
11/08/18, 27.34, 29.42, 27.201, 28.09, 25803
11/07/18, 28.11, 28.17, 26.74, 27.78, 30709
11/06/18, 29.39, 29.39, 27.30, 27.85, 23367
11/05/18, 29.16, 29.98, 27.92, 29.06, 30596
11/02/18, 30.46, 31.28, 28.4284, 29.02, 13748
11/01/18, 26.69, 30.18, 26.06, 29.94, 73495
10/31/18, 26.52, 27.78, 26.40, 26.71, 23690
10/30/18, 26.30, 27.43, 25.30, 26.00, 38502
10/29/18, 27.56, 27.56, 25.97, 26.43, 30130
10/26/18, 27.88, 27.97, 26.19, 27.06, 36491
10/25/18, 26.84, 28.65, 26.00, 28.44, 33214
10/24/18, 27.75, 29.687, 26.18, 26.63, 44463
10/23/18, 27.72, 28.475, 26.28, 27.85, 24023
10/22/18, 27.70, 28.71, 27.46, 28.34, 12564
10/19/18, 28.24, 28.96, 27.38, 27.62, 17049
10/18/18, 28.77, 29.42, 27.96, 28.36, 30474
10/17/18, 28.42, 29.50, 27.7983, 28.93, 43020
10/16/18, 28.40, 29.9999, 27.6436, 28.38, 44740
10/15/18, 25.95, 28.56, 25.3501, 28.18, 32407
10/12/18, 25.75, 27.70, 25.75, 26.01, 25924
10/11/18, 27.41, 28.935, 25.1401, 25.59, 62603
10/10/18, 30.35, 30.35, 27.795, 27.98, 37477
10/09/18, 29.97, 30.96, 29.7101, 30.70, 23103
10/08/18, 30.32, 30.49, 29.7891, 30.00, 17745
10/05/18, 30.77, 30.892, 29.35, 30.32, 33317
10/04/18, 32.50, 32.60, 30.51, 30.71, 43999
10/03/18, 31.95, 33.36, 31.50, 32.57, 34998
10/02/18, 32.22, 32.37, 31.54, 31.85, 17612
10/01/18, 33.67, 34.91, 32.22, 32.36, 58005
09/28/18, 32.54, 33.89, 32.13, 32.96, 34532
09/27/18, 32.46, 33.59, 32.00, 33.29, 91413
09/26/18, 32.24, 32.40, 31.53, 32.26, 28292
09/25/18, 31.75, 32.65, 31.6818, 32.26, 24882
09/24/18, 31.63, 32.14, 31.44, 31.77, 17219
09/21/18, 31.50, 32.6338, 30.91, 31.44, 121524
09/20/18, 33.52, 33.95, 32.48, 32.70, 25481
09/19/18, 32.90, 34.4312, 32.38, 33.39, 32761
09/18/18, 32.16, 33.00, 31.7318, 32.86, 51645
09/17/18, 31.96, 32.58, 30.92, 32.07, 61957
09/14/18, 32.82, 33.72, 32.01, 32.01, 29008
09/13/18, 33.23, 33.64, 32.70, 32.80, 27637
09/12/18, 32.87, 33.80, 32.65, 33.22, 34485
09/11/18, 33.03, 33.40, 32.01, 32.82, 44190
09/10/18, 33.27, 33.63, 32.00, 33.08, 46457
09/07/18, 33.61, 34.00, 32.87, 33.13, 32826
09/06/18, 33.70, 34.30, 33.00, 33.62, 73542
09/05/18, 33.43, 34.759, 32.96, 33.67, 91322
09/04/18, 34.54, 34.72, 33.0246, 33.61, 81584
08/31/18, 33.45, 34.695, 32.82, 34.58, 50414
08/30/18, 32.14, 33.99, 32.00, 33.51, 31226
08/29/18, 31.85, 32.5875, 31.85, 32.20, 34897
08/28/18, 31.93, 32.66, 31.68, 31.87, 26090
08/27/18, 31.89, 33.00, 31.865, 32.02, 78033
08/24/18, 32.28, 32.28, 30.57, 31.93, 29607
08/23/18, 32.05, 32.8799, 29.55, 32.26, 77379
08/22/18, 31.17, 32.89, 30.88, 32.35, 60081
08/21/18, 30.37, 31.34, 30.20, 31.20, 34226
08/20/18, 30.31, 30.6895, 29.29, 30.37, 20331
08/17/18, 29.99, 30.795, 29.48, 30.17, 26989
08/16/18, 30.00, 30.705, 29.27, 29.73, 46127
08/15/18, 31.59, 31.94, 29.54, 29.83, 46060
08/14/18, 31.58, 32.8025, 31.12, 31.69, 63834
08/13/18, 31.29, 32.25, 31.02, 31.71, 19056
08/10/18, 31.70, 32.4514, 31.05, 31.20, 27868
08/09/18, 29.58, 32.45, 29.58, 31.79, 59649
08/08/18, 29.29, 30.28, 29.02, 29.47, 65773
08/07/18, 31.62, 31.62, 28.52, 29.29, 110327
08/06/18, 32.39, 32.57, 31.15, 31.54, 29687
08/03/18, 32.28, 32.70, 31.70, 32.35, 38870
08/02/18, 31.88, 32.77, 31.12, 32.25, 48651
08/01/18, 31.58, 32.415, 31.15, 32.05, 38434
07/31/18, 31.54, 32.08, 31.04, 31.55, 20764
07/30/18, 31.00, 32.3185, 29.73, 31.40, 39771
07/27/18, 31.94, 32.18, 30.68, 30.97, 37904
07/26/18, 32.05, 32.14, 31.55, 31.89, 21143
07/25/18, 32.35, 32.93, 31.7601, 32.10, 28694
07/24/18, 32.97, 32.98, 31.83, 32.41, 47384
07/23/18, 32.61, 34.03, 31.76, 32.32, 46066
07/20/18, 32.56, 33.53, 32.07, 32.61, 39374
07/19/18, 32.76, 32.87, 32.08, 32.55, 49210
07/18/18, 33.16, 33.18, 32.40, 32.88, 44717
07/17/18, 33.51, 33.79, 32.57, 33.50, 42176
07/16/18, 34.49, 34.83, 32.905, 33.56, 76507
07/13/18, 34.88, 34.88, 34.06, 34.42, 46218
07/12/18, 36.02, 36.37, 34.50, 34.90, 87474
07/11/18, 36.65, 36.98, 35.26, 35.81, 71073
07/10/18, 37.00, 37.02, 36.11, 36.73, 47051
07/09/18, 36.87, 37.21, 36.06, 36.87, 51409
07/06/18, 36.72, 37.34, 35.97, 36.63, 93795
07/05/18, 36.10, 37.14, 35.08, 36.81, 124286
07/03/18, 36.11, 36.24, 35.765, 36.07, 30227
07/02/18, 35.24, 36.41, 35.00, 36.18, 35855
06/29/18, 36.22, 36.49, 35.18, 35.50, 42859
06/28/18, 36.90, 37.11, 36.02, 36.09, 114793
06/27/18, 36.89, 37.50, 35.99, 36.91, 118381
06/26/18, 34.93, 37.23, 34.88, 36.88, 125304
06/25/18, 37.11, 37.95, 33.62, 34.97, 154376
06/22/18, 36.18, 37.45, 35.61, 37.31, 1190003
06/21/18, 34.86, 37.23, 34.49, 36.03, 154908
06/20/18, 34.01, 35.79, 33.74, 34.94, 171661
06/19/18, 33.43, 34.754, 33.24, 33.49, 112817
06/18/18, 32.31, 34.00, 32.015, 33.43, 90979
06/15/18, 32.45, 32.635, 31.75, 32.53, 170055
06/14/18, 32.52, 32.90, 31.76, 32.37, 74010
06/13/18, 32.00, 33.10, 31.12, 32.41, 81365
06/12/18, 35.39, 35.45, 30.705, 32.00, 173205
06/11/18, 30.64, 32.725, 30.64, 32.61, 78438
06/08/18, 30.95, 31.92, 30.25, 30.68, 42182
06/07/18, 31.19, 31.31, 30.76, 31.07, 46601
06/06/18, 32.70, 32.78, 30.78, 31.06, 39731
06/05/18, 30.35, 32.73, 30.21, 32.73, 117254
06/04/18, 31.03, 31.42, 30.00, 30.35, 110085
06/01/18, 31.50, 31.545, 30.7248, 30.75, 144908
05/31/18, 31.27, 31.9834, 31.06, 31.33, 54941
05/30/18, 32.13, 32.51, 31.015, 31.42, 45233
05/29/18, 32.34, 32.90, 32.05, 32.05, 27724
05/25/18, 32.419, 32.97, 32.38, 32.61, 25960
