Date, Open, High, Low, Close, Volume
03/25/19, 27.00, 27.49, 27.00, 27.39, 1901
03/22/19, 27.70, 27.72, 27.08, 27.18, 9520
03/21/19, 27.764, 28.00, 27.72, 27.72, 5728
03/20/19, 28.22, 28.5741, 27.6042, 28.17, 6038
03/19/19, 28.48, 28.641, 27.99, 28.01, 16918
03/18/19, 28.82, 29.02, 28.21, 28.23, 21297
03/15/19, 28.79, 29.42, 28.50, 28.69, 37556
03/14/19, 29.41, 29.49, 28.85, 28.87, 15807
03/13/19, 30.74, 30.74, 29.46, 29.46, 22356
03/12/19, 29.52, 29.80, 29.37, 29.70, 5112
03/11/19, 29.4743, 29.87, 29.295, 29.87, 11415
03/08/19, 29.6317, 29.69, 29.43, 29.45, 4676
03/07/19, 29.84, 29.84, 29.42, 29.44, 5317
03/06/19, 29.87, 30.22, 29.85, 29.85, 3982
03/05/19, 29.735, 30.01, 29.70, 30.00, 1036
03/04/19, 29.675, 30.23, 29.675, 30.22, 7148
03/01/19, 30.21, 30.28, 29.80, 30.22, 2767
02/28/19, 29.73, 30.26, 29.73, 30.26, 2713
02/27/19, 30.38, 30.63, 29.94, 30.29, 3528
02/26/19, 30.22, 30.95, 30.062, 30.95, 7919
02/25/19, 30.05, 30.69, 30.05, 30.48, 9407
02/22/19, 30.30, 30.58, 30.20, 30.48, 5785
02/21/19, 30.35, 30.43, 30.02, 30.43, 4677
02/20/19, 30.69, 30.70, 30.015, 30.35, 9659
02/19/19, 29.85, 30.86, 29.85, 30.77, 24321
02/15/19, 29.49, 29.99, 29.43, 29.99, 8860
02/14/19, 29.51, 30.04, 29.41, 29.41, 18238
02/13/19, 29.5579, 30.62, 29.54, 29.89, 34601
02/12/19, 30.04, 30.61, 29.344, 29.85, 97689
02/11/19, 29.7745, 29.92, 29.43, 29.70, 4702
02/08/19, 29.4323, 29.7382, 29.4323, 29.60, 2532
02/07/19, 29.5585, 30.0815, 29.5585, 29.80, 6869
02/06/19, 30.3035, 30.3035, 29.70, 29.70, 3429
02/05/19, 30.2383, 30.44, 29.46, 30.28, 11810
02/04/19, 29.817, 30.43, 29.817, 29.96, 12015
02/01/19, 29.85, 30.40, 29.85, 29.95, 5402
01/31/19, 29.55, 30.5561, 29.545, 29.60, 15890
01/30/19, 30.92, 30.92, 29.86, 30.00, 8624
01/29/19, 30.84, 30.84, 29.80, 29.86, 6103
01/28/19, 29.53, 29.94, 29.53, 29.55, 3843
01/25/19, 29.50, 30.6091, 29.50, 29.82, 12529
01/24/19, 29.50, 30.38, 29.50, 30.38, 1281
01/23/19, 30.8516, 30.8516, 29.55, 29.99, 5007
01/22/19, 30.35, 30.53, 29.11, 29.11, 6773
01/18/19, 30.31, 31.49, 30.22, 30.35, 4695
01/17/19, 30.36, 30.45, 29.9073, 30.33, 15176
01/16/19, 30.199, 30.66, 30.0502, 30.23, 9202
01/15/19, 29.6626, 30.19, 29.4865, 29.70, 12670
01/14/19, 29.73, 29.7387, 28.76, 29.25, 9310
01/11/19, 29.90, 29.90, 29.65, 29.77, 3443
01/10/19, 30.18, 30.18, 29.87, 30.01, 1994
01/09/19, 31.0099, 31.0099, 29.81, 30.02, 6351
01/08/19, 30.30, 30.635, 29.91, 30.10, 10790
01/07/19, 30.40, 30.75, 30.1502, 30.75, 7569
01/04/19, 30.04, 30.94, 29.907, 30.82, 7605
01/03/19, 29.77, 31.145, 29.77, 30.01, 1952
01/02/19, 29.37, 29.75, 29.30, 29.75, 2436
