Date, Open, High, Low, Close, Volume
03/25/19, 12.98, 13.25, 12.50, 13.245, 603371
03/22/19, 14.06, 14.21, 12.87, 12.95, 912058
03/21/19, 13.45, 14.91, 13.22, 14.31, 2015296
03/20/19, 13.79, 13.79, 13.19, 13.46, 693822
03/19/19, 13.84, 13.935, 13.65, 13.78, 764192
03/18/19, 13.50, 13.85, 13.49, 13.71, 493129
03/15/19, 13.67, 13.91, 13.31, 13.51, 1614883
03/14/19, 13.03, 13.74, 13.01, 13.58, 741724
03/13/19, 13.15, 13.33, 12.90, 12.96, 396482
03/12/19, 12.81, 13.22, 12.70, 13.08, 714883
03/11/19, 12.20, 12.80, 12.13, 12.77, 576243
03/08/19, 12.08, 12.26, 11.98, 12.14, 516277
03/07/19, 12.45, 12.65, 12.06, 12.20, 750416
03/06/19, 12.73, 12.87, 12.38, 12.50, 1329252
03/05/19, 12.95, 13.23, 12.74, 12.76, 1422051
03/04/19, 13.17, 13.28, 12.09, 12.96, 1966866
03/01/19, 12.90, 13.30, 12.76, 13.19, 1134964
02/28/19, 12.18, 13.46, 12.17, 12.82, 5153496
02/27/19, 13.01, 13.02, 11.82, 12.21, 2421160
02/26/19, 14.05, 14.21, 13.14, 13.51, 1842174
02/25/19, 14.51, 14.95, 14.51, 14.71, 479671
02/22/19, 14.24, 14.3844, 14.15, 14.35, 439389
02/21/19, 14.08, 14.27, 13.66, 14.17, 532560
02/20/19, 13.95, 14.42, 13.90, 14.04, 653277
02/19/19, 14.35, 14.42, 13.68, 13.92, 832028
02/15/19, 14.03, 14.49, 13.98, 14.32, 497520
02/14/19, 13.86, 14.05, 13.64, 13.98, 523138
02/13/19, 14.02, 14.24, 13.83, 13.92, 802917
02/12/19, 13.83, 14.01, 13.59, 14.00, 789035
02/11/19, 13.93, 14.0523, 13.45, 13.66, 255119
02/08/19, 13.72, 13.90, 13.53, 13.83, 278775
02/07/19, 13.90, 14.17, 13.58, 13.74, 899469
02/06/19, 14.05, 14.42, 13.56, 14.00, 1689043
02/05/19, 14.13, 14.49, 13.82, 13.98, 1180159
02/04/19, 14.17, 14.27, 13.86, 14.14, 483723
02/01/19, 14.15, 14.47, 13.86, 14.17, 831258
01/31/19, 14.10, 15.17, 13.985, 14.08, 3442662
01/30/19, 12.10, 14.21, 12.08, 14.12, 2913137
01/29/19, 12.53, 12.78, 11.89, 12.02, 1293228
01/28/19, 12.85, 12.99, 12.235, 12.49, 780281
01/25/19, 12.67, 13.06, 12.49, 13.03, 468490
01/24/19, 12.24, 12.87, 12.12, 12.61, 1206935
01/23/19, 12.72, 12.91, 12.00, 12.24, 1240000
01/22/19, 13.27, 13.36, 12.59, 12.66, 1041260
01/18/19, 12.38, 13.51, 12.26, 13.41, 1777283
01/17/19, 11.72, 12.53, 11.54, 12.36, 1661169
01/16/19, 11.57, 12.27, 11.53, 11.65, 1113234
01/15/19, 11.11, 11.52, 11.00, 11.48, 904580
01/14/19, 10.76, 11.3472, 10.66, 11.01, 1033424
01/11/19, 10.82, 10.99, 10.58, 10.83, 517417
01/10/19, 10.22, 10.87, 10.08, 10.77, 972788
01/09/19, 10.24, 10.66, 10.21, 10.30, 886189
01/08/19, 11.25, 11.3541, 10.095, 10.25, 1982819
01/07/19, 12.02, 12.1499, 10.93, 11.17, 1586559
01/04/19, 11.24, 11.85, 10.94, 11.77, 1349820
01/03/19, 10.89, 11.41, 10.66, 11.08, 1400727
01/02/19, 10.11, 10.94, 9.82, 10.92, 1054973
12/31/18, 10.22, 10.42, 10.08, 10.25, 733386
12/28/18, 10.29, 10.57, 10.10, 10.17, 784225
12/27/18, 10.50, 10.725, 9.94, 10.24, 466490
12/26/18, 9.95, 10.68, 9.79, 10.58, 670977
12/24/18, 9.65, 10.1199, 9.44, 9.94, 473825
12/21/18, 10.61, 10.61, 9.49, 9.80, 2106573
12/20/18, 10.15, 10.67, 9.92, 10.49, 1718715
12/19/18, 10.80, 11.17, 10.05, 10.19, 1032965
12/18/18, 10.90, 10.99, 10.595, 10.82, 1601112
12/17/18, 11.00, 11.33, 10.64, 10.83, 1242015
12/14/18, 11.13, 11.13, 10.62, 11.11, 685516
12/13/18, 11.54, 11.62, 11.11, 11.20, 836963
12/12/18, 11.53, 11.89, 11.32, 11.50, 877057
12/11/18, 11.46, 11.75, 10.97, 11.43, 2234413
12/10/18, 11.82, 12.07, 11.29, 11.40, 1367548
12/07/18, 12.31, 12.54, 11.76, 11.83, 1614708
12/06/18, 12.97, 13.05, 12.13, 12.32, 897197
12/04/18, 13.86, 14.12, 13.16, 13.26, 754787
12/03/18, 13.60, 14.14, 13.545, 14.03, 675326
11/30/18, 13.12, 13.47, 12.81, 13.38, 423710
11/29/18, 13.42, 13.66, 12.98, 13.09, 558553
11/28/18, 13.05, 13.39, 12.73, 13.38, 668026
11/27/18, 13.72, 13.72, 12.85, 12.91, 381076
11/26/18, 13.39, 13.82, 13.19, 13.76, 430586
11/23/18, 13.02, 13.36, 12.98, 13.24, 174194
11/21/18, 12.83, 13.25, 12.58, 13.16, 411616
11/20/18, 12.50, 12.94, 12.27, 12.72, 378600
11/19/18, 13.25, 13.25, 12.55, 12.73, 906560
11/16/18, 12.84, 13.43, 12.70, 13.27, 544079
11/15/18, 12.96, 13.22, 12.89, 13.00, 1046491
11/14/18, 13.31, 13.54, 12.49, 12.92, 597781
11/13/18, 13.30, 13.51, 13.02, 13.18, 367005
11/12/18, 13.83, 13.83, 13.17, 13.21, 660821
11/09/18, 14.08, 14.43, 13.60, 13.88, 706563
11/08/18, 14.48, 14.73, 13.92, 14.03, 1045637
11/07/18, 14.94, 15.32, 14.27, 14.59, 737478
11/06/18, 14.10, 14.99, 13.47, 14.80, 1155584
11/05/18, 14.33, 14.54, 13.75, 14.25, 737775
11/02/18, 13.97, 14.395, 13.81, 14.35, 578439
11/01/18, 12.77, 13.98, 12.77, 13.88, 1090404
10/31/18, 12.65, 12.94, 12.34, 12.70, 743889
10/30/18, 12.71, 13.12, 12.15, 12.44, 867437
10/29/18, 13.37, 13.60, 12.50, 12.77, 699281
10/26/18, 12.60, 13.39, 12.445, 13.17, 720122
10/25/18, 12.14, 13.33, 12.14, 12.89, 890072
10/24/18, 13.02, 13.43, 12.01, 12.03, 870005
10/23/18, 12.39, 13.38, 12.30, 13.02, 855267
10/22/18, 12.66, 12.79, 12.05, 12.67, 635491
10/19/18, 12.83, 13.17, 12.40, 12.59, 623968
10/18/18, 13.70, 13.70, 12.59, 12.83, 578475
10/17/18, 13.64, 13.95, 13.43, 13.71, 598625
10/16/18, 13.58, 13.7789, 13.21, 13.68, 638090
10/15/18, 13.26, 13.79, 12.825, 13.46, 742684
10/12/18, 12.61, 13.43, 12.17, 13.27, 1626622
10/11/18, 13.62, 14.20, 13.30, 13.40, 621308
10/10/18, 14.64, 14.72, 13.64, 13.72, 708291
10/09/18, 14.21, 14.83, 14.01, 14.74, 825663
10/08/18, 13.97, 14.71, 13.94, 14.20, 994151
10/05/18, 14.69, 14.835, 13.84, 14.28, 954461
10/04/18, 15.60, 15.60, 14.65, 14.67, 825860
10/03/18, 14.77, 15.66, 14.68, 15.66, 969780
10/02/18, 14.91, 15.15, 14.0101, 14.70, 1406062
10/01/18, 16.64, 16.8904, 14.755, 14.865, 863515
09/28/18, 16.65, 16.95, 16.45, 16.65, 549077
09/27/18, 16.60, 17.05, 16.40, 16.65, 344028
09/26/18, 17.00, 17.125, 16.55, 16.65, 345436
09/25/18, 16.75, 17.20, 16.70, 16.90, 578238
09/24/18, 16.10, 16.75, 16.00, 16.75, 561154
09/21/18, 16.25, 16.6413, 15.95, 16.10, 1346363
09/20/18, 16.10, 16.35, 15.75, 16.30, 989602
09/19/18, 16.30, 16.4163, 15.80, 15.95, 1065224
09/18/18, 17.00, 17.15, 16.30, 16.35, 912078
09/17/18, 18.10, 18.15, 16.925, 17.05, 1467975
09/14/18, 18.60, 18.70, 17.85, 18.20, 856176
09/13/18, 18.30, 18.95, 18.05, 18.60, 1181560
09/12/18, 18.30, 18.45, 17.60, 18.20, 983092
09/11/18, 17.60, 18.30, 17.45, 18.30, 826137
09/10/18, 17.85, 18.05, 17.35, 17.70, 991396
09/07/18, 18.05, 18.25, 17.85, 18.15, 475264
09/06/18, 18.20, 18.55, 17.85, 18.10, 733926
09/05/18, 18.15, 18.35, 17.90, 18.30, 491560
09/04/18, 18.05, 18.15, 17.70, 18.10, 543644
08/31/18, 17.90, 18.25, 17.80, 18.10, 445273
08/30/18, 17.90, 18.10, 17.70, 17.85, 457875
08/29/18, 17.65, 18.15, 17.425, 17.95, 518274
08/28/18, 17.85, 17.85, 17.45, 17.70, 475970
08/27/18, 17.70, 18.00, 17.45, 17.75, 425480
08/24/18, 17.65, 17.80, 17.45, 17.70, 367459
08/23/18, 18.35, 18.80, 17.55, 17.60, 650839
08/22/18, 18.60, 18.70, 18.35, 18.40, 483091
08/21/18, 18.60, 18.70, 18.15, 18.70, 590845
08/20/18, 18.55, 18.8435, 18.40, 18.50, 470029
08/17/18, 18.15, 18.60, 18.15, 18.60, 677911
08/16/18, 18.90, 19.2124, 17.70, 18.25, 2126687
08/15/18, 18.95, 19.05, 18.35, 18.75, 984269
08/14/18, 19.15, 19.40, 18.751, 19.00, 663882
08/13/18, 19.35, 19.65, 18.8885, 19.15, 636270
08/10/18, 19.50, 19.90, 18.70, 19.25, 2582079
08/09/18, 20.00, 20.00, 18.925, 19.40, 1079058
08/08/18, 19.85, 20.869, 19.575, 19.90, 1207211
08/07/18, 20.00, 20.00, 18.90, 19.40, 729487
08/06/18, 19.55, 19.95, 19.10, 19.20, 732384
08/03/18, 19.20, 19.45, 18.75, 19.00, 564205
08/02/18, 19.30, 19.45, 18.80, 19.20, 500709
08/01/18, 18.90, 19.95, 18.694, 19.50, 1339897
07/31/18, 18.05, 18.95, 17.65, 18.95, 727426
07/30/18, 18.40, 18.60, 17.90, 17.95, 843018
07/27/18, 18.55, 18.70, 18.25, 18.40, 623405
07/26/18, 18.35, 18.75, 18.35, 18.50, 516284
07/25/18, 18.20, 18.75, 18.15, 18.50, 612737
07/24/18, 18.55, 18.85, 17.85, 18.10, 740547
07/23/18, 17.95, 18.525, 17.80, 18.50, 389309
07/20/18, 18.35, 18.50, 17.85, 18.00, 479931
07/19/18, 18.50, 18.60, 18.15, 18.30, 535052
07/18/18, 18.95, 18.95, 18.30, 18.50, 697049
07/17/18, 18.90, 19.20, 18.70, 19.05, 450234
07/16/18, 19.10, 19.40, 18.75, 18.85, 950617
07/13/18, 18.65, 19.60, 18.40, 19.25, 838944
07/12/18, 18.70, 18.70, 17.85, 18.55, 739787
07/11/18, 18.40, 18.75, 17.49, 18.45, 1158066
07/10/18, 17.80, 19.10, 17.50, 18.50, 1536573
07/09/18, 17.85, 18.05, 17.35, 17.70, 1065484
07/06/18, 16.90, 18.00, 16.80, 17.80, 925616
07/05/18, 16.40, 16.95, 16.25, 16.85, 626854
07/03/18, 15.80, 16.30, 15.60, 16.275, 239922
07/02/18, 15.70, 15.85, 15.151, 15.80, 627584
06/29/18, 15.75, 16.3139, 15.60, 15.80, 1167736
06/28/18, 15.05, 15.90, 14.85, 15.75, 993351
06/27/18, 16.40, 16.75, 15.15, 15.15, 884311
06/26/18, 16.20, 16.35, 15.60, 16.00, 700007
06/25/18, 16.95, 16.95, 15.95, 16.15, 755525
06/22/18, 17.30, 17.575, 16.70, 16.80, 2431402
06/21/18, 18.05, 18.05, 17.20, 17.30, 442646
06/20/18, 17.90, 18.20, 17.55, 18.00, 561532
06/19/18, 17.25, 17.85, 17.20, 17.80, 684335
06/18/18, 17.60, 18.50, 17.00, 17.25, 902676
06/15/18, 16.95, 19.00, 16.95, 17.65, 4615000
06/14/18, 16.30, 16.85, 16.10, 16.55, 1304130
06/13/18, 16.50, 16.65, 15.95, 16.20, 797951
06/12/18, 16.50, 16.575, 16.20, 16.35, 1011065
06/11/18, 16.40, 16.90, 16.15, 16.45, 1688898
06/08/18, 17.80, 18.00, 16.70, 17.05, 1144971
06/07/18, 18.25, 18.30, 17.15, 17.80, 1291436
06/06/18, 18.85, 18.85, 18.05, 18.15, 787487
06/05/18, 18.95, 19.35, 18.75, 18.80, 1140613
06/04/18, 18.20, 19.35, 17.85, 19.05, 2163225
06/01/18, 17.55, 18.35, 17.15, 18.30, 1756265
05/31/18, 16.65, 17.60, 16.10, 17.45, 2162882
05/30/18, 15.80, 16.65, 15.80, 16.60, 1199001
05/29/18, 15.50, 15.85, 15.45, 15.75, 758639
05/25/18, 15.60, 15.90, 15.40, 15.55, 437558
05/24/18, 15.60, 15.85, 15.30, 15.55, 1107725
05/23/18, 15.00, 15.575, 15.00, 15.50, 453902
05/22/18, 15.20, 15.35, 14.85, 15.05, 753962
05/21/18, 15.40, 16.05, 15.00, 15.10, 1879709
05/18/18, 14.55, 15.30, 14.35, 15.20, 1066377
05/17/18, 15.00, 15.1489, 14.401, 14.55, 877368
05/16/18, 15.15, 15.20, 14.80, 15.05, 1166648
05/15/18, 15.20, 15.30, 14.75, 15.15, 471219
05/14/18, 14.65, 15.25, 14.65, 15.15, 789281
05/11/18, 14.40, 14.85, 13.90, 14.60, 898839
05/10/18, 14.60, 14.90, 14.25, 14.425, 891604
05/09/18, 13.50, 14.75, 12.525, 14.70, 1573029
05/08/18, 13.35, 14.15, 13.35, 14.00, 1194683
05/07/18, 13.25, 13.50, 13.10, 13.50, 887965
05/04/18, 13.25, 13.70, 13.075, 13.25, 1153641
05/03/18, 13.90, 14.11, 13.20, 13.25, 697065
05/02/18, 14.25, 14.40, 13.90, 13.95, 623397
05/01/18, 14.20, 14.35, 13.95, 14.20, 511542
04/30/18, 14.50, 14.75, 14.20, 14.20, 565175
04/27/18, 14.05, 14.60, 14.00, 14.50, 723296
04/26/18, 13.20, 14.20, 13.10, 14.10, 665395
04/25/18, 13.15, 13.50, 12.85, 13.20, 1116642
04/24/18, 13.65, 13.8802, 13.00, 13.05, 969550
04/23/18, 13.70, 13.95, 13.35, 13.65, 762210
04/20/18, 14.10, 14.30, 13.65, 13.75, 655695
04/19/18, 14.40, 14.45, 14.025, 14.20, 1300757
04/18/18, 14.55, 14.90, 14.15, 14.50, 1205802
04/17/18, 14.60, 14.725, 14.20, 14.55, 868844
04/16/18, 14.80, 14.80, 14.125, 14.55, 882063
04/13/18, 14.50, 14.80, 14.20, 14.70, 746914
04/12/18, 14.15, 14.55, 13.65, 14.35, 1135116
04/11/18, 13.20, 14.35, 13.00, 14.15, 1545514
04/10/18, 12.75, 13.25, 12.55, 13.20, 973179
04/09/18, 12.70, 12.85, 12.55, 12.65, 683493
04/06/18, 12.70, 13.15, 12.35, 12.60, 967729
04/05/18, 12.80, 12.95, 12.45, 12.85, 1114867
04/04/18, 12.45, 12.95, 12.437, 12.70, 1086163
04/03/18, 12.65, 12.90, 12.40, 12.65, 1142320
04/02/18, 12.60, 12.85, 12.20, 12.55, 1353269
03/29/18, 12.15, 12.90, 11.95, 12.70, 1417766
03/28/18, 11.65, 12.15, 11.20, 12.10, 1393951
03/27/18, 11.95, 12.20, 11.35, 11.50, 1477561
03/26/18, 11.50, 12.25, 11.50, 11.95, 2108498
03/23/18, 11.30, 11.75, 11.15, 11.25, 1689716
03/22/18, 11.55, 11.60, 10.9001, 11.35, 3159892
03/21/18, 13.20, 13.225, 11.15, 11.55, 5824082
03/20/18, 13.80, 14.10, 13.55, 13.60, 531408
03/19/18, 14.00, 14.15, 13.85, 13.90, 852560
03/16/18, 14.10, 14.475, 14.00, 14.15, 1578747
03/15/18, 14.60, 14.75, 13.975, 14.05, 972358
03/14/18, 15.20, 15.40, 14.351, 14.45, 611054
03/13/18, 14.90, 15.55, 14.85, 15.25, 1376387
03/12/18, 15.25, 15.50, 14.80, 14.90, 669195
03/09/18, 15.20, 15.325, 14.85, 15.20, 760680
03/08/18, 15.00, 15.30, 14.80, 15.15, 956618
03/07/18, 14.90, 15.05, 14.625, 14.90, 1561625
03/06/18, 14.90, 15.10, 14.50, 14.90, 993786
03/05/18, 14.40, 15.35, 14.225, 14.95, 1840364
03/02/18, 13.80, 14.40, 13.50, 14.35, 1730518
03/01/18, 13.90, 14.15, 13.525, 13.85, 1222569
02/28/18, 14.25, 14.60, 13.85, 13.90, 977790
02/27/18, 14.75, 14.9999, 13.70, 14.20, 2562190
02/26/18, 14.80, 15.15, 14.40, 14.75, 927543
02/23/18, 14.45, 14.80, 14.325, 14.75, 1022127
02/22/18, 14.75, 14.75, 14.125, 14.30, 1335695
02/21/18, 13.80, 14.90, 13.75, 14.55, 1882985
02/20/18, 13.75, 14.1841, 13.45, 13.85, 1470273
02/16/18, 14.10, 14.10, 13.50, 13.55, 1233366
02/15/18, 14.35, 14.35, 13.90, 14.05, 1458130
02/14/18, 13.10, 14.50, 13.00, 14.35, 2481926
02/13/18, 13.20, 13.50, 12.95, 13.30, 1331450
02/12/18, 13.30, 13.50, 12.90, 13.30, 2369023
02/09/18, 13.40, 13.90, 12.45, 13.25, 1704078
02/08/18, 13.90, 14.50, 13.15, 13.25, 2558966
02/07/18, 13.65, 14.20, 13.65, 13.90, 1338309
02/06/18, 12.70, 13.95, 12.60, 13.80, 1946578
02/05/18, 13.65, 14.20, 13.15, 13.20, 1959939
02/02/18, 13.95, 14.55, 13.75, 13.75, 1969714
02/01/18, 14.05, 14.50, 13.60, 14.20, 3383103
01/31/18, 14.55, 14.60, 13.95, 14.15, 2100020
01/30/18, 14.50, 14.70, 13.85, 14.40, 2863982
01/29/18, 15.90, 16.00, 14.70, 15.00, 4791654
01/26/18, 16.95, 17.00, 16.40, 16.70, 1023920
01/25/18, 17.10, 17.45, 16.60, 16.90, 893117
01/24/18, 17.60, 17.80, 16.45, 16.85, 1038209
01/23/18, 16.15, 17.60, 16.05, 17.45, 2055176
01/22/18, 17.05, 17.20, 15.975, 16.25, 1781717
01/19/18, 16.65, 16.9172, 16.35, 16.80, 868485
01/18/18, 16.60, 16.90, 16.30, 16.70, 789420
01/17/18, 17.20, 17.25, 16.125, 16.50, 1692043
01/16/18, 17.90, 18.20, 16.65, 16.90, 1569757
01/12/18, 18.05, 18.35, 17.20, 17.85, 1437382
01/11/18, 17.55, 18.05, 16.85, 17.90, 1577226
01/10/18, 17.35, 17.70, 16.50, 17.35, 2401508
01/09/18, 15.20, 18.60, 15.10, 17.55, 5134037
01/08/18, 15.40, 16.00, 14.20, 15.20, 6900726
01/05/18, 13.40, 13.80, 12.75, 12.95, 1198404
01/04/18, 13.05, 13.50, 12.80, 13.40, 1000174
01/03/18, 12.40, 13.525, 12.35, 12.90, 1704508
01/02/18, 11.60, 12.40, 11.351, 12.40, 906617
12/29/17, 11.45, 11.85, 11.40, 11.45, 608468
12/28/17, 11.90, 12.10, 11.20, 11.45, 739042
12/27/17, 11.60, 11.925, 11.50, 11.85, 533330
12/26/17, 11.60, 11.725, 11.1723, 11.55, 423894
12/22/17, 11.10, 11.75, 10.90, 11.65, 664932
12/21/17, 10.95, 11.30, 10.95, 11.10, 662703
12/20/17, 11.05, 11.15, 10.825, 10.95, 997047
12/19/17, 10.60, 11.15, 10.45, 10.95, 732571
12/18/17, 10.75, 10.90, 10.50, 10.60, 628550
12/15/17, 10.75, 10.95, 10.475, 10.75, 2690771
12/14/17, 11.00, 11.20, 10.575, 10.70, 523333
12/13/17, 10.55, 11.20, 10.55, 11.05, 685573
12/12/17, 10.75, 10.95, 10.45, 10.50, 569586
12/11/17, 11.05, 11.20, 10.70, 10.70, 521777
12/08/17, 10.95, 11.30, 10.85, 10.95, 567373
12/07/17, 10.50, 11.10, 10.35, 10.95, 613034
12/06/17, 10.55, 10.675, 10.20, 10.40, 578930
12/05/17, 10.90, 11.1175, 10.45, 10.50, 549061
12/04/17, 10.95, 11.45, 10.80, 10.90, 678863
12/01/17, 11.00, 11.20, 10.35, 10.80, 1013067
