Date, Open, High, Low, Close, Volume
03/25/19, 7.47, 7.6199, 6.81, 7.14, 352224
03/22/19, 7.77, 7.9508, 7.05, 7.45, 424964
03/21/19, 8.12, 8.38, 7.88, 7.91, 144852
03/20/19, 8.35, 8.355, 8.02, 8.17, 326626
03/19/19, 8.26, 8.60, 8.245, 8.33, 161960
03/18/19, 8.36, 8.6199, 8.21, 8.26, 196941
03/15/19, 8.71, 8.8999, 8.28, 8.36, 390128
03/14/19, 9.40, 9.46, 8.61, 8.72, 380383
03/13/19, 9.00, 9.505, 8.91, 9.40, 520005
03/12/19, 8.06, 9.00, 7.97, 8.91, 405252
03/11/19, 7.55, 8.11, 7.491, 8.00, 320233
03/08/19, 7.68, 7.68, 7.05, 7.53, 471901
03/07/19, 7.52, 7.94, 7.34, 7.82, 311058
03/06/19, 8.07, 8.18, 7.34, 7.53, 395404
03/05/19, 8.01, 8.35, 7.90, 8.05, 190443
03/04/19, 8.37, 8.64, 7.86, 8.00, 214080
03/01/19, 8.14, 8.53, 7.82, 8.28, 158429
02/28/19, 8.09, 8.2899, 7.61, 8.08, 284432
02/27/19, 7.60, 8.32, 7.60, 8.04, 238925
02/26/19, 7.60, 7.75, 7.46, 7.57, 573807
02/25/19, 7.80, 8.07, 7.59, 7.64, 291670
02/22/19, 8.03, 8.22, 7.80, 7.81, 157638
02/21/19, 7.75, 8.50, 7.58, 7.96, 240736
02/20/19, 7.67, 7.78, 7.50, 7.75, 459077
02/19/19, 7.74, 7.855, 7.50, 7.62, 264756
02/15/19, 8.02, 8.02, 7.50, 7.76, 333843
02/14/19, 8.28, 8.54, 7.86, 7.97, 218594
02/13/19, 8.37, 8.577, 8.12, 8.27, 200439
02/12/19, 8.10, 8.49, 8.08, 8.35, 261647
02/11/19, 8.00, 8.21, 7.84, 8.04, 404232
02/08/19, 8.28, 8.40, 7.70, 7.92, 324409
02/07/19, 8.58, 8.70, 8.20, 8.29, 110598
02/06/19, 8.71, 8.71, 8.41, 8.65, 143429
02/05/19, 8.99, 9.095, 8.58, 8.74, 124774
02/04/19, 8.98, 9.02, 8.84, 8.93, 47445
02/01/19, 8.80, 9.105, 8.52, 9.00, 164635
01/31/19, 8.76, 9.28, 8.72, 8.81, 159983
01/30/19, 8.50, 8.86, 8.26, 8.83, 148911
01/29/19, 8.37, 8.66, 8.02, 8.46, 208480
01/28/19, 8.60, 8.71, 8.34, 8.35, 130439
01/25/19, 8.53, 8.735, 8.411, 8.66, 91226
01/24/19, 8.53, 8.74, 8.25, 8.53, 101549
01/23/19, 8.51, 8.6424, 8.34, 8.51, 118880
01/22/19, 8.87, 8.8899, 8.30, 8.48, 119410
01/18/19, 8.74, 9.03, 8.30, 8.90, 198024
01/17/19, 8.96, 9.14, 8.67, 8.74, 132847
01/16/19, 9.36, 9.38, 8.58, 8.97, 266499
01/15/19, 8.82, 9.44, 8.8101, 9.30, 116548
01/14/19, 9.20, 9.33, 8.81, 8.89, 147619
01/11/19, 9.45, 9.64, 8.98, 9.26, 176783
01/10/19, 9.65, 9.73, 9.28, 9.51, 223979
01/09/19, 9.86, 10.0501, 9.59, 9.71, 121785
01/08/19, 9.88, 9.94, 9.55, 9.85, 231468
01/07/19, 9.83, 10.03, 9.6529, 9.77, 194073
01/04/19, 8.97, 9.87, 8.60, 9.78, 242348
01/03/19, 8.51, 8.99, 8.51, 8.87, 342509
01/02/19, 8.21, 8.88, 8.09, 8.51, 166916
12/31/18, 8.05, 8.4938, 7.97, 8.30, 139265
12/28/18, 7.88, 8.24, 7.645, 8.00, 140828
12/27/18, 7.86, 8.0873, 7.5821, 7.87, 154123
12/26/18, 7.53, 8.11, 7.53, 8.02, 193663
12/24/18, 7.25, 7.75, 7.18, 7.48, 160950
12/21/18, 7.81, 7.86, 7.15, 7.26, 709328
12/20/18, 8.25, 8.25, 7.55, 7.83, 265190
12/19/18, 8.60, 8.81, 8.08, 8.24, 294488
12/18/18, 8.88, 8.96, 8.42, 8.57, 193099
12/17/18, 9.35, 9.41, 8.77, 8.82, 577744
12/14/18, 9.43, 9.56, 9.247, 9.46, 137593
12/13/18, 9.73, 9.9111, 9.47, 9.49, 87435
12/12/18, 9.61, 9.88, 9.54, 9.74, 148990
12/11/18, 9.48, 9.80, 9.195, 9.49, 159293
12/10/18, 9.43, 9.43, 8.90, 9.33, 237409
12/07/18, 9.78, 9.88, 9.16, 9.23, 254664
12/06/18, 10.10, 10.2993, 9.63, 9.85, 283667
12/04/18, 9.56, 10.26, 9.56, 10.04, 499581
12/03/18, 9.18, 9.29, 9.014, 9.26, 117874
11/30/18, 8.66, 9.0007, 8.65, 8.97, 97700
11/29/18, 8.93, 9.04, 8.62, 8.73, 147482
11/28/18, 8.74, 9.17, 8.725, 9.00, 110749
11/27/18, 9.04, 9.38, 8.61, 8.74, 111285
11/26/18, 8.84, 9.18, 8.65, 9.15, 182785
11/23/18, 8.42, 8.86, 8.36, 8.72, 72026
11/21/18, 8.44, 8.66, 7.91, 8.50, 232749
11/20/18, 8.76, 9.20, 8.43, 8.45, 401577
11/19/18, 8.75, 9.12, 8.54, 8.97, 293740
11/16/18, 8.61, 9.09, 8.45, 8.81, 432262
11/15/18, 8.84, 9.31, 8.74, 8.77, 236355
11/14/18, 9.57, 10.7499, 8.405, 8.93, 523739
11/13/18, 10.31, 10.49, 9.93, 10.09, 158272
11/12/18, 10.56, 10.56, 10.02, 10.25, 157608
11/09/18, 10.86, 10.86, 10.42, 10.56, 67584
11/08/18, 11.05, 11.20, 10.85, 11.00, 111628
11/07/18, 10.44, 11.08, 10.4282, 11.05, 176978
11/06/18, 10.72, 10.77, 10.1701, 10.42, 116904
11/05/18, 10.90, 10.95, 10.60, 10.73, 65531
11/02/18, 10.93, 11.345, 10.51, 11.00, 93769
11/01/18, 10.77, 11.33, 10.7587, 10.90, 175862
10/31/18, 10.85, 11.05, 10.542, 10.77, 203380
10/30/18, 10.40, 10.79, 10.17, 10.65, 268312
10/29/18, 10.78, 11.02, 10.28, 10.43, 247979
10/26/18, 10.75, 10.96, 10.54, 10.69, 239268
10/25/18, 11.09, 11.35, 10.65, 10.97, 270016
10/24/18, 11.94, 12.15, 10.95, 10.97, 174248
10/23/18, 11.58, 12.38, 11.30, 11.91, 168919
10/22/18, 11.92, 12.29, 11.3901, 11.83, 170632
10/19/18, 12.44, 12.6399, 11.90, 11.92, 252015
10/18/18, 12.91, 13.1499, 12.01, 12.42, 165311
10/17/18, 12.87, 13.03, 12.55, 12.93, 160912
10/16/18, 12.44, 13.32, 12.19, 12.93, 247720
10/15/18, 12.43, 12.54, 11.80, 12.40, 246797
10/12/18, 12.04, 12.89, 12.04, 12.49, 853643
10/11/18, 12.05, 12.05, 11.51, 11.85, 398711
10/10/18, 12.69, 12.90, 11.83, 12.15, 379487
10/09/18, 12.66, 13.00, 12.52, 12.75, 153062
10/08/18, 12.58, 13.26, 12.43, 12.80, 353628
