Date, Open, High, Low, Close, Volume
03/25/19, 269.75, 274.3163, 266.00, 271.02, 1004427
03/22/19, 279.64, 279.64, 269.23, 269.62, 1240834
03/21/19, 265.45, 281.63, 265.345, 280.73, 2020435
03/20/19, 258.93, 266.06, 258.011, 265.68, 1245188
03/19/19, 256.43, 260.93, 256.03, 259.29, 1455816
03/18/19, 252.70, 254.1245, 248.17, 253.73, 1212730
03/15/19, 248.48, 256.825, 247.94, 252.33, 1542995
03/14/19, 249.93, 251.40, 244.545, 247.59, 2026577
03/13/19, 251.28, 254.03, 247.49, 252.13, 1085814
03/12/19, 243.96, 251.665, 243.00, 250.84, 1592539
03/11/19, 231.56, 243.9399, 231.56, 243.36, 1528834
03/08/19, 228.64, 231.725, 224.581, 230.84, 1357757
03/07/19, 231.00, 233.08, 227.26, 230.75, 1645211
03/06/19, 237.79, 240.50, 229.62, 231.45, 2318536
03/05/19, 244.94, 244.94, 233.90, 239.22, 3432881
03/04/19, 264.37, 266.21, 252.30, 256.31, 1930233
03/01/19, 261.24, 264.46, 258.96, 263.35, 1417413
02/28/19, 258.08, 259.75, 254.55, 258.97, 1076472
02/27/19, 258.23, 262.16, 257.29, 258.25, 1182248
02/26/19, 261.13, 262.35, 256.33, 259.79, 1298693
02/25/19, 255.52, 263.64, 255.52, 262.35, 1442098
02/22/19, 251.52, 254.24, 248.85, 253.99, 803097
02/21/19, 252.98, 252.98, 247.459, 250.23, 1073920
02/20/19, 255.23, 256.49, 250.91, 253.79, 1191297
02/19/19, 254.96, 257.59, 254.01, 255.24, 830284
02/15/19, 253.04, 255.68, 251.39, 254.96, 851660
02/14/19, 247.04, 252.91, 246.47, 250.75, 1120699
02/13/19, 256.99, 259.932, 248.841, 251.85, 1137709
02/12/19, 246.80, 256.77, 246.355, 254.32, 1601064
02/11/19, 242.86, 247.54, 242.07, 244.57, 873476
02/08/19, 236.78, 241.41, 234.23, 241.26, 831166
02/07/19, 241.89, 244.55, 238.26, 239.45, 904601
02/06/19, 244.00, 246.46, 240.70, 244.04, 988284
02/05/19, 241.85, 246.20, 241.42, 243.51, 1175704
02/04/19, 243.91, 245.23, 239.70, 244.54, 943886
02/01/19, 248.08, 248.75, 239.00, 244.00, 1569897
01/31/19, 233.57, 249.24, 231.76, 248.95, 3182956
01/30/19, 208.74, 234.44, 207.99, 232.83, 4375596
01/29/19, 222.16, 223.835, 216.52, 222.03, 1927981
01/28/19, 224.50, 225.915, 220.15, 221.49, 1421370
01/25/19, 222.61, 228.97, 221.48, 227.22, 1344123
01/24/19, 218.25, 224.08, 218.25, 220.67, 970082
01/23/19, 217.00, 221.21, 215.14, 217.22, 1111049
01/22/19, 220.68, 221.65, 213.9027, 216.16, 1107900
01/18/19, 216.00, 223.5999, 212.89, 220.09, 2433424
01/17/19, 206.87, 215.849, 206.78, 212.67, 1798722
01/16/19, 197.07, 208.5099, 195.38, 206.79, 2213773
01/15/19, 194.90, 197.50, 191.93, 195.05, 1927699
01/14/19, 196.54, 198.3393, 193.23, 193.94, 1817137
01/11/19, 201.60, 201.60, 195.63, 198.25, 1084899
01/10/19, 198.99, 205.99, 194.12, 202.64, 1247535
01/09/19, 194.26, 207.00, 194.2584, 200.32, 1666326
01/08/19, 191.35, 194.99, 187.59, 192.95, 1001499
01/07/19, 187.41, 190.77, 184.505, 189.92, 1311217
01/04/19, 181.68, 190.39, 177.925, 186.71, 2518182
01/03/19, 200.03, 200.77, 183.62, 184.78, 2414312
01/02/19, 205.32, 207.16, 200.54, 202.12, 1126789
12/31/18, 209.89, 214.1772, 206.6797, 209.43, 809348
12/28/18, 212.86, 212.86, 206.00, 208.29, 875965
12/27/18, 207.00, 211.33, 201.49, 211.33, 894637
12/26/18, 194.71, 212.2997, 194.24, 210.99, 1274741
12/24/18, 196.57, 198.19, 190.7468, 193.72, 504800
12/21/18, 199.14, 201.05, 193.28, 199.17, 1983632
12/20/18, 201.19, 204.70, 191.24, 197.78, 1787710
12/19/18, 209.14, 212.88, 198.51, 201.56, 1019890
12/18/18, 209.84, 213.315, 206.505, 209.50, 981653
