Symbol,Open,High,Low,Close,Volume,% Change
TGT,76.49,76.56,74.12,76.0,16966800,4.58
CYCC,0.84,0.89,0.82,0.87,2539444,3.57
WYY,0.44,0.45,0.43,0.44,110600,2.33
GPI,62.45,63.54,61.59,63.52,202500,1.86
EMKR,4.05,4.14,4.05,4.14,25943,1.47
HLIT,5.52,5.65,5.5,5.58,507200,0.9
RGS,18.6,18.84,18.54,18.69,271300,0.86
YUM,95.31,95.95,94.83,95.93,1671900,0.83
AMT,179.43,181.91,179.43,181.06,1870100,0.76
PPT,5.08,5.1,5.05,5.1,471900,0.59
MDT,92.01,93.03,91.45,92.72,5771500,0.47
MBT,7.81,7.92,7.76,7.83,2140400,0.38
UUP,25.81,25.88,25.8,25.84,426100,0.27
RWT,15.85,15.87,15.72,15.83,1379900,0.25
RIG,8.68,8.82,8.61,8.68,15658000,0.23
PGF,18.3,18.33,18.25,18.33,179200,0.22
TTWO,87.72,87.72,86.22,87.37,1344500,-0.08
HAS,88.9,89.36,88.44,88.51,696743,-0.17
